volume,month,filename,issue_type,file_size,tail_text
36,January,V36_01_01_Art_The_Relief_Society.txt,END_CUT,4761,"ately, BELLE S. SPAFFORD MARIANNE C. SHARP General Presidency"
36,January,V36_01_02_Art_The_Modern_Family_Paxman.txt,END_CUT,1365,"r we have taught our children the Word of Wisdom,  and family"
36,January,V36_01_22_Art_Having_an_apprecia.txt,END_CUT,2944,"ed Wayne, the oldest, died in a Mrs. Thomas writes: ""The one"
36,January,V36_01_28_Art_Love_or_me.txt,END_CUT,1630,"ed by an assemblage of people, I had the honot of f the first"
36,January,V36_01_31_Art_Interested_as_she.txt,END_CUT,795, age bracket are courage and good health.  CQ-—> EDITORIAL SO
36,January,V36_01_34_Art_Meeting_Sebruary_Q.txt,END_CUT,46257,o erect a small booth of wattled boughs for each worshiper at
36,January,V36_01_35_Art_Social_Science_Con_Durham.txt,END_CUT,46425,o his rising from the dead that puzzled and sorely grieved th
36,January,V36_01_48_Art_Finally_in_order.txt,END_CUT,27088,"or other source material, that help bring history to life. Oi"
36,January,V36_01_64_Art_A_classical_accoun.txt,END_CUT,651,OK BACK and REGRET. 6v6L AYWNUGII Aew 404 suosse} C ON 9E IOA
36,February,V36_02_02_Poem_Unwritten_SongFron_Redd.txt,END_CUT,10106,. Let us not forget the lesson of Antonius Stradivarius whose
36,February,V36_02_03_Poem_Home_Ekman.txt,END_CUT,6608,. Let us not forget the lesson of Antonius Stradivarius whose
36,February,V36_02_05_Poem_Heart-Deep_in_Wint_Wangsgaa.txt,END_CUT,764, Second Prize Story Annual Relief Society Short Story Contest
36,February,V36_02_10_Art_From_the_Shadow_Crawford.txt,END_CUT,11359,"es a mother's face get the mother-look of love and pride, and"
36,February,V36_02_15_Art_Congratulations_to.txt,END_CUT,10872,"are worth their weight in gold. Says Stradivarius, in Mary A"
36,February,V36_02_20_Art_Visiting_Teachers_Driggs.txt,END_CUT,17634,"g hyd, i. LS ' 7 - ros i h. \ a S ce aw a et SS ~ Evan Jensen"
36,March,V36_03_02_Art_The_Spirit_of_Spafford.txt,END_CUT,20085,ranches in missions have not previously been published in The
36,March,V36_03_03_Art_Relief_Society_Bui.txt,END_CUT,11566,". He breathed deeply of the spicy fragrance, remembering so m"
36,March,V36_03_20_Art_Antiques_to_Know_Pearson.txt,END_CUT,7212,ron 7. Penny Bank 8. Castor 9. Banjo Clock 10. Franklin Stove
36,March,V36_03_23_Art_Cakes_Decorated_an_Wangsgaa.txt,END_CUT,6334, nccccasowce cs naeses sacesaencescenevessanasecesessonnessee
36,March,V36_03_25_Art_Notes_From_the.txt,END_CUT,3272,", Elizabeth Wootton, who has served as a visiting teacher for"
36,April,V36_04_01_Poem_Spring_Ekman.txt,END_CUT,247,"chaeferii)   THE RELIEF SOCIETY MAGAZINE VOL. 36, NO.  She"
36,April,V36_04_03_Art_JesusLord_of_the_Colton.txt,END_CUT,7738,velation from him shows us how needed light and information c
36,April,V36_04_08_Fict_Through_the_Darkne_Todd.txt,END_CUT,13600,"ers up to Larry's and when sh had Tefused each, (Continued on"
36,April,V36_04_09_Art_The_Family_Hour_Cannon.txt,END_CUT,3782,rthwhile things of life that they may be bound to us for time
36,April,V36_04_10_Fict_And_All_Eternity_Flake.txt,END_CUT,11764,"'s sister, Mary Louisa Woolley, and fell in love with her. T"
36,April,V36_04_14_Poem_Consider_the_Lilie_Donaldso.txt,END_CUT,20959,"dren Elizabeth Williamson IF you are having an Easter party"
36,April,V36_04_16_Poem_An_April_Day_Candland.txt,END_CUT,19081,e and happiness in her heart glowed radiantly in her face. Op
36,May,V36_05_03_Poem_Mothers_of_Destiny_Coles.txt,END_CUT,304,"m traces, re moving shuttles aking from fabri atterns of futu"
