"volume","month","filename","classification","article_end_chars","input_continuation"
36,"January","V36_01_01_Art_The_Relief_Society.txt","NEEDS_PDF_QC","E S. SPAFFORD MARIANNE C. SHARP General Presidency","Page 3 The Modern Family and Spirituality Achsa E. Paxman Member, Relief Society General Board OME is the first and most important school in life, an"
36,"January","V36_01_02_Art_The_Modern_Family_Paxman.txt","UNCLEAR_NOT_FOUND","aught our children the Word of Wisdom,  and family",""
36,"January","V36_01_22_Art_Having_an_apprecia.txt","COMPLETE_NEXT_ART","he oldest, died in a Mrs. Thomas writes: ""The one","President Belle S. Spafford Elected to Office 'n the National Council of Women Priscilla L. Evans Former Relief Society General Board Member and forme"
36,"January","V36_01_28_Art_Love_or_me.txt","NEEDS_PDF_QC","semblage of people, I had the honot of f the first","Relief Society building erected in this dispensation. SALT LAKE STAKE: held in the Assembly R in th Fourteenth Ward,, ""We have more reason to be comme"
36,"January","V36_01_31_Art_Interested_as_she.txt","UNCLEAR_NOT_FOUND","t are courage and good health.  CQ-—> EDITORIAL SO",""
36,"January","V36_01_34_Art_Meeting_Sebruary_Q.txt","UNCLEAR_NOT_FOUND","mall booth of wattled boughs for each worshiper at",""
36,"January","V36_01_35_Art_Social_Science_Con_Durham.txt","TRUNCATED","g from the dead that puzzled and sorely grieved th","em. It was difficult for them to grasp the full significance of the statement. Reluctantly, they were beginning to realize that their beloved Master w"
36,"January","V36_01_48_Art_Finally_in_order.txt","UNCLEAR","urce material, that help bring history to life. Oi","FROM A HOSPITAL WINDOW Evelyn Fjeldsted I think that I could love that little path That climbs the hillside like a sunlit stair More than all the high"
36,"January","V36_01_64_Art_A_classical_accoun.txt","UNCLEAR","REGRET. 6v6L AYWNUGII Aew 404 suosse} C ON 9E IOA",""
36,"February","V36_02_02_Poem_Unwritten_SongFron_Redd.txt","TRUNCATED","t forget the lesson of Antonius Stradivarius whose","violins, two hundred years old, are worth their weight in gold. Says Stradivarius, in Mary Ann Evans' immortal poem of that name: ""If my hands slacken"
36,"February","V36_02_03_Poem_Home_Ekman.txt","TRUNCATED","t forget the lesson of Antonius Stradivarius whose","violins, two hundred years old, are worth their weight in gold. Says Stradivarius, in Mary Ann Evans' immortal poem of that name: ""If my hands slacken"
36,"February","V36_02_05_Poem_Heart-Deep_in_Wint_Wangsgaa.txt","COMPLETE_NEXT_ART","ze Story Annual Relief Society Short Story Contest","They Die in the Harness Myrtle M. Dean MYRTLE M. DEAN HIS same thing had been hapT pening several times the last few months, Doctor John waking in the"
36,"February","V36_02_10_Art_From_the_Shadow_Crawford.txt","TRUNCATED","'s face get the mother-look of love and pride, and","forgiveness, and faith, and trust that we all know? It is worn there day by day as a great painting is made, stroke by stroke. To a fresh, young creat"
36,"February","V36_02_15_Art_Congratulations_to.txt","TRUNCATED","heir weight in gold. Says Stradivarius, in Mary A","nn Evans' immortal poem of that name: ""If my hands slacken, I should rob God—since He is fullest good—leaving a blank instead of violins. He could not"
36,"February","V36_02_20_Art_Visiting_Teachers_Driggs.txt","UNCLEAR","S ' 7 - ros i h. \ a S ce aw a et SS ~ Evan Jensen","PALESTINE AT THE TIME OF CHRIST an hook, and take up the fish that first cometh up; and when thou hast opened his mouth, thou shalt find a piece of mo"
36,"March","V36_03_02_Art_The_Spirit_of_Spafford.txt","COMPLETE_NEXT_ART","missions have not previously been published in The","Relief Society Magazine as having completed their Building Fund quotas: Besancon Branch, French Mission Bruxelles Branch, French Mission Charleroi Bra"
36,"March","V36_03_03_Art_Relief_Society_Bui.txt","TRUNCATED","ed deeply of the spicy fragrance, remembering so m","any autumns. Five years, he thought, and silently cursed himself that they had not married before, regardless. He turned and looked at Anne, seeing a"
36,"March","V36_03_20_Art_Antiques_to_Know_Pearson.txt","NEEDS_PDF_QC","y Bank 8. Castor 9. Banjo Clock 10. Franklin Stove","Cotton Storm Leone E. McCune The market must have dropped today, The price can't be so high, Go fetch my dusty sewing kit, For cotton's raining from t"
36,"March","V36_03_23_Art_Cakes_Decorated_an_Wangsgaa.txt","NEEDS_PDF_QC","e cs naeses sacesaencescenevessanasecesessonnessee","Joanna Margery S. Stewart CHAPTER 3 Synopsis: Joanna, who had married David Niels against the wishes of her family, is left a widow with four childre"
36,"March","V36_03_25_Art_Notes_From_the.txt","TRUNCATED","Wootton, who has served as a visiting teacher for","sixty years, at a party December 15th. For the past thirty years this ward has maintained the 100 per cent visiting teaching record established by Sis"
36,"April","V36_04_01_Poem_Spring_Ekman.txt","UNCLEAR_NOT_FOUND","THE RELIEF SOCIETY MAGAZINE VOL. 36, NO. 
She",""
36,"April","V36_04_03_Art_JesusLord_of_the_Colton.txt","TRUNCATED","om him shows us how needed light and information c","oncerning life and immortality are given. There are those who teach that our faith in Christ is built upon the ""blessed mystery of the incatnation."""
36,"April","V36_04_08_Fict_Through_the_Darkne_Todd.txt","COMPLETE_NEXT_ART","arry's and when sh had Tefused each, (Continued on","The Family Hour in Latter-day Saint Homes Lucy Grant Cannon Former General President, Young Women's Mutual Improvement Association Stay, stay at home "
36,"April","V36_04_09_Art_The_Family_Hour_Cannon.txt","TRUNCATED","ings of life that they may be bound to us for time","and all eternity. The Lord admonished the saints early in their history to teach their children the principles of the gospel, and if this was neglecte"
36,"April","V36_04_10_Fict_And_All_Eternity_Flake.txt","UNCLEAR_NOT_FOUND","Mary Louisa Woolley, and fell in love with her. T",""
36,"April","V36_04_14_Poem_Consider_the_Lilie_Donaldso.txt","TRUNCATED","beth Williamson IF you are having an Easter party","for small children, it is well to make your plans in advance, Children want continuous action, Egg treasure hunt anda few games such as ""Pin the Tail "
36,"April","V36_04_16_Poem_An_April_Day_Candland.txt","COMPLETE_NEXT_ART","ness in her heart glowed radiantly in her face. Op","Annual Urge Maryhale Woolsey Shine, window, shine! For the new sun to find you; Flutter, clean curtains! A May breeze is here. Sweep, broom, sweep! L"
36,"May","V36_05_03_Poem_Mothers_of_Destiny_Coles.txt","UNCLEAR","e moving shuttles aking from fabri atterns of futu","A Pattern for Christine Dorothy ]. Roberts clear her eyes. 'Two large tears rolled slowly down her smooth cheeks, leaving shining trails and forming "
36,"May","V36_05_05_Art_Civil_Liberty_Toda_Durham.txt","COMPLETE_NEXT_ART","ly-endowed nation, [This article may be used Scien","You Might Have Waited Fay Tarlock EEING Miss Tyndale again S was just as Nan Kenny had hoped it would be. Miss Tyndale was coming down the flagstone p"
36,"May","V36_05_08_Art_Planning_the_Work_Layton.txt","TRUNCATED","sun on my back, And dropped little kernels of sun","in the rows. Dawn Evelyn Fijeldsted _We hear a robin's soft ethereal call, A glad, sweet song at break of dawn, - And crocus blossoms, with their tear"
36,"May","V36_05_18_Art_Magazine_Subscript_Sharp.txt","NEEDS_PDF_QC","enlists the continued efforts of the officers and","Magazine representatives during the year 1949. Honor Roll Percentages Continuing the policy established in 1948, the membership figures on which the H"
36,"May","V36_05_21_Art_Handle_With_Gloves_Jones.txt","COMPLETE_NEXT_ART","¢ NYLON RAYON MENDED RUNNER TOE MENDED NYLONS MENO","Rainbow Land Marvin Jones I followed a rainbow to its end For a pot of gold—that I could spend— I'd spend it all, I thought, for you, As any lover for"
36,"June","V36_06_01_Art_A_Measuring_Rod_Stoddard.txt","TRUNCATED","of each other. EMEMBER this morning in the closing","prayer, Sister Cowley implored the Lord that we might guard our tongues. Most of the trouble and unhappiness that come in our association together is"
36,"June","V36_06_08_Fict_Young_Hearts_Are_Burt.txt","TRUNCATED","rounding country is very much like our own mountai","n country in northern Arizona or New Mexico. Or, as a matter of fact, almost anywhere where there are pines and a scant undergrowth. 'The elevation is"
36,"June","V36_06_12_Art_Sixty_Years_Ago.txt","UNCLEAR","many days to come. The accompanying _ illustration","TABLE SETTINGS AND FLOWER ARRANGEMENTS 401 shows a fine specimen, exactly as it was picked up on our jaunt. This branch illustrates perfectly the pri"
36,"July","V36_07_01_Art_For_Those_Who_Redd.txt","TRUNCATED","nd inviting. And there is a real little cradle, of","pioneer vintage from her own and her mother's baby days. Doors, windows, marble mantle and hearth, pressed stone for the kitchen work table tops, are "
36,"July","V36_07_02_Poem_Pioneer_MotherFron_Chadwick.txt","COMPLETE_NEXT_ART","nces that have brought children's diseases down to","Nellie Ward Neal Appointed to the Relief Society General Board Roxey Robson Heslop President, Primary Association, Farr West Stake descendant of stalw"
36,"July","V36_07_05_Art_Sixty_Years_Ago.txt","UNCLEAR_NOT_FOUND","LIZABETH CANNON PORT-
^ ER McCRIMMON, formerly of",""
36,"July","V36_07_09_Fict_JoannaChapter_7_Stewart.txt","NEEDS_PDF_QC","her hard. ""I do love you."" (To be continued ) The","Jumpher Family (Continued from page 451) ""Say snow, Martin,"" said Mama. ""Lalalalala,"" said Martin. Mama laughed and then she cried, and then we were "
36,"July","V36_07_15_Art_Jesus_Began_in_Colton.txt","TRUNCATED","Preview of Lessons for 1949-50 Mary Grant Judd HE","visiting teacher messages for 1949-50 will be a continuation of the series titled, ""Our Savior Speaks."" As in the previous year's messages, timely and"
