Poem Rename Log - Vols 30-40
============================================================

[high] VolVol30_1943 April: April_Vol30_08_Article_Song_of_Gabbott.txt -> April_Vol30_08_Poem_Song_of_Gabbott.txt
[high] VolVol30_1943 April: April_Vol30_17_Article_Making_Leitner.txt -> April_Vol30_17_Poem_Making_Leitner.txt
[high] VolVol30_1943 April: April_Vol30_21_Article_After_Springtime_Linford.txt -> April_Vol30_21_Poem_After_Springtime_Linford.txt
[medium] VolVol30_1943 January: January_Vol30_02_Article_Your_Heritage_First_Sartori.txt -> January_Vol30_02_Poem_Your_Heritage_First_Sartori.txt
[high] VolVol30_1943 June: June_Vol30_03_Article_Maryhale_Woolsey.txt -> June_Vol30_03_Poem_Maryhale_Woolsey.txt
[medium] VolVol30_1943 June: June_Vol30_06_Article_Grandma_Thelma_Ireland.txt -> June_Vol30_06_Poem_Grandma_Thelma_Ireland.txt
[high] VolVol30_1943 March: March_Vol30_02_Article_Awakening_Norma_Wrathall.txt -> March_Vol30_02_Poem_Awakening_Norma_Wrathall.txt
[high] VolVol30_1943 May: May_Vol30_19_Article_Purple_Hall.txt -> May_Vol30_19_Poem_Purple_Hall.txt
[high] VolVol30_1943 November: November_Vol30_02_Article_Altars_of_Cottam.txt -> November_Vol30_02_Poem_Altars_of_Cottam.txt
[medium] VolVol30_1943 November: November_Vol30_13_Article_Mountain_Candland.txt -> November_Vol30_13_Poem_Mountain_Candland.txt
[medium] VolVol30_1943 October: October_Vol30_03_Article_Rhapsody_Harrison.txt -> October_Vol30_03_Poem_Rhapsody_Harrison.txt
[medium] VolVol30_1943 September: September_Vol30_02_Article_Day_Bayliss.txt -> September_Vol30_02_Poem_Day_Bayliss.txt
[medium] VolVol31_1944 April: April_Vol31_04_Article_When_We_Must_Say_Pratt.txt -> April_Vol31_04_Poem_When_We_Must_Say_Pratt.txt
[medium] VolVol31_1944 August: August_Vol31_06_Article_Fruition_Layton.txt -> August_Vol31_06_Poem_Fruition_Layton.txt
[medium] VolVol31_1944 December: December_Vol31_04_Article_Call_to_Stanton.txt -> December_Vol31_04_Poem_Call_to_Stanton.txt
[medium] VolVol31_1944 December: December_Vol31_08_Article_Bethlehem_the_Norton.txt -> December_Vol31_08_Poem_Bethlehem_the_Norton.txt
[medium] VolVol31_1944 June: June_Vol31_14_Article_Living_Parthesius.txt -> June_Vol31_14_Poem_Living_Parthesius.txt
[medium] VolVol31_1944 March: March_Vol31_02_Article_Sketch_Of_My_Life_Smith.txt -> March_Vol31_02_Poem_Sketch_Of_My_Life_Smith.txt
[medium] VolVol31_1944 March: March_Vol31_05_Article_Forever_Parry.txt -> March_Vol31_05_Poem_Forever_Parry.txt
[medium] VolVol31_1944 May: May_Vol31_02_Article_Passover_Nielsen.txt -> May_Vol31_02_Poem_Passover_Nielsen.txt
[high] VolVol31_1944 May: May_Vol31_13_Article_The_First_Madsen.txt -> May_Vol31_13_Poem_The_First_Madsen.txt
[medium] VolVol31_1944 November: November_Vol31_03_Article_Thankful_Stanton.txt -> November_Vol31_03_Poem_Thankful_Stanton.txt
[high] VolVol31_1944 November: November_Vol31_08_Article_In_Ekman.txt -> November_Vol31_08_Poem_In_Ekman.txt
