word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
suffrage,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.15714621543884277,0.1546037197113037,0.01121250044129098,250,250
suffrage,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.15520668029785156,0.154374897480011,0.019729174770134215,250,250
suffrage,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.16232812404632568,0.16008317470550537,0.006572642850089376,250,250
vote,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.1788436770439148,0.17985504865646362,0.037625074099138546,250,250
vote,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.18092131614685059,0.18111652135849,0.028494068235023887,250,250
vote,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.17908430099487305,0.17871248722076416,0.008194419312509454,250,250
rights,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.1593914031982422,0.15920740365982056,0.07453081144244603,250,250
rights,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.16105014085769653,0.1612125039100647,0.08509631444425854,250,250
rights,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.1486920714378357,0.15040671825408936,0.007887603749252174,250,250
polygamy,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.07189351320266724,0.07177746295928955,0.04404051831992314,140,243
polygamy,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.07107311487197876,0.07107305526733398,0.04512585362840039,140,189
polygamy,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.06954324245452881,0.06939172744750977,0.011726303670453889,243,189
sister,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.17207086086273193,0.17135244607925415,0.09125913282755733,250,250
sister,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.18188130855560303,0.1826346516609192,0.02601808557392303,250,250
sister,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.16350889205932617,0.16507381200790405,0.03618135359264975,250,250
mother,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.19094634056091309,0.1909027099609375,0.025253947943886648,250,250
mother,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.19395816326141357,0.19433826208114624,0.011365628471102429,250,250
mother,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.19648200273513794,0.1969483494758606,0.021476726950827356,250,250
home,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.20801419019699097,0.20881450176239014,0.02795351373036245,250,250
home,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.2059485912322998,0.2081262469291687,0.08570844200995692,250,250
home,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.2073177695274353,0.2065865397453308,0.03598670137626628,250,250
duty,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.18795549869537354,0.18563371896743774,0.004223578166533475,250,250
duty,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.18808728456497192,0.1851678490638733,0.01106696904009935,250,250
duty,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.18734866380691528,0.18630260229110718,0.009517535632941502,250,250
woman,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.18469154834747314,0.18473464250564575,0.007395074038154814,250,250
woman,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.1858755350112915,0.1825554370880127,0.00747147028414631,250,250
woman,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.19022607803344727,0.1878873109817505,0.014655097169263297,250,250
calling,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.24204641580581665,0.24204659461975098,0.005633656508084039,138,178
calling,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.2385846972465515,0.23858481645584106,0.011051437582423992,138,156
calling,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.24292385578155518,0.24292373657226562,0.01119073100831934,178,156
temple,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.2223644256591797,0.22356700897216797,0.07202874310024932,246,250
temple,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.22551536560058594,0.22581541538238525,0.10271702234512686,246,250
temple,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.1911211609840393,0.18912345170974731,0.036274087841706916,250,250
priesthood,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.18187940120697021,0.18205636739730835,0.008031990615183723,115,250
priesthood,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.18346869945526123,0.183468759059906,0.006285921476290477,115,181
priesthood,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.17690205574035645,0.17589843273162842,0.004520469339226104,250,181
work,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.18969839811325073,0.19075942039489746,0.09703364537808043,250,250
work,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.19214826822280884,0.19273805618286133,0.058949574672941464,250,250
work,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.18677741289138794,0.18761080503463745,0.021458869014778597,250,250
relief,1872-1877 vs 1878-1884,1872-1877,1878-1884,0.11550354957580566,0.1163492202758789,0.035452009838960394,250,250
relief,1872-1877 vs 1885-1891,1872-1877,1885-1891,0.12515360116958618,0.12497597932815552,0.044866081728071876,250,250
relief,1878-1884 vs 1885-1891,1878-1884,1885-1891,0.11586946249008179,0.1133871078491211,0.012629788476935586,250,250
