topic_num,label,frex,prob
1,Historical People and Places,"queen, princess, royal, prince, majesty, victoria, abbey, empress, statue, portrait, monument, emperor","queen, one, king, great, england, place, royal, time, english, prince, first, church"
2,National and International Women's Councils,"international, anthony, sewall, council, stanton, federation, national, suffrage, cady, shaw, triennial, womens","woman, suffrage, council, national, womans, state, work, club, hold, congress, convention, association"
3,Fictional Stories,"hepsie, bland, walton, conway, cousin, maitland, clair, hilliard, anna, reply, harrison, sir","know, lady, young, say, one, come, good, never, see, feel, think, make"
4,Literature & Book Reviews,"literary, magazine, reader, poem, book, literature, edit, editorial, writer, writing, paper, write","book, write, paper, good, work, letter, poem, one, womans, interest, writer, contain"
5,Relief Society and Conference Reports,"stake, conference, granary, quarterly, statistical, relief, verbal, society, standring, financial, ciety, counselor","society, sister, relief, stake, conference, good, counselor, work, hold, give, bishop, visit"
6,Poetic Prose and Literature,"bird, autumn, bloom, grass, pine, peak, blossom, meadow, violet, forest, bough, foliage","flower, tree, beautiful, mountain, one, old, like, hill, come, leave, green, wind"
7,Poems,"oer, thine, thy, een, oft, hath, hast, neer, doth, eer, twas, woe","thy, heart, love, day, life, sweet, come, light, shall, soul, oer, fair"
8,Relief Society Board Meeting Reports,"testimony, thankful, pray, bless, speak, exhort, lord, blessing, prayer, sister, feel, benediction","sister, say, speak, feel, good, lord, sing, god, bless, prayer, work, spirit"
9,Resolutions of Respect,"resolve, bereave, resolution, whereas, loss, sympathize, beloved, heartfelt, emulate, colaborer, resolvedthat, respect","society, sister, resolve, relief, resolution, loss, respect, faithful, beloved, member, record, family"
10,Primary Association Reports,"recitation, dialogue, fox, ella, lizzie, primary, recite, recita, duet, molen, hattie, wilcox","mary, primary, sing, child, song, recitation, association, little, give, prayer, sarah, follow"
11,Railroad Advertisements,"steamer, car, boat, cave, omaha, hotel, denver, passenger, cliff, bridge, scenery, canal","see, one, build, place, mile, large, foot, train, car, house, many, island"
12,Musical Programs & Performances,"musical, dramatic, audience, theatre, musician, concert, applause, music, singer, opus, orchestra, theater","music, give, great, good, voice, audience, play, people, one, sing, make, song"
