Source,Target,Weight,Type
AmyBrownLyman_1,AmyBrownLyman_2,24,undirected
AmyBrownLyman_1,AmyBrownLyman_3,13,undirected
AmyBrownLyman_1,AmyBrownLyman_4,30,undirected
AmyBrownLyman_2,AmyBrownLyman_1,24,undirected
AmyBrownLyman_2,AmyBrownLyman_3,13,undirected
AmyBrownLyman_2,AmyBrownLyman_4,21,undirected
AmyBrownLyman_3,AmyBrownLyman_1,13,undirected
AmyBrownLyman_3,AmyBrownLyman_2,13,undirected
AmyBrownLyman_3,AmyBrownLyman_4,19,undirected
AmyBrownLyman_4,AmyBrownLyman_1,30,undirected
AmyBrownLyman_4,AmyBrownLyman_2,21,undirected
AmyBrownLyman_4,AmyBrownLyman_3,19,undirected
JamesHAnderson_1,JamesHAnderson_2,30,undirected
JamesHAnderson_1,JamesHAnderson_3,16,undirected
JamesHAnderson_1,JamesHAnderson_4,10,undirected
JamesHAnderson_2,JamesHAnderson_1,30,undirected
JamesHAnderson_2,JamesHAnderson_3,19,undirected
JamesHAnderson_2,JamesHAnderson_4,15,undirected
JamesHAnderson_3,JamesHAnderson_1,16,undirected
JamesHAnderson_3,JamesHAnderson_2,19,undirected
JamesHAnderson_3,JamesHAnderson_4,30,undirected
JamesHAnderson_4,JamesHAnderson_1,10,undirected
JamesHAnderson_4,JamesHAnderson_2,15,undirected
JamesHAnderson_4,JamesHAnderson_3,30,undirected
AnnieWellsCannon_1,AnnieWellsCannon_2,8,undirected
AnnieWellsCannon_1,AnnieWellsCannon_3,13,undirected
AnnieWellsCannon_1,AnnieWellsCannon_4,30,undirected
AnnieWellsCannon_1,SusaYoungGates_2,9,undirected
AnnieWellsCannon_1,SusaYoungGates_3,2,undirected
AnnieWellsCannon_1,SusaYoungGates_4,4,undirected
AnnieWellsCannon_1,AliceLouiseReynolds_1,9,undirected
AnnieWellsCannon_1,AliceLouiseReynolds_3,6,undirected
AnnieWellsCannon_1,AliceLReynolds_1,1,undirected
AnnieWellsCannon_1,AnnieDPalmer_2,16,undirected
AnnieWellsCannon_2,AnnieWellsCannon_1,8,undirected
AnnieWellsCannon_2,AnnieWellsCannon_3,30,undirected
AnnieWellsCannon_2,AnnieWellsCannon_4,12,undirected
AnnieWellsCannon_2,SusaYoungGates_3,1,undirected
AnnieWellsCannon_3,AnnieWellsCannon_1,13,undirected
AnnieWellsCannon_3,AnnieWellsCannon_2,30,undirected
AnnieWellsCannon_3,AnnieWellsCannon_4,7,undirected
AnnieWellsCannon_3,JanetteAHyde_1,3,undirected
AnnieWellsCannon_3,SusaYoungGates_1,7,undirected
AnnieWellsCannon_4,AnnieWellsCannon_1,30,undirected
AnnieWellsCannon_4,AnnieWellsCannon_2,12,undirected
AnnieWellsCannon_4,AnnieWellsCannon_3,7,undirected
AnnieWellsCannon_4,SusaYoungGates_1,3,undirected
AnnieWellsCannon_4,SusaYoungGates_2,25,undirected
AnnieWellsCannon_4,SusaYoungGates_3,18,undirected
AnnieWellsCannon_4,SusaYoungGates_4,10,undirected
AnnieWellsCannon_4,AliceLouiseReynolds_1,6,undirected
AnnieWellsCannon_4,AliceLouiseReynolds_3,12,undirected
AnnieWellsCannon_4,AliceLReynolds_1,1,undirected
AnnieWellsCannon_4,AliceLReynolds_2,4,undirected
AnnieWellsCannon_4,AnnieDPalmer_2,10,undirected
JanetteAHyde_1,AnnieWellsCannon_3,3,undirected
JanetteAHyde_1,JanetteAHyde_2,19,undirected
JanetteAHyde_1,JanetteAHyde_3,15,undirected
JanetteAHyde_1,JanetteAHyde_4,3,undirected
