word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
relief,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.15820884704589844,0.1612987518310547,0.05676936793671514,250,250
relief,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.15549176931381226,0.1558855175971985,0.018658760102369328,250,250
relief,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.15228497982025146,0.15082228183746338,0.011127136055972351,250,250
welfare,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.19359445571899414,0.1910620927810669,0.15486760792895446,250,250
welfare,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.20865017175674438,0.20859932899475098,0.25436112357083873,250,250
welfare,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.20583397150039673,0.20647817850112915,0.08328562242829891,250,250
war,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.17759114503860474,0.1803128719329834,0.08485102659274185,250,250
war,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.17914432287216187,0.17997539043426514,0.0028053172513284037,250,250
war,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.18053370714187622,0.18049734830856323,0.08340431430406414,250,250
service,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.19214487075805664,0.19263309240341187,0.04003751029588416,250,250
service,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.19021612405776978,0.19105887413024902,0.08049329882109027,250,250
service,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.18416881561279297,0.185097336769104,0.01256631846945589,250,250
lesson,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.21933609247207642,0.22063171863555908,0.020615965504050413,250,250
lesson,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.22507286071777344,0.22434979677200317,0.04779150742981356,250,250
lesson,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.23123818635940552,0.23219335079193115,0.01848714418797128,250,250
mother,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.19727075099945068,0.19413608312606812,0.012380435477024582,250,250
mother,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.192965567111969,0.18967920541763306,0.02573755653292853,250,250
mother,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.19515776634216309,0.193389892578125,0.04328249621082385,250,250
home,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.2023540735244751,0.2009468674659729,0.05132441521614114,250,249
home,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.192033588886261,0.19166725873947144,0.016092264556447862,250,250
home,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.1954178810119629,0.19537287950515747,0.029531632845286475,249,250
work,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.19022154808044434,0.19217413663864136,0.0156889874879534,250,250
work,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.19414597749710083,0.1969277262687683,0.0049306853857157005,250,250
work,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.19140243530273438,0.1926337480545044,0.01259514751230071,250,250
sister,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.18142825365066528,0.1814172863960266,0.0004381715061710116,250,250
sister,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.1773608922958374,0.179670512676239,0.008549091232761935,250,250
sister,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.17393124103546143,0.17340397834777832,0.008579954762556893,250,250
nurse,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.16549700498580933,0.16549676656723022,0.04255500579253533,70,79
nurse,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.15867763757705688,0.15867739915847778,0.21628639846510747,70,99
nurse,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.16433382034301758,0.16433370113372803,0.14308997833260897,79,99
charity,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.18547797203063965,0.18567293882369995,0.0011681337591120202,213,178
charity,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.18122225999832153,0.18139135837554932,0.061158316854912555,213,111
charity,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.1835646629333496,0.18356448411941528,0.05652296959728138,178,111
duty,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.18418347835540771,0.1837543249130249,0.006268889869355051,238,163
duty,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.18967223167419434,0.18881195783615112,0.03301685634649898,238,137
duty,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.18789690732955933,0.187896728515625,0.024910380570653208,163,137
woman,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.18985247611999512,0.18857228755950928,0.02005222093102942,250,250
woman,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.18684542179107666,0.18643641471862793,0.0592490642073715,250,250
woman,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.18969589471817017,0.1889457106590271,0.03435771242463734,250,250
family,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.17040514945983887,0.1711064577102661,0.025085068993699968,250,250
family,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.17266488075256348,0.17496418952941895,0.0009560499233141583,250,250
family,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.17331433296203613,0.17426776885986328,0.01706345934776864,250,250
faith,1935-1940 vs 1941-1945,1935-1940,1941-1945,0.1943783164024353,0.19321435689926147,0.05242393585151261,250,250
faith,1935-1940 vs 1946-1950,1935-1940,1946-1950,0.189436674118042,0.19098204374313354,0.023519500889689602,250,250
faith,1941-1945 vs 1946-1950,1941-1945,1946-1950,0.19555729627609253,0.19785183668136597,0.04574476554600292,250,250
