doc_id,filename,Title,Author,Article_Type,volume_num,year,month,dominant_topic,topic_label,proportion_pct,strong_exemplar
3851,June_Vol5_05_Article_Unusual_Mothers.txt,Unusual Mothers,NA,Article,5,1918,June,1,Pioneer Women,96.2,TRUE
3860,June_Vol5_16_Article_Music_iLttle_Silver_Mother.txt,Music iLttle Silver Mother,NA,Article,5,1918,June,1,Pioneer Women,95.3,TRUE
2349,March_Vol19_22_Article_Hyrum_Gibbs_Smith.txt,Hyrum Gibbs Smith,NA,Article,19,1932,March,1,Pioneer Women,95.2,TRUE
3821,January_Vol5_06_Poetry_Cecelia_(A_Poem)_Alfred_Lambourne.txt,Cecelia (A Poem) Alfred Lambourne,NA,Poem,5,1918,January,1,Pioneer Women,95.2,TRUE
354,August_Vol11_14_Article_Isabel_Wardell_Wright.txt,Isabel Wardell Wright,NA,Article,11,1924,August,1,Pioneer Women,94.8,TRUE
2556,May_Vol2_01_Article_Sarah_Ellen_Richards_Smith_Joseph_F._Smith.txt,Sarah Ellen Richards Smith Joseph F. Smith,NA,Article,2,1915,May,1,Pioneer Women,92.3,TRUE
3859,"June_Vol5_15_Article_Little_Silver_Mother,_Song.txt","Little Silver Mother, Song",NA,Article,5,1918,June,1,Pioneer Women,91.4,TRUE
3939,September_Vol5_03_Article_A_Short_Biography_of_Mrs._Rhoda_Eldredge_Merrill.txt,A Short Biography of Mrs. Rhoda Eldredge Merrill,Mrs. Rhoda Eldredge Merrill,Article,5,1918,September,1,Pioneer Women,90.2,TRUE
2282,July_Vol19_10_Article_Alice_D_Pitt_Genevieve_R_Curtis.txt,Alice D. Pitt Genevieve R. Curtis,Pitt Genevieve R. Curtis,Article,19,1932,July,1,Pioneer Women,89.1,TRUE
801,December_Vol13_04_Article_Susan_West_Smith_Alice_Louise_Reynolds.txt,Susan West Smith Alice Louise Reynolds,NA,Article,13,1926,December,1,Pioneer Women,88.2,TRUE
3791,February_Vol5_02a_Article_Ex-President_Roosevelt_Congratulates_American_Mothers_a_a_b.txt,Ex-President Roosevelt Congratulates American Mothers,NA,Article,5,1918,February,1,Pioneer Women,87.4,TRUE
4457,March_Vol8_11b_Guide_Lessons_Work_and_Business.txt,Work and Business,NA,Guide,8,1921,March,1,Pioneer Women,86.8,TRUE
4411,January_Vol8_03_Article_A_Blessed_Baby.txt,A Blessed Baby,NA,Article,8,1921,January,1,Pioneer Women,86.5,TRUE
2327,June_Vol19_30_Art_Merry_Little_Mother_Nona_H.txt,Merry Little Mother Nona H. Brown,H. Brown,Article,19,1932,June,1,Pioneer Women,84.9,TRUE
1922,August_Vol18_20_Article_Mary_B_Hamilton_Hazel_H_Greenwood.txt,Mary B Hamilton Hazel H Greenwood,Hazel H. Greenwood,Article,18,1931,August,1,Pioneer Women,84.6,TRUE
