flagged,count,hunspell_suggestion,closest_vocab_term,closest_vocab_count
christ,1829,christ,NA,NA
american,1823,american,NA,NA
mormon,1681,mormon,NA,NA
latterday,1633,latter day,NA,NA
mary,1357,mary,make,13951
indian,1225,indian,NA,NA
christmas,1050,christmas,NA,NA
amy,1039,may,say,8727
america,1002,america,NA,NA
joseph,978,joseph,NA,NA
sunday,941,sunday,NA,NA
english,912,english,NA,NA
england,898,england,NA,NA
sarah,817,sarah,earth,1965
george,776,george,NA,NA
elizabeth,771,elizabeth,NA,NA
womans,714,woman,woman,10508
wasatch,658,wasatch,NA,NA
europe,637,europe,NA,NA
idaho,623,idaho,NA,NA
washington,621,washington,NA,NA
california,585,california,NA,NA
ive,581,vie,one,16821
israel,569,israel,NA,NA
emma,566,emma,NA,NA
richards,554,richards,NA,NA
william,554,william,NA,NA
thomas,552,thomas,NA,NA
alice,539,alice,life,9484
german,536,german,NA,NA
annie,525,annie,NA,NA
san,523,san,man,9696
hvy,517,hey,say,8727
julia,512,julia,NA,NA
didnt,510,dint,NA,NA
james,509,james,name,2826
margaret,502,margaret,NA,NA
anne,493,anne,one,16821
childrens,480,children,NA,NA
chicago,471,chicago,NA,NA
henry,465,henry,heart,3233
british,449,british,NA,NA
lucy,448,lucy,much,4652
taylor,447,taylor,NA,NA
womens,445,women,woman,10508
ruth,443,ruth,much,4652
ann,436,ann,one,16821
walter,431,walter,water,2206
germany,422,germany,NA,NA
david,416,david,NA,NA
thats,415,thatch,thus,1417
martha,414,martha,earth,1965
paul,408,paul,call,4626
jerusalem,405,jerusalem,NA,NA
mens,405,mend,man,9696
canada,404,canada,NA,NA
theres,382,theirs,three,3004
european,372,european,NA,NA
emily,371,emily,family,4903
abram,368,abram,arm,1003
louise,363,louise,house,3276
mexico,354,mexico,NA,NA
couldnt,352,couldn't,NA,NA
jane,349,jane,one,16821
francisco,344,francisco,NA,NA
britain,339,britain,NA,NA
abraham,334,abraham,NA,NA
hyde,334,hyde,home,9608
richard,328,richard,NA,NA
palestine,325,palestine,NA,NA
isnt,322,inst,visit,2636
moses,322,moses,money,1484
susa,322,suss,use,5214
edna,318,dean,end,1514
hebrew,314,hebrew,NA,NA
ida,308,ida,add,1625
edward,301,edward,toward,849
youre,296,your,young,4151
london,286,london,NA,NA
los,286,loci,love,5517
angeles,284,angeles,angel,667
youll,284,you'll,young,4151
williams,282,williams,NA,NA
wouldnt,282,wouldn't,NA,NA
oclock,281,clock,NA,NA
charles,279,charles,charge,745
janette,279,janette,NA,NA
davis,271,divas,NA,NA
10c,269,NA,etc,1174
boston,266,boston,cotton,1710
franklin,260,franklin,NA,NA
reynolds,259,reynolds,NA,NA
helen,254,helen,even,3974
rebecca,252,recap,NA,NA
saturday,252,saturday,NA,NA
jewish,250,jewish,wish,1148
jacob,248,jacob,NA,NA
arizona,241,arizona,NA,NA
oer,241,ewer,one,16821
robert,238,robert,NA,NA
greek,235,greek,great,8548
onehalf,230,one half,NA,NA
rome,230,more,one,16821
italy,222,italy,talk,1230
youve,220,you've,love,5517
paris,218,pairs,part,3481
edith,213,edith,faith,2032
columbia,211,columbia,NA,NA
twentyfive,211,twenty five,NA,NA
doesnt,208,doesn't,NA,NA
florence,206,florence,NA,NA
ethel,205,ethel,either,742
mclelland,205,mcclellan,NA,NA
jim,202,jim,time,10317
egypt,201,egypt,NA,NA
hawaiian,201,hawaiian,NA,NA
louis,201,louis,loss,463
secondclass,201,second class,NA,NA
lizzie,200,lizzie,NA,NA
russia,198,russia,NA,NA
samuel,197,samuel,NA,NA
utahs,197,truths,NA,NA
adam,194,adam,away,2142
esther,194,esther,mother,8432
joan,193,joan,woman,10508
anna,189,naan,aunt,740
havent,187,haven,parent,1849
anthony,186,anthony,NA,NA
allen,185,allen,allow,777
ivins,183,ivies,divine,730
broadway,181,broadway,NA,NA
marian,181,marina,main,1815
anderson,178,anderson,NA,NA
joe,178,joe,one,16821
lund,177,lend,find,4991
clarissa,176,clarissa,NA,NA
baxter,175,baxter,water,2206
hyland,175,headland,hand,3610
luke,175,luke,make,13951
susan,175,susan,human,1689
lincoln,174,lincoln,NA,NA
ellen,173,ellen,even,3974
monday,172,monday,today,1694
aint,171,aunt,find,4991
harriet,170,harriet,NA,NA
mcconahay,170,mcconnell,NA,NA
betty,169,betty,beauty,1203
intermountain,169,inter mountain,NA,NA
scott,169,scott,short,1335
morris,168,morris,NA,NA
oliver,168,oliver,live,4200
agnes,167,agnes,age,2407
theatre,167,theater,NA,NA
japanese,166,japanese,NA,NA
chinese,165,chinese,NA,NA
cov,165,cob,come,10122
mardan,163,mansard,garden,1188
illinois,162,illinois,NA,NA
jordan,162,jordan,organ,519
wasnt,162,wast,last,3094
weber,162,weber,member,4179
roberts,160,roberts,NA,NA
carrie,159,carrie,care,2495
penrose,159,pen rose,NA,NA
wgt,159,wt,way,4639
barbara,158,barbara,NA,NA
mexican,158,mexican,medical,370
pratt,158,pratt,part,3481
tuesday,154,tuesday,NA,NA
missouri,153,missouri,NA,NA
virginia,153,virginia,NA,NA
cora,152,cora,work,12328
italian,151,italian,NA,NA
wednesday,151,wednesday,NA,NA
greene,149,greene,green,730
spanish,149,spanish,NA,NA
15c,148,NA,etc,1174
youd,148,yous,good,16430
barton,147,barton,NA,NA
massachusetts,147,massachusetts,NA,NA
scotland,147,scotland,NA,NA
daniel,146,denial,angel,667
coray,145,cray,carry,2055
nancy,144,canny,many,6882
ohio,143,ohio,oil,449
sarai,143,sari,strain,286
shakespeare,139,shakespeare,NA,NA
hannah,138,hannah,NA,NA
russian,138,russian,NA,NA
benjamin,137,benjamin,NA,NA
oregon,137,oregon,organ,519
sevier,137,sever,never,3452
frances,136,frances,NA,NA
isaac,136,isaac,NA,NA
santa,136,santa,want,2409
irish,135,irish,rise,1241
phyllis,134,phyllis,NA,NA
romania,134,romania,roman,302
stewart,134,stewart,start,974
babys,133,baby,baby,1563
rachel,133,rachel,rather,1080
terah,133,rater,teach,2273
marie,132,ramie,make,13951
oldfashioned,131,old fashioned,NA,NA
smoot,131,smut,soon,1370
thursday,131,thursday,NA,NA
lula,130,lula,full,1616
adams,128,adams,NA,NA
eee,128,wee,one,16821
noah,128,noah,now,5480
daynesbeebe,127,grayness,NA,NA
sanpete,127,saltpeter,NA,NA
socalled,127,so called,NA,NA
wilson,127,wilson,NA,NA
arthur,126,arthur,NA,NA
canadian,126,canadian,NA,NA
sept,126,pest,see,6798
evans,125,evans,even,3974
yearsingle,124,year single,NA,NA
india,123,india,idea,1101
laura,123,laura,laugh,557
vermont,123,vermont,NA,NA
grey,121,grey,great,8548
woodruff,121,wood ruff,NA,NA
bennion,120,benediction,NA,NA
lillian,120,lillian,million,403
merrill,120,merrill,NA,NA
hadnt,119,hadn't,hand,3610
lotta,119,lotto,lot,532
henrietta,118,henrietta,NA,NA
marcia,118,marcia,NA,NA
willard,118,willard,NA,NA
maggie,117,maggie,NA,NA
friday,116,friday,NA,NA
nellie,116,nellie,NA,NA
bertha,115,bertha,birth,727
lowell,115,lowell,lovely,607
michigan,115,michigan,NA,NA
christianity,113,christianity,NA,NA
kate,112,take,make,13951
matthew,112,matthew,NA,NA
philadelphia,112,philadelphia,NA,NA
egyptian,111,egyptian,NA,NA
theyre,111,there,theme,234
denmark,110,denmark,remark,461
fulfilment,110,fulfillment,NA,NA
jeanette,110,jeanette,NA,NA
peterson,109,peterson,person,1722
elijah,108,elijah,NA,NA
julina,108,julienne,NA,NA
nonrun,108,non run,NA,NA
whitney,108,whitney,white,2035
americas,107,americas,NA,NA
colorado,107,colorado,NA,NA
mccune,107,mcclure,NA,NA
priscilla,107,priscilla,NA,NA
harris,106,harris,NA,NA
scandinavian,106,scandinavian,NA,NA
uptodate,106,update,NA,NA
bradford,105,bradford,NA,NA
elsie,105,elsie,lie,1402
jennie,105,jennie,NA,NA
alberta,104,alberta,NA,NA
howard,104,howard,hard,1040
norway,104,norway,normal,494
clara,103,clara,care,2495
vicepresident,103,vice president,NA,NA
harvard,102,harvard,NA,NA
jensen,102,jensen,sense,889
cameron,101,cameron,NA,NA
denver,101,denver,never,3452
ireland,101,ireland,island,424
liverpool,101,liverpool,NA,NA
ned,101,end,one,16821
twentyfour,101,twenty four,NA,NA
morgan,100,morgan,moral,720
albert,99,albert,NA,NA
dixie,99,dixie,die,1345
faileth,99,faille,faith,2032
iverson,99,version,person,1722
solomon,99,solomon,NA,NA
johnson,98,johnson,NA,NA
shaw,98,shaw,say,8727
sweden,98,sweden,sweet,1330
weve,98,wee,give,10636
easter,97,easter,sister,2942
hed,97,hes,see,6798
kansas,97,kansas,NA,NA
sam,97,sam,man,9696
year15c,97,yearly,NA,NA
caroline,96,caroline,NA,NA
catalogue,96,uncatalogued,NA,NA
boise,95,boise,house,3276
dec,95,dec,see,6798
zealand,95,zealand,NA,NA
utahidaho,94,ultrahigh,NA,NA
amongst,93,among st,among,2576
jenne,93,jennet,sense,889
lydia,93,lydia,NA,NA
bennett,92,bennett,NA,NA
claire,92,claire,care,2495
dave,92,dave,make,13951
nibley,92,nibble,bible,933
thompson,92,thompson,NA,NA
eddington,91,eddington,NA,NA
feebleminded,91,feeble minded,NA,NA
jones,91,jones,one,16821
longfellow,91,longfellow,NA,NA
nettie,91,nettie,settle,427
pennsylvania,91,pennsylvania,NA,NA
turk,91,turk,work,12328
yates,91,yates,late,2501
maytag,90,maytag,NA,NA
montana,90,montana,NA,NA
spain,90,spain,saint,2368
briant,89,brilliant,bring,3040
ingle,89,single,single,562
iowa,89,iowa,now,5480
peggy,89,peggy,egg,587
switzerland,89,switzerland,NA,NA
wifes,89,wife,life,9484
elvira,88,elvira,NA,NA
francis,88,francis,NA,NA
marjory,88,marjory,marry,1267
minnie,88,minnie,minute,949
