topic_num,auto_label,frex_words,prob_words,manual_label
1,Motherhood & Child-Rearing,"nauvoo, ann, Life, Father, husband, marry, grandchild, Young, Ivins, brother, daughter, wife, Snow, hannah, zina","mother, one, child, home, time, church, family, woman, young, sister, life, good, husband, father, come",
2,Nutrition & Dietary Science,"tablespoon, butter, egg, teaspoon, calorie, juice, vitamin, cup, boil, vegetable, potato, diet, fat, cheese, lemon","food, use, good, make, milk, water, one, fruit, add, sugar, vegetable, cup, cook, butter, bread",
3,National & International Affairs,"prohibition, liquor, government, russia, constitution, british, palestine, germany, britain, amendment, troop, tax, treaty, enforcement, tobacco","state, war, unite, woman, great, people, government, man, law, american, make, country, world, now, one",
4,International Women's Councils,"council, delegate, genealogical, international, chairman, eee, emigration, aberdeen, suffrage, exposition, datum, congress, National, genealogy, abbott","woman, council, state, national, genealogical, hold, record, name, work, one, interest, first, member, temple, book",
5,Stake & Ward Relief Society Reports,"stake, attendance, branch, mission, counselor, Stake, bazaar, fund, chorister, conference, donate, sevier, bishopric, reorganize, presidency","stake, work, member, give, mission, hold, organization, conference, make, sister, visit, good, one, teacher, follow",
6,Walter / Wagon / Plant,"walter, wagon, plant, camp, horse, boat, indian, soil, tent, canyon, garden, vine, weed, cattle, cliff","one, good, plant, come, indian, garden, water, see, man, make, time, tree, flower, place, little",
7,Literature & Book Reviews,"poet, poetry, literature, joan, story, tale, stanza, novel, prose, lamanites, literary, nephite, shakespeare, narrative, scott","book, story, life, write, great, man, one, lesson, people, literature, poem, make, time, good, poet",
8,Artist / Costume / Marble,"artist, costume, marble, decoration, statue, wall, paint, opus, madame, musician, design, radium, audience, painting, curie","one, room, make, beautiful, good, art, place, woman, use, see, music, home, many, great, color",
9,Nursing Training & Hospital Work,"institution, hospital, education, educational, agency, medical, welfare, graduate, school, university, community, social, hygiene, physician, delinquency","school, work, social, education, child, health, state, university, train, one, service, good, course, public, nurse",
10,Motherhood & Child-Rearing,"habit, parent, emotional, mental, responsibility, instinct, tendency, behavior, physical, attitude, failure, environment, develop, childhood, development","child, good, life, home, one, make, must, family, mother, give, parent, time, many, lesson, need",
11,Oer / Shine / Thy,"oer, shine, thy, gleam, soul, lip, morn, shadow, sweet, throb, gloom, glow, breast, dawn, pain","love, heart, life, god, come, thy, soul, know, one, shall, see, song, light, sweet, hand",
12,Didnt / Couldnt / Anne,"didnt, couldnt, anne, cant, ive, wouldnt, yes, grandma, aint, tom, isnt, shes, wont, wasnt, joe","say, mother, come, good, little, get, one, know, think, see, time, make, take, just, look",
13,Mclelland / Farnsworth / Coray,"mclelland, Farnsworth, coray, edna, Empey, undertaker, sarah, lotta, reynolds, Julina, janette, lizzie, julia, Music, romania","main, book, street, amy, south, sarah, brown, smith, bank, store, church, saint, latterday, temple, state",
14,Rib / Bleach / Med,"rib, bleach, med, rayon, hvy, prepay, lisle, mercerized, unbleached, hyland, phone, cotton, wgt, wool, cot","new, cotton, style, weight, rib, buy, good, order, wool, light, old, bleach, phone, heavy, make",
15,Religious Lessons & Scripture Study,"abram, revelation, savior, covenant, doctrine, nimrod, commandment, lord, parable, mardan, dispensation, moses, salvation, scripture, baptism","god, man, lord, shall, say, come, one, church, upon, give, great, father, spirit, people, word",
