topic_num,label,prevalence,pct
11,Advertisements for Goods and Services,0.15989658070620832,16
10,Motherhood & Child-Rearing,0.08666275267026709,8.7
15,Genealogy,0.08641130767985616,8.6
12,Editorials on Scenic Nature,0.08218873479673511,8.2
5,Pioneer Heritage,0.07854616457683235,7.9
1,Pioneer Women,0.06837772887564013,6.8
9,Advertisements for Clothing,0.06003192903062171,6
14,Mormon Women's Biographies,0.057004803818191334,5.7
3,National & International Affairs,0.053648596773938975,5.4
7,Household Hints & Recipes,0.051521660880611546,5.2
6,Community Celebrations,0.05010570856520477,5
2,Relief Society and Conference Reports,0.0500528154430544,5
8,Moral Fiction,0.04089910159947402,4.1
13,Poems,0.03862350729179258,3.9
4,International Women's Councils,0.036028607291571514,3.6
