topic_num,topic_label,year,yoy_pct
1,Gardening and Flower Displays,1935,NA
1,Gardening and Flower Displays,1936,-19.44
1,Gardening and Flower Displays,1937,3.59
1,Gardening and Flower Displays,1938,7.84
1,Gardening and Flower Displays,1939,-17.14
1,Gardening and Flower Displays,1940,-5.88
1,Gardening and Flower Displays,1941,17.32
1,Gardening and Flower Displays,1942,-36.38
1,Gardening and Flower Displays,1943,50.01
1,Gardening and Flower Displays,1944,4.57
1,Gardening and Flower Displays,1945,36.67
1,Gardening and Flower Displays,1946,5.19
1,Gardening and Flower Displays,1947,-2.92
1,Gardening and Flower Displays,1948,9.52
1,Gardening and Flower Displays,1949,-8.01
1,Gardening and Flower Displays,1950,3
2,"Church Organizational
Announcements",1935,NA
2,"Church Organizational
Announcements",1936,-9.72
2,"Church Organizational
Announcements",1937,-12.2
2,"Church Organizational
Announcements",1938,15.22
2,"Church Organizational
Announcements",1939,44.62
2,"Church Organizational
Announcements",1940,-55.81
2,"Church Organizational
Announcements",1941,51.8
2,"Church Organizational
Announcements",1942,15.7
2,"Church Organizational
Announcements",1943,-2.63
2,"Church Organizational
Announcements",1944,41.51
2,"Church Organizational
Announcements",1945,-13.68
2,"Church Organizational
Announcements",1946,-6.42
2,"Church Organizational
Announcements",1947,-12
2,"Church Organizational
Announcements",1948,-11.65
2,"Church Organizational
Announcements",1949,-57.37
2,"Church Organizational
Announcements",1950,77.05
3,"National & International
Affairs",1935,NA
3,"National & International
Affairs",1936,8.44
3,"National & International
Affairs",1937,15.62
3,"National & International
Affairs",1938,-3.97
3,"National & International
Affairs",1939,-15.49
3,"National & International
Affairs",1940,15.02
3,"National & International
Affairs",1941,-6.32
3,"National & International
Affairs",1942,59.82
3,"National & International
Affairs",1943,44.78
3,"National & International
Affairs",1944,39.59
3,"National & International
Affairs",1945,-54.03
3,"National & International
Affairs",1946,-37.79
3,"National & International
Affairs",1947,-37.55
3,"National & International
Affairs",1948,42.82
3,"National & International
Affairs",1949,76.59
3,"National & International
Affairs",1950,-30.4
4,"Relief Society Conference
Reports",1935,NA
4,"Relief Society Conference
Reports",1936,25.48
4,"Relief Society Conference
Reports",1937,12.36
4,"Relief Society Conference
Reports",1938,22.72
4,"Relief Society Conference
Reports",1939,0.57
4,"Relief Society Conference
Reports",1940,29.42
4,"Relief Society Conference
Reports",1941,20.47
4,"Relief Society Conference
Reports",1942,-4.19
4,"Relief Society Conference
Reports",1943,-37.2
4,"Relief Society Conference
Reports",1944,9.83
4,"Relief Society Conference
Reports",1945,-10.43
4,"Relief Society Conference
Reports",1946,-32.89
4,"Relief Society Conference
Reports",1947,43.85
4,"Relief Society Conference
Reports",1948,-21.45
4,"Relief Society Conference
Reports",1949,3.5
4,"Relief Society Conference
Reports",1950,-15.38
5,Motherhood and Marriage Advice,1935,NA
5,Motherhood and Marriage Advice,1936,-9.68
5,Motherhood and Marriage Advice,1937,5.37
5,Motherhood and Marriage Advice,1938,29.34
5,Motherhood and Marriage Advice,1939,10.48
5,Motherhood and Marriage Advice,1940,-22.05
5,Motherhood and Marriage Advice,1941,-2.31
5,Motherhood and Marriage Advice,1942,-6.18
5,Motherhood and Marriage Advice,1943,-21.02
5,Motherhood and Marriage Advice,1944,7.06
5,Motherhood and Marriage Advice,1945,-31.44
5,Motherhood and Marriage Advice,1946,0.43
5,Motherhood and Marriage Advice,1947,-27.02
5,Motherhood and Marriage Advice,1948,-29.96
5,Motherhood and Marriage Advice,1949,43.55
5,Motherhood and Marriage Advice,1950,17.74
6,Recipes,1935,NA
6,Recipes,1936,-5.26
6,Recipes,1937,0.4
6,Recipes,1938,-14.82
6,Recipes,1939,-18.64
6,Recipes,1940,19.66
6,Recipes,1941,0.78
6,Recipes,1942,12.6
6,Recipes,1943,-18.54
6,Recipes,1944,-10.16
6,Recipes,1945,31.22
6,Recipes,1946,-5.62
6,Recipes,1947,-27.34
6,Recipes,1948,-4.28
6,Recipes,1949,-17.61
6,Recipes,1950,31.11
7,Poetry,1935,NA
7,Poetry,1936,23.29
7,Poetry,1937,-26.88
7,Poetry,1938,-10.92
7,Poetry,1939,31.96
7,Poetry,1940,-2.4
7,Poetry,1941,-17.12
7,Poetry,1942,29.96
7,Poetry,1943,18.56
7,Poetry,1944,-41.15
7,Poetry,1945,6.56
7,Poetry,1946,12.63
7,Poetry,1947,16.18
7,Poetry,1948,59.71
7,Poetry,1949,8.26
7,Poetry,1950,-48.47
8,"Religious Lessons & Scripture
Study",1935,NA
8,"Religious Lessons & Scripture
Study",1936,16.58
8,"Religious Lessons & Scripture
Study",1937,-6.98
8,"Religious Lessons & Scripture
Study",1938,-0.47
8,"Religious Lessons & Scripture
Study",1939,-24.41
8,"Religious Lessons & Scripture
Study",1940,73.56
8,"Religious Lessons & Scripture
Study",1941,-34.76
8,"Religious Lessons & Scripture
Study",1942,-10.79
8,"Religious Lessons & Scripture
Study",1943,36
8,"Religious Lessons & Scripture
Study",1944,-22.51
8,"Religious Lessons & Scripture
Study",1945,24.15
8,"Religious Lessons & Scripture
Study",1946,19.81
8,"Religious Lessons & Scripture
Study",1947,-21.67
8,"Religious Lessons & Scripture
Study",1948,17.1
