topic_num,label,frex,prob
1,Stake & Ward Relief Society Reports,"stakesurname, chorister, row, bazaar, submittal, organist, motherssurname, quarterly, convention, booth, supervisor, regulation","stake, leave, sister, right, row, present, visit, teacher, leader, counselorsurname, mission, motherssurname"
2,Mission Field Correspondence,"ogdensurname, kienitz, enrollsubscriptions, fanny, rosell, gundersen, wilkinson, pingree, dedekind, afton, ninetyfour, logansurname","mary, south, california, state, stake, north, east, idaho, west, san, mission, elizabeth"
3,"Disease Education, Research, and Service","cancer, exponent, polio, research, volunteer, nurse, medical, national, dime, suffrage, international, disease","woman, state, american, unite, national, nurse, many, womans, first, one, good, right"
4,Home Management and Education,"hemispheresurname, problem, income, equipment, hemisphere, budget, habit, discussion, emotional, management, value, homemaker","family, good, child, home, use, make, one, need, work, lesson, time, plan"
5,Church Leadership and Relief Society Announcements,"preside, presidency, council, bishop, tabernacle, auxiliary, welfare, session, richardssurname, membership, wednesday, bishopric","church, mission, member, sister, stake, work, conference, service, visit, organization, woman, serve"
6,Gospel Doctrine & Spiritual Kingdom,"nephi, revelation, nephites, resurrection, repent, behold, alma, prophecy, dispensation, salvation, yea, wicked","lord, god, man, shall, come, prophet, people, give, jesus, christ, say, one"
7,Poetry and Music,"midsentencestart, hymn, shakespeare, boundaryleak, shakespeares, hamlet, organ, schirmer, baton, music, romeo, rhyme","music, sing, play, word, high, song, piano, write, one, hymn, organ, use"
8,Religious Lessons,"obedience, priesthood, virtue, divine, agencysurname, influence, intelligence, principle, law, temporal, righteousness, perfection","man, life, church, god, woman, lord, good, one, say, law, upon, gospel"
9,Story and Poetry Contest Winners,"contest, contestsurname, winner, prize, prizewinning, contestant, farsurname, crawfordsurname, serial, story, poem, entry","story, poem, enjoy, write, prize, much, poetry, contest, church, one, time, first"
10,Moral Fiction,"mama, papa, joe, didnt, couldnt, dad, jeff, grandma, wasnt, daddy, steve, serena","say, good, get, come, think, look, just, know, see, like, take, time"
11,Motherhood Poems,"love, sorrow, joy, mother, comfort, precious, prayer, heart, happiness, gratitude, share, kindness","love, child, mother, one, life, home, heart, time, give, know, come, family"
12,Nature Poems,"bloom, plant, blossom, sky, bulb, garden, autumn, tulip, shrub, lily, fragrance, sun","tree, plant, garden, flower, spring, summer, grow, sun, wind, leave, green, sky"
13,Literature & Book Reviews,"constitution, puritan, contemporary, thoreau, amendment, coleridge, poetic, novel, revolution, bronte, wordsworth, essay","man, great, good, poem, write, life, one, lesson, first, state, literature, power"
14,Serialized Fiction,"julie, kathy, lorna, jim, aunt, brent, betz, luana, nora, carol, tutu, nina","say, know, come, look, good, think, see, tell, take, like, back, eye"
15,Advertisements,"tour, zone, phone, enclose, payable, handsomely, beneficial, unsolicited, secondclass, tax, dept, promptly","book, tour, bind, order, south, send, phone, deseret, office, mile, new, include"
16,Travel Destination Narratives,"vic, wagon, cabin, log, horse, maureen, lon, josiah, selena, castle, camp, mcfarland","one, see, man, old, find, mile, come, time, build, mountain, house, foot"
17,Recipes,"tsp, tbsp, juice, flour, vanilla, butter, onion, sauce, vinegar, egg, salad, cream","add, water, sugar, cook, bake, egg, tsp, milk, butter, serve, cream, minute"
18,"Sewing, Fashion & Handwork","stitch, seam, fabric, glue, rug, hem, crochet, yarn, glass, thread, decorative, pin","make, use, one, color, quilt, cut, sew, piece, place, christmas, paint, glass"
