topic_num,label,frex,prob
1,Nature Themed Poetic Prose,"sky, bloom, abram, blossom, rain, wind, grass, sun, cloud, slope, mardan, cliff","tree, plant, garden, flower, see, spring, sun, light, come, hill, grow, wind"
2,Relief Society Reports,"stakesurname, motherssurname, row, bazaar, chorister, submittal, accompanist, skit, missionsurname, seat, organist, quarterly","stake, leave, sister, right, present, row, counselorsurname, mission, visit, teacher, photograph, motherssurname"
3,Moral Stories,"hadnt, didnt, couldnt, wasnt, wouldnt, maybe, shes, jim, youre, jed, ive, bob","say, get, come, good, think, look, know, see, just, take, like, little"
4,Stories of Motherhood and Womanhood,"sorrow, dear, soul, love, joy, heart, cheer, grief, pray, courage, kindness, sad","love, mother, life, one, heart, good, come, child, know, give, woman, little"
5,Relief Society Leadership,"mckaysurname, spaffordsurname, sharpsurname, madsensurname, elliottsurname, unsolicited, eyringsurname, stoddardsurname, aleine, laytonsurname, backman, crawfordsurname","church, saint, new, latterday, editorial, old, address, office, spaffordsurname, mckaysurname, member, home"
6,Recipes & Cooking Instructions,"tsp, juice, tbsp, onion, sauce, tablespoon, teaspoon, salad, chop, butter, egg, celery","food, water, add, milk, sugar, cook, use, fruit, good, egg, make, cup"
7,Nauvoo and Pioneer Foremothers,"indian, wagon, camp, settlement, journey, nauvoo, andrew, captain, settler, hardship, walter, team","one, time, home, pioneer, indian, first, come, family, man, old, people, two"
8,Poetry Contest,"contest, alyn, contestsurname, prize, hymn, winner, contestant, prizewinning, story, poem, jennifer, rhyme","book, story, write, poem, music, one, song, prize, use, first, good, word"
9,Prominent Women,"graduate, schirmer, madame, university, opus, international, medal, club, metropolitan, professor, honorary, academy","woman, university, school, state, great, national, american, world, one, first, work, unite"
10,National & International Affairs,"disease, cancer, constitution, tobacco, liquor, treaty, prohibition, government, amendment, cigarette, constitutional, tuberculosis","state, war, people, government, unite, law, man, great, make, one, american, health"
11,Literature & Book Reviews,"shakespeare, puritan, caesar, twain, novel, dryden, dickens, wordsworth, tennyson, longfellow, shakespeares, hamlet","man, life, great, one, write, good, literature, lesson, story, make, poem, world"
12,Relief Society Conference Reports,"membership, organization, fund, welfare, attendance, auxiliary, total, wednesday, needy, conference, assist, session","work, stake, member, organization, woman, church, mission, give, conference, sister, make, service"
13,Advertisements,"rayon, unbleached, hvy, prepay, rib, med, bleach, weight, dealer, cot, cotton, nonrun","new, buy, price, order, style, good, weight, cotton, old, south, light, company"
14,Relief Society News,"bindery, ogdensurname, vida, pct, oakland, eee, tour, diego, wests, enrollsubscriptions, uptown, rexburg","stake, south, idaho, california, state, north, east, tour, mission, san, mary, branch"
15,Gospel Doctrine & Spiritual Kingdom,"revelation, savior, commandment, nephites, salvation, disciple, dispensation, lord, yea, repentance, prophecy, kingdom","god, lord, man, shall, church, say, come, jesus, give, christ, one, prophet"
16,Motherhood & Child-Rearing,"parent, habit, behavior, relationship, attitude, mental, problem, develop, emotional, environment, physical, adjustment","child, good, family, home, life, one, make, must, need, work, parent, lesson"
17,Women's Conferences and Relief Society Projects,"lotta, empeysurname, coray, susa, wellssurname, hydesurname, williamssurname, amy, knightsurname, marcia, mrs, aldersurname","amy, brown, sarah, main, annie, lyman, book, smith, julia, street, williamssurname, state"
18,"Sewing, Fashion & Handwork","stitch, fabric, seam, glue, linen, hem, skirt, thread, rug, trim, tape, inch","make, use, one, color, good, room, material, place, dress, christmas, small, many"
