"AmyBrownLyman_1" "AmyBrownLyman_2" "AmyBrownLyman_3" "AmyBrownLyman_4" "JamesHAnderson_1" "JamesHAnderson_2" "JamesHAnderson_3" "JamesHAnderson_4" "AnnieWellsCannon_1" "AnnieWellsCannon_2" "AnnieWellsCannon_3" "AnnieWellsCannon_4" "JanetteAHyde_1" "JanetteAHyde_2" "JanetteAHyde_3" "JanetteAHyde_4" "LaleneHHart_1" "LaleneHHart_2" "LaleneHHart_3" "ElsieCCarroll_1" "ElsieCCarroll_2" "ElsieCCarroll_3" "ElsieCCarroll_4" "LucyRoseMiddleton_1" "LucyRoseMiddleton_2" "SusaYoungGates_1" "SusaYoungGates_2" "SusaYoungGates_3" "SusaYoungGates_4" "RuthMoenchBell_1" "RuthMoenchBell_2" "RuthMoenchBell_3" "RuthMoenchBell_4" "AliceLouiseReynolds_1" "AliceLouiseReynolds_2" "AliceLouiseReynolds_3" "AliceLReynolds_1" "AliceLReynolds_2" "AliceLReynolds_3" "AnnieDPalmer_1" "AnnieDPalmer_2"
"the" 8.32624314615239 8.16345902845345 8.39614790155748 8.06921891667654 8.10903834239692 8.38625069022639 7.46707761277669 6.75969427108898 7.09373000639795 6.92221510883483 7.3164861612515 7.75654408222258 7.01651805291624 6.01831661578718 7.64543740026113 5.37444933920705 6.1069859069556 4.85436893203883 5.56313475822343 3.93943454374916 6.14164762800699 5.14735298039739 4.54972486914508 4.53249287107909 4.53240670796193 8.17023920472196 8.68522573245751 7.33417032852061 7.37892330076907 4.64382326420198 4.7808764940239 4.16098226466576 3.50658193372674 7.28965396100474 8.56793145654835 5.75678040244969 6.62414131501472 7.99217093459468 8.47981770833333 6.62967289719626 7.03399765533412
"of" 4.22102476838722 4.3926054249033 4.20877422423017 4.09624274031054 4.54326426653817 4.09304251794589 4.46203418324461 4.22831498492392 4.45457453614843 4.89756722151088 4.46048937023666 4.82575879235587 4.42917702090338 4.15758104375636 3.98955462062962 3.52422907488987 3.5914532504925 3.05131761442441 2.88009701379415 2.26450489079459 3.87044752049456 2.33364448593146 2.0668366662193 2.92660963529941 2.79498413657652 4.22491456974216 4.90042748409968 4.59301109018623 4.25067553523176 1.88232642019838 2.93682413204326 2.12596634834015 1.56604630049932 4.79536272615493 5.05333100192341 5.07436570428696 4.90677134445535 5.25199804273365 4.443359375 2.64310747663551 3.98593200468933
"and" 3.61835885800718 3.73051092811884 3.58815836404708 3.3495318241081 2.08577132236525 2.29845389287686 2.75287195292799 2.17376060584812 4.29462571976967 3.04897567221511 3.52988367428801 4.17536534446764 3.17205086975588 3.76508213403111 3.56883795154505 3.75917767988253 3.81876041824519 3.9297272306981 3.62285887524632 2.97467506364733 3.11786050262062 3.45379383917856 2.91236075694538 4.08224523487918 4.45686659616256 4.24562493528011 4.09759149202377 4.43607449257167 3.93889004364997 2.80658250676285 4.58736482640865 4.47930877671669 3.57467090331366 3.51308624626735 2.37803811855219 2.34470691163605 2.5678770035983 2.64230957429457 2.16471354166667 3.27102803738318 3.42907385697538
"in" 2.46265834751371 2.36835235767341 2.40875044584473 2.58859784283513 3.29730846010876 4.12065157371618 4.24488652283553 4.17221793703106 2.26327575175944 2.32074263764405 2.22222222222222 2.48916010920186 2.0903376699313 2.19508649513011 2.17612070216161 2.33480176211454 2.45491741172905 1.95715826783788 1.97059269364863 1.01835722899638 1.65300362854455 1.41352180290705 1.38236478325057 2.44634549001951 2.17555521982173 2.32991612301957 2.22083203002815 2.17618748692195 1.99542714612347 1.07078449053201 1.46841206602163 1.39836289222374 1.23694961416251 2.52942209731249 2.30809582094772 2.48468941382327 2.73143604841348 2.62599902136682 2.40885416666667 1.34345794392523 2.2567409144197
"to" 2.09160521837777 2.12629630508555 2.25181310189038 2.10264311959227 2.7259585599229 2.47101049144119 2.66181003082096 2.16674847486151 2.60716570697377 2.08866837387964 1.98154833533895 2.10374176971254 1.94416021049554 2.369530455008 2.30668794429131 2.36417033773862 3.07622367025307 2.24996147326244 2.34955282704259 3.41685649202733 2.67437172423061 3.85384717962395 3.51630653603543 1.47080894491971 1.84317872790452 1.58434296365331 2.03315608382859 1.9774011299435 2.47349823321555 2.78403967538323 2.89129197495731 3.08094588449295 3.12074443940082 1.93219743544704 2.203182374541 2.36220472440945 2.30618253189401 2.38134072745066 2.62044270833333 2.74532710280374 2.24208675263775
"a" 1.8930799773114 1.98153729324379 1.75246700749019 2.08842005452175 2.18214359468576 1.92573163997791 1.88428131129168 2.06156651006241 1.63147792706334 2.56882202304738 2.34255916566386 2.06359402601574 2.16342639964917 1.87527256868731 1.9730161032932 1.58590308370044 2.59130171238066 2.71228232393281 2.28891920569956 2.06351333244004 2.51310307754334 2.13361781570876 2.32183599516843 1.60588323577968 1.58634234778667 1.8018018018018 2.07486184965071 1.73676501360117 1.67324880482228 1.74706943192065 1.69607285145134 2.23965438835834 1.75896504766228 2.19567890391709 2.09826892813429 2.20472440944882 1.99542034674517 2.12037188060675 2.47395833333333 1.8107476635514 1.53868698710434
"was" 1.27623369256948 1.45945561119153 0.913090001188919 1.20659002014934 0.468093894128175 0.738542241855329 0.756514429812272 0.813407194446392 0.935700575815739 0.952304737516005 1.37986361813077 1.12413682351052 0.42391463236369 0.37796191306876 0.203104598868417 0.0881057268722467 0.0757690559175633 0.061642780089382 0.045475216007276 0.978158917325472 0.564440263405456 1.26683557807708 1.14078647161455 0.120066036319976 0.0453240670796193 1.37723930827379 0.927953289542279 0.889307386482528 1.92267719808772 1.28494138863841 1.03585657370518 1.12551159618008 1.13481615978212 1.15931846126822 0.57702395523693 1.18985126859143 1.68465816159634 0.733974881748491 1.18815104166667 1.22663551401869 0.967174677608441
"for" 0.954811873700132 0.984835900234937 1.14611817857567 0.926869740429062 0.881117918358918 0.966316951960243 0.784533482768282 0.974686207138349 0.77575175943698 1.1443661971831 1.0589651022864 0.875220812590332 0.935535740388832 1.43916266899259 1.42173219207892 1.23348017621145 0.924382482194272 1.17121282169826 1.16719721085342 1.2461476617982 0.873538502889397 0.786771569542606 0.912629177291639 0.90049527239982 0.63453693911467 0.548824686755721 0.729850901887186 0.952082025528353 0.685928081479942 0.845356176735798 0.967558338076266 0.852660300136426 0.862460281434408 1.00122958018619 0.926735443259311 0.94488188976378 0.801439319594374 0.668732670037514 0.895182291666667 0.992990654205608 1.34818288393904
"is" 0.668840990735489 0.524454780607039 0.944001902270836 0.741969894512267 1.20465340400633 1.29072335726118 1.24684785654245 0.890540635299067 0.671785028790787 1.04833546734955 0.882470918572002 0.843102617632889 1.21327291331677 0.872219799389446 1.58131437690411 1.23348017621145 1.4396120624337 1.61812297734628 1.62194937092618 0.79056679619456 0.940733772342427 0.373383117749033 0.885787142665414 0.915503526939817 1.1784257440701 0.807704255980118 1.02179126264206 0.79514542791379 0.7482851797963 0.552299368800721 0.80819578827547 0.591177808094588 0.88515660463005 0.878271561566837 1.74855744011191 1.10236220472441 0.719659797186784 1.50057086935247 0.9765625 0.598714953271028 1.34818288393904
"that" 0.555397995840423 0.69294477799663 0.986802996076566 0.578404646201256 0.970606456942245 0.800662617338487 0.756514429812272 0.673164574714256 1.12763915547025 0.416133162612036 0.369033293221019 0.730688935281837 0.643180821517322 0.784997819450502 0.841433338169157 0.675477239353891 0.45461433550538 0.554785020804438 0.439593754737002 1.19254991290366 1.23639295793576 1.62688358447793 1.58368004294726 0.390214618039922 0.483456715515939 0.642021331676504 0.771556667709311 0.847457627118644 1.11203491997506 1.31875563570784 1.02447353443369 1.04592996816735 1.21425329096686 1.42279992973828 1.60867284490296 1.39982502187227 2.25711481844946 1.51688142228022 1.46484375 1.0660046728972 1.21629542790152
