corpus,alias,alias_type,n_docs,probable_author,agreement,mean_confidence,meets_conservative,meets_balanced,also_possible,mean_sentiment_afinn,year_min,year_max
Relief_Society_Magazine,Cannon,pen name,2,Marianne C. Sharp,0.5,0.7814,False,True,Ramona Wilcox Cannon,0.0252,1938.0,1944.0
Relief_Society_Magazine,Happy,pen name,2,Hulda Parker,0.5,0.6894,False,True,Rhea H. Gardner,0.0559,1954.0,1956.0
Relief_Society_Magazine,Romney,pen name,2,Alice Morrey Bailey,0.5,0.5031,False,False,Amy Brown Lyman,0.0477,1925.0,1941.0
Relief_Society_Magazine,U. S.,initials,2,Belle S. Spafford,0.5,0.5852,False,True,Fay Tarlock,0.0096,1922.0,1922.0
Relief_Society_Magazine,Williams,pen name,2,Amy Brown Lyman,1.0,0.602,False,True,,0.0927,1926.0,1928.0
Relief_Society_Magazine,A. H. C.,initials,1,Briant S. Jacobs,1.0,0.7034,False,True,,-0.0043,1934.0,1934.0
Relief_Society_Magazine,Anderson,pen name,1,Mabel Jones Gabbott,1.0,0.5867,False,True,,0.0147,1947.0,1947.0
Relief_Society_Magazine,Armstrong,pen name,1,Eliza R. Snow,1.0,0.3124,False,False,,0.1278,1930.0,1930.0
Relief_Society_Magazine,B. S. S.,initials,1,Elsie E. Barrett,1.0,0.9288,True,True,,0.0758,1940.0,1940.0
Relief_Society_Magazine,Bailey,pen name,1,Lula Greene Richards,1.0,0.2959,False,False,,0.0338,1938.0,1938.0
Relief_Society_Magazine,Burt,pen name,1,Alice Louise Reynolds,1.0,0.3907,False,False,,0.1298,1927.0,1927.0
Relief_Society_Magazine,C. E. C.,initials,1,Sylvia Probst Young,1.0,0.4269,False,False,,0.0391,1931.0,1931.0
Relief_Society_Magazine,Carter,pen name,1,Louise Y. Robison,1.0,0.629,False,True,,0.0707,1938.0,1938.0
Relief_Society_Magazine,Cloward,pen name,1,Evelyn Fjeldsted,1.0,1.0,True,True,,0.0472,1948.0,1948.0
Relief_Society_Magazine,Coles,pen name,1,Rachel K. Laurgaard,1.0,0.6104,False,True,,0.0911,1940.0,1940.0
Relief_Society_Magazine,Congrats,pen name,1,Christie Lund Coles,1.0,0.9997,True,True,,-0.0376,1926.0,1926.0
Relief_Society_Magazine,Correggio,pen name,1,Don B. Colton,1.0,0.9904,True,True,,0.165,1923.0,1923.0
Relief_Society_Magazine,Crawford,pen name,1,Blaine M. Porter,1.0,0.751,False,True,,0.0817,1914.0,1914.0
Relief_Society_Magazine,David,pen name,1,Marianne C. Sharp,1.0,0.703,False,True,,0.1064,1970.0,1970.0
Relief_Society_Magazine,E. C. C.,initials,1,Frances C. Yost,1.0,0.3246,False,False,,0.0356,1916.0,1916.0
Relief_Society_Magazine,Gould,pen name,1,Eva Willes Wangsgaard,1.0,0.756,False,True,,0.1054,1952.0,1952.0
Relief_Society_Magazine,Grant,pen name,1,David O. Mckay,1.0,0.9564,True,True,,0.1462,1945.0,1945.0
Relief_Society_Magazine,Grundy,pen name,1,Christie Lund Coles,1.0,0.7501,False,True,,0.0126,1916.0,1916.0
Relief_Society_Magazine,Hoover,pen name,1,Ramona Wilcox Cannon,1.0,0.5315,False,False,,0.0979,1931.0,1931.0
Relief_Society_Magazine,Jacobs,pen name,1,Briant S. Jacobs,1.0,0.9832,True,True,,0.0598,1957.0,1957.0
Relief_Society_Magazine,Jesus,pen name,1,Elsie E. Barrett,1.0,0.5334,False,False,,0.0237,1939.0,1939.0
Relief_Society_Magazine,Lamb,pen name,1,Evelyn Fjeldsted,1.0,0.9871,True,True,,0.1009,1914.0,1914.0
Relief_Society_Magazine,Larsen,pen name,1,Ramona Wilcox Cannon,1.0,0.3485,False,False,,0.0467,1956.0,1956.0
Relief_Society_Magazine,Miles,pen name,1,Eva Willes Wangsgaard,1.0,0.8286,True,True,,0.027,1952.0,1952.0
Relief_Society_Magazine,Monson,pen name,1,Dorothy Clapp Robinson,1.0,0.6328,False,True,,0.0462,1927.0,1927.0
Relief_Society_Magazine,Naylor,pen name,1,Elsie Chamberlain Carroll,1.0,0.9637,True,True,,0.0545,1914.0,1914.0
Relief_Society_Magazine,Roberts,pen name,1,David O. Mckay,1.0,0.577,False,True,,0.0549,1953.0,1953.0
Relief_Society_Magazine,Rose,pen name,1,C. Sharp,1.0,1.0,True,True,,0.1045,1956.0,1956.0
Relief_Society_Magazine,Spaff,pen name,1,Jean Ridges Jennings,1.0,0.7476,False,True,,0.0548,1951.0,1951.0
Relief_Society_Magazine,Stewart,pen name,1,Ramona Wilcox Cannon,1.0,0.8401,True,True,,0.0551,1958.0,1958.0
Relief_Society_Magazine,Sutherland,pen name,1,Belle S. Spafford,1.0,0.986,True,True,,0.1382,1940.0,1940.0
Relief_Society_Magazine,Viau,pen name,1,Amy Brown Lyman,1.0,0.2976,False,False,,0.0474,1953.0,1953.0
Relief_Society_Magazine,Williamson,pen name,1,B. Clark,1.0,0.4066,False,False,,0.096,1955.0,1955.0
Relief_Society_Magazine,Winne,pen name,1,Caroline Eyring Miner,1.0,0.5803,False,True,,0.0512,1955.0,1955.0
Womans_Exponent,E. T.,initials,7,L. M. Hewlings,0.286,0.8625,False,True,Augusta Joyce Crocheron,0.108,1888.0,1891.0
Womans_Exponent,S. E. R.,initials,7,Mary Ellen Kimball,0.286,0.6586,False,True,L. M. Hewlings,0.0651,1883.0,1912.0
Womans_Exponent,W. E.,initials,6,Mary Ellen Kimball,0.333,0.8608,False,True,Hannah T. King,0.0296,1872.0,1876.0
Womans_Exponent,E. J.,initials,5,Emmeline B. Wells,0.4,0.7414,False,True,Eliza R. Snow,0.0706,1886.0,1900.0
Womans_Exponent,H. M.,initials,5,Mary Ellen Kimball,0.6,0.7683,False,True,Eliza R. Snow,0.088,1877.0,1887.0
Womans_Exponent,Clio,pen name,4,Helen Mar Whitney,0.75,0.6944,False,True,Hannah T. King,0.0677,1897.0,1897.0
Womans_Exponent,E. S. D.,initials,4,Augusta Joyce Crocheron,0.5,0.907,True,True,Ellis R. Shipp,0.0896,1883.0,1886.0
Womans_Exponent,M. J. C.,initials,4,Eliza R. Snow,0.25,0.6363,False,True,Emmeline B. Wells,0.0657,1875.0,1880.0
Womans_Exponent,O. F. W.,initials,4,Eliza R. Snow,0.5,0.6229,False,True,Helen Mar Whitney,0.0451,1875.0,1882.0
Womans_Exponent,A. L. B.,initials,3,Augusta Joyce Crocheron,0.333,0.905,False,True,M. J. Tanner,0.0953,1876.0,1887.0
Womans_Exponent,Avondale,pen name,3,Mary Ann M. Pratt,0.333,0.5687,False,True,Hannah T. King,0.0565,1874.0,1880.0
Womans_Exponent,C. L. W.,initials,3,Ellis R. Shipp,0.333,0.4974,False,False,M. J. Tanner,0.1176,1888.0,1893.0
Womans_Exponent,E. B.,initials,3,Hannah T. King,0.333,0.6001,False,True,Eliza R. Snow,0.058,1878.0,1890.0
Womans_Exponent,E. D. N.,initials,3,Ellis R. Shipp,0.667,0.4539,False,False,Helen Mar Whitney,0.0637,1892.0,1895.0
Womans_Exponent,H. B. B.,initials,3,Eliza R. Snow,0.333,0.942,False,True,Augusta Joyce Crocheron,0.0075,1886.0,1888.0
Womans_Exponent,H. M. W.,initials,3,Helen Mar Whitney,0.667,0.9371,True,True,M. J. Tanner,0.0504,1875.0,1886.0
Womans_Exponent,L. G. R.,initials,3,Emmeline B. Wells,0.667,0.9192,True,True,Eliza R. Snow,0.0811,1877.0,1887.0
Womans_Exponent,L. M. W.,initials,3,Emmeline B. Wells,0.667,0.4331,False,False,Helen Mar Whitney,0.0606,1888.0,1894.0
Womans_Exponent,M. A. T.,initials,3,Mary Ann M. Pratt,0.333,0.3998,False,False,Eliza R. Snow,0.0836,1890.0,1893.0
Womans_Exponent,M. B.,initials,3,Mary Ellen Kimball,0.667,0.5261,False,False,Helen Mar Whitney,0.0588,1885.0,1887.0
Womans_Exponent,M. M.,initials,3,Mary Ann M. Pratt,0.333,0.9588,False,True,Mary Ellen Kimball,0.1009,1876.0,1894.0
Womans_Exponent,R. N. Y.,initials,3,Ellis R. Shipp,0.333,0.8088,False,True,Emmeline B. Wells,0.0602,1873.0,1875.0
Womans_Exponent,S. M. P.,initials,3,Emmeline B. Wells,0.667,0.9377,True,True,Mary Ellen Kimball,0.0809,1877.0,1891.0
Womans_Exponent,S. T. B.,initials,3,Lydia D. Alder,0.333,0.4508,False,False,M. J. Tanner,0.0901,1880.0,1897.0
Womans_Exponent,S. Y. D.,initials,3,Emily B. Spencer,0.333,0.3086,False,False,Mary Ellen Kimball,0.0906,1876.0,1876.0
Womans_Exponent,A. C.,initials,2,Helen Mar Whitney,0.5,0.3263,False,False,Ellis R. Shipp,0.0403,1882.0,1889.0
Womans_Exponent,A. J. R.,initials,2,Lydia D. Alder,0.5,0.9495,True,True,Hannah T. King,0.0059,1888.0,1889.0
Womans_Exponent,A. M.,initials,2,Emily B. Spencer,0.5,0.4079,False,False,Mary Ann M. Pratt,0.0737,1880.0,1901.0
Womans_Exponent,A. M. H.,initials,2,Lydia D. Alder,0.5,0.345,False,False,Eliza R. Snow,0.0815,1898.0,1902.0
Womans_Exponent,B. R.,initials,2,Emmeline B. Wells,1.0,0.7742,False,True,,0.0869,1874.0,1902.0
