corpus,canonical_author,kind,n_byline,n_byline_initials,n_probable_cons,n_probable_bal,n_total_cons,n_total_bal,mean_sentiment_afinn,mean_sentiment_vader,year_min,year_max
Relief_Society_Magazine,Unattributed (cons),misc,0,0,0,0,6953,0,0.0609,0.8403,1914.0,1970.0
Relief_Society_Magazine,Amy Brown Lyman,named,174,0,227,325,401,499,0.0582,0.9187,1914.0,1956.0
Relief_Society_Magazine,Ramona Wilcox Cannon,named,224,0,99,206,323,430,0.0577,0.9183,1924.0,1970.0
Relief_Society_Magazine,Vesta P. Crawford,named,80,0,183,281,263,361,0.0713,0.9509,1933.0,1969.0
Relief_Society_Magazine,Annie Wells Cannon,named,119,0,141,222,260,341,0.0718,0.9633,1917.0,1942.0
Relief_Society_Magazine,Masthead / organization,org,256,0,0,0,256,256,0.0664,0.8933,1914.0,1970.0
Relief_Society_Magazine,Christie Lund Coles,named,100,0,149,239,249,339,0.0588,0.7613,1927.0,1970.0
Relief_Society_Magazine,Marianne C. Sharp,named,122,0,98,185,220,307,0.072,0.9124,1939.0,1970.0
Relief_Society_Magazine,Hulda Parker,named,59,0,157,228,216,287,0.0608,0.9766,1957.0,1964.0
Relief_Society_Magazine,Belle S. Spafford,named,84,0,131,191,215,275,0.0789,0.923,1942.0,1970.0
Relief_Society_Magazine,Eva Willes Wangsgaard,named,82,0,95,146,177,228,0.043,0.676,1939.0,1967.0
Relief_Society_Magazine,Caroline Eyring Miner,named,48,0,102,159,150,207,0.0633,0.8438,1934.0,1966.0
Relief_Society_Magazine,Margaret C. Pickering,named,51,0,99,160,150,211,0.0541,0.9361,1935.0,1956.0
Relief_Society_Magazine,Alice Morrey Bailey,named,59,0,83,138,142,197,0.0427,0.5119,1939.0,1970.0
Relief_Society_Magazine,Briant S. Jacobs,named,84,0,55,82,139,166,0.0522,0.8286,1949.0,1963.0
Relief_Society_Magazine,Dorothy J. Roberts,named,71,0,61,106,132,177,0.0465,0.6417,1941.0,1970.0
Relief_Society_Magazine,Mabel Jones Gabbott,named,55,0,77,126,132,181,0.0705,0.8039,1935.0,1970.0
Relief_Society_Magazine,Julia A. F. Lund,named,34,0,81,121,115,155,0.0856,0.9965,1922.0,1940.0
Relief_Society_Magazine,Margery S. Stewart,named,49,0,59,92,108,141,0.0429,0.8154,1946.0,1968.0
Relief_Society_Magazine,Evelyn Fjeldsted,named,43,0,56,89,99,132,0.057,0.77,1944.0,1969.0
Relief_Society_Magazine,James H. Anderson,named,62,0,34,44,96,106,-0.0067,-0.0415,1915.0,1922.0
Relief_Society_Magazine,Susa Young Gates,named,48,0,46,77,94,125,0.0406,0.6417,1915.0,1933.0
Relief_Society_Magazine,Christine H. Robinson,named,47,0,46,77,93,124,0.0743,0.9843,1949.0,1963.0
Relief_Society_Magazine,Alberta H. Christensen,named,51,0,40,70,91,121,0.0738,0.9146,1929.0,1970.0
Relief_Society_Magazine,Anna Prince Redd,named,40,0,41,65,81,105,0.037,0.5963,1939.0,1951.0
Relief_Society_Magazine,Elsie C. Carroll,named,46,0,33,61,79,107,0.0388,0.7272,1917.0,1962.0
Relief_Society_Magazine,Ella J. Coulam,named,13,0,63,88,76,101,0.0515,0.8054,1932.0,1937.0
Relief_Society_Magazine,Janette A. Hyde,named,32,0,42,63,74,95,0.0501,0.9788,1915.0,1920.0
Relief_Society_Magazine,Roy W. Doxey,named,38,0,31,48,69,86,0.0467,0.9321,1957.0,1970.0
Relief_Society_Magazine,Lula Greene Richards,named,32,0,36,77,68,109,0.1125,0.9801,1915.0,1943.0
Relief_Society_Magazine,Mary Grant Judd,named,27,0,37,61,64,88,0.0578,0.9403,1934.0,1956.0
Relief_Society_Magazine,Bertha A. Kleinman,named,41,0,22,36,63,77,0.0564,0.6276,1915.0,1969.0
Relief_Society_Magazine,Eliza R. Snow,named,34,0,27,54,61,88,0.062,0.7923,1915.0,1962.0
Relief_Society_Magazine,W. Cannon,named,42,0,17,29,59,71,0.0555,0.8461,1963.0,1970.0
Relief_Society_Magazine,Elizabeth Williamson,named,24,0,33,60,57,84,0.0689,0.8426,1946.0,1966.0
Relief_Society_Magazine,Mabel Law Atkinson,named,24,0,32,53,56,77,0.0739,0.789,1951.0,1962.0
Relief_Society_Magazine,C. Sharp,named,28,0,27,40,55,68,0.0683,0.9428,1963.0,1970.0
Relief_Society_Magazine,Mabel Harmer,named,36,0,18,31,54,67,0.0458,0.8475,1934.0,1968.0
Relief_Society_Magazine,Jean Ridges Jennings,named,24,0,28,39,52,63,0.048,0.9707,1947.0,1958.0
Relief_Society_Magazine,H. Christensen,named,22,0,29,40,51,62,0.073,0.9929,1964.0,1970.0
Relief_Society_Magazine,Shirley Thulin,named,32,0,18,29,50,61,0.0444,0.8614,1960.0,1968.0
Relief_Society_Magazine,W. Doxey,named,36,0,13,26,49,62,0.0634,0.9698,1963.0,1969.0
Relief_Society_Magazine,Leone O. Jacobs,named,26,0,22,37,48,63,0.0603,0.944,1946.0,1957.0
Relief_Society_Magazine,Don B. Colton,named,27,0,19,36,46,63,0.036,0.7006,1929.0,1951.0
Relief_Society_Magazine,Rhea H. Gardner,named,26,0,20,46,46,72,0.0503,0.9651,1952.0,1957.0
Relief_Society_Magazine,Dorothy Clapp Robinson,named,30,0,15,26,45,56,0.0175,0.3773,1934.0,1966.0
Relief_Society_Magazine,Lael W. Hill,named,36,0,9,31,45,67,0.0519,0.7837,1949.0,1968.0
Relief_Society_Magazine,Colton Smith,named,34,0,10,21,44,55,0.069,0.8108,1947.0,1970.0
Relief_Society_Magazine,Elsie E. Barrett,named,21,0,23,39,44,60,0.0674,0.7921,1925.0,1946.0
Relief_Society_Magazine,Howard R. Driggs,named,23,0,20,35,43,58,0.0678,0.9862,1944.0,1949.0
Relief_Society_Magazine,Olive W. Burt,named,27,0,16,31,43,58,0.0421,0.8311,1939.0,1968.0
Relief_Society_Magazine,Florence J. Madsen,named,20,0,22,38,42,58,0.0753,0.8804,1942.0,1966.0
Relief_Society_Magazine,H. Wayne Driggs,named,28,0,13,22,41,50,0.0481,0.9784,1944.0,1949.0
Relief_Society_Magazine,Iris W. Schow,named,22,0,18,23,40,45,0.0672,0.8079,1951.0,1970.0
Relief_Society_Magazine,Mabel S. Harmer,named,23,0,17,23,40,46,0.0479,0.8927,1933.0,1953.0
Relief_Society_Magazine,Celestia J. Taylor,named,31,0,8,14,39,45,0.0709,0.7644,1965.0,1970.0
Relief_Society_Magazine,Frances C. Yost,named,20,0,19,34,39,54,0.0554,0.92,1946.0,1968.0
Relief_Society_Magazine,K. Thomas,named,23,0,16,29,39,52,0.0467,0.5392,1936.0,1970.0
Relief_Society_Magazine,Sylvia Probst Young,named,26,0,13,24,39,50,0.0544,0.8781,1947.0,1970.0
Relief_Society_Magazine,Estelle Webb Thomas,named,20,0,18,26,38,46,0.0528,0.6402,1925.0,1955.0
Relief_Society_Magazine,Ethel Jacobson,named,37,0,1,6,38,43,0.0555,0.5548,1953.0,1970.0
Relief_Society_Magazine,Grace Sayre,named,24,0,14,26,38,50,0.084,0.87,1946.0,1953.0
Relief_Society_Magazine,Maryhale Woolsey,named,20,0,18,35,38,55,0.0652,0.7527,1936.0,1970.0
Relief_Society_Magazine,Alice Whitson Norton,named,21,0,15,32,36,53,0.0413,0.9573,1944.0,1959.0
Relief_Society_Magazine,Jean Cox,named,16,0,20,25,36,41,0.0477,0.7972,1925.0,1937.0
Relief_Society_Magazine,T. Edgar Lyon,named,19,0,17,27,36,46,0.0553,0.9405,1942.0,1950.0
Relief_Society_Magazine,Louise W. Madsen,named,24,0,11,14,35,38,0.0839,0.9914,1958.0,1970.0
Relief_Society_Magazine,Zara Sabin,named,26,0,9,12,35,38,0.0724,0.8257,1946.0,1970.0
Relief_Society_Magazine,Joseph Fielding Smith,named,17,0,16,29,33,46,0.0712,0.9431,1923.0,1970.0
Relief_Society_Magazine,Leland H. Monson,named,20,0,13,26,33,46,0.0391,0.6033,1951.0,1957.0
Relief_Society_Magazine,W. Breeze,named,22,0,11,27,33,49,0.0516,0.9565,1961.0,1968.0
Relief_Society_Magazine,Alice Louise Reynolds,named,16,0,16,27,32,43,0.0627,0.8667,1917.0,1939.0
Relief_Society_Magazine,Grace M. Candland,named,20,0,12,24,32,44,0.0416,0.7897,1940.0,1953.0
Relief_Society_Magazine,Lalene H. Hart,named,20,0,12,25,32,45,0.0492,0.957,1922.0,1932.0
Relief_Society_Magazine,Rosa Lee Lloyd,named,22,0,10,19,32,41,0.0377,0.8414,1943.0,1970.0
Relief_Society_Magazine,Beatrice K. Ekman,named,22,0,9,20,31,42,0.0292,0.5155,1939.0,1955.0
Relief_Society_Magazine,Celia Luce,named,19,0,12,26,31,45,0.0571,0.7922,1951.0,1966.0
Relief_Society_Magazine,Della Adams Leitner,named,22,0,8,18,30,40,0.0811,0.9055,1936.0,1954.0
Relief_Society_Magazine,P. Crawford,named,18,0,12,18,30,36,0.0779,0.992,1940.0,1969.0
Relief_Society_Magazine,S. Ballif,named,16,0,14,19,30,35,0.0743,0.8749,1961.0,1965.0
Relief_Society_Magazine,And Far,named,12,0,17,26,29,38,0.1417,0.9989,1966.0,1966.0
Relief_Society_Magazine,Catherine B. Bowles,named,18,0,11,18,29,36,0.1133,0.9617,1953.0,1970.0
Relief_Society_Magazine,Deone R. Sutherland,named,19,0,10,20,29,39,0.0563,0.964,1948.0,1958.0
Relief_Society_Magazine,Lund Coles,named,23,0,6,8,29,31,0.0525,0.7605,1963.0,1969.0
Relief_Society_Magazine,Ezra J. Poulsen,named,18,0,10,18,28,36,0.0371,0.565,1932.0,1950.0
Relief_Society_Magazine,Ivy Williams Stone,named,18,0,10,17,28,35,0.0217,0.6928,1919.0,1936.0
Relief_Society_Magazine,Louise Y. Robison,named,15,0,13,20,28,35,0.099,0.9932,1928.0,1943.0
Relief_Society_Magazine,Preston Nibley,named,15,0,13,21,28,36,0.0572,0.9553,1932.0,1963.0
Relief_Society_Magazine,W. Madsen,named,17,0,11,15,28,32,0.0892,0.878,1961.0,1970.0
Relief_Society_Magazine,Ida Elaine James,named,22,0,5,7,27,29,0.0402,0.7749,1958.0,1965.0
Relief_Society_Magazine,Merling D. Clyde,named,14,0,13,17,27,31,0.1077,0.98,1928.0,1948.0
Relief_Society_Magazine,Annie D. Palmer,named,16,0,10,19,26,35,0.0399,0.7382,1916.0,1932.0
Relief_Society_Magazine,Harrison R. Merrill,named,14,0,12,19,26,33,0.0449,0.9625,1924.0,1938.0
Relief_Society_Magazine,J. Littke,named,12,0,14,23,26,35,0.0332,0.9701,1964.0,1970.0
Relief_Society_Magazine,Lucy Wright Snow,named,14,0,11,21,25,35,0.0706,0.8277,1916.0,1928.0
Relief_Society_Magazine,Maude Rubin,named,20,0,5,10,25,30,0.0404,0.6383,1954.0,1965.0
Relief_Society_Magazine,David O. Mckay,named,14,0,9,14,23,28,0.0769,0.755,1934.0,1967.0
Relief_Society_Magazine,Elsie Chamberlain Carroll,named,14,0,9,14,23,28,0.0323,0.6763,1915.0,1957.0
Relief_Society_Magazine,Hazel K. Todd,named,18,0,5,15,23,33,0.0447,0.8503,1948.0,1970.0
Relief_Society_Magazine,Lucy Rose Middleton,named,18,0,5,5,23,23,0.0276,0.7827,1932.0,1934.0
Relief_Society_Magazine,Archibald F. Bennett,named,17,0,5,13,22,30,0.0571,0.9323,1950.0,1953.0
Relief_Society_Magazine,Blanche Kendall Mckey,named,15,0,7,12,22,27,0.0379,0.9393,1932.0,1965.0
Relief_Society_Magazine,Fay Tarlock,named,17,0,5,7,22,24,0.0327,0.7309,1948.0,1956.0
Relief_Society_Magazine,Grace Zenor Pratt,named,18,0,4,6,22,24,0.0717,0.8814,1926.0,1949.0
Relief_Society_Magazine,J. Roberts,named,22,0,0,0,22,22,0.0432,0.4471,1963.0,1970.0
Relief_Society_Magazine,Rachel K. Laurgaard,named,18,0,4,6,22,24,0.0553,0.9791,1949.0,1951.0
Relief_Society_Magazine,Elizabeth Cannon Porter,named,10,0,11,15,21,25,0.0269,0.7726,1924.0,1938.0
Relief_Society_Magazine,Vera W. Pohlman,named,9,0,12,22,21,31,0.0496,0.9904,1941.0,1944.0
Relief_Society_Magazine,Willard Luce,named,14,0,7,9,21,23,0.0429,0.7178,1945.0,1956.0
Relief_Society_Magazine,K. Watson,named,15,0,5,9,20,24,0.0683,0.901,1969.0,1970.0
Relief_Society_Magazine,Norma Wrathall,named,14,0,6,9,20,23,0.0421,0.7174,1943.0,1965.0
Relief_Society_Magazine,Counselor Marianne C. Sharp,named,9,0,10,18,19,27,0.0758,0.9872,1945.0,1949.0
Relief_Society_Magazine,Gene Romolo,named,14,0,5,8,19,22,0.093,0.8583,1946.0,1955.0
Relief_Society_Magazine,Preston R. Nibley,named,11,0,8,16,19,27,0.0446,0.8824,1956.0,1959.0
Relief_Society_Magazine,Ruth Moench Bell,named,16,0,3,6,19,22,0.0417,0.72,1916.0,1931.0
Relief_Society_Magazine,Vesta N. Lukei,named,14,0,5,7,19,21,0.0458,0.7562,1935.0,1957.0
Relief_Society_Magazine,Alice L. Reynolds,named,12,0,6,18,18,30,0.0583,0.9582,1922.0,1929.0
Relief_Society_Magazine,B. Clark,named,18,0,0,2,18,20,0.0636,0.7908,1965.0,1970.0
Relief_Society_Magazine,Blaine M. Porter,named,11,0,7,9,18,20,0.0674,0.6642,1959.0,1961.0
Relief_Society_Magazine,Ida Isaacson,named,11,0,7,19,18,30,0.0406,0.938,1947.0,1968.0
Relief_Society_Magazine,Kate M. Barker,named,10,0,8,15,18,25,0.108,0.9927,1930.0,1946.0
Relief_Society_Magazine,S. Jacobs,named,11,0,7,10,18,21,0.0454,0.707,1957.0,1964.0
Relief_Society_Magazine,Milton Bennion,named,11,0,6,11,17,22,0.0422,0.8063,1922.0,1943.0
Relief_Society_Magazine,Pansye H. Powell,named,14,0,3,6,17,20,0.0109,0.5832,1950.0,1958.0
Relief_Society_Magazine,Peggy Tangren,named,17,0,0,0,17,17,0.0164,0.2551,1964.0,1970.0
Relief_Society_Magazine,Albert R. Bowen,named,14,0,2,4,16,18,0.055,0.951,1953.0,1956.0
Relief_Society_Magazine,Grace Barker Wilson,named,16,0,0,0,16,16,0.0523,0.6909,1951.0,1965.0
