Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,Ramona Wilcox Cannon,Full name,224,206,430,0.058,1924–1970
Relief Society Magazine,Amy Brown Lyman,Full name,174,325,499,0.058,1914–1956
Relief Society Magazine,Marianne C. Sharp,Full name,122,185,307,0.072,1939–1970
Relief Society Magazine,Annie Wells Cannon,Full name,119,222,341,0.072,1917–1942
Relief Society Magazine,Christie Lund Coles,Full name,100,239,339,0.059,1927–1970
Relief Society Magazine,Belle S. Spafford,Full name,84,191,275,0.079,1942–1970
Relief Society Magazine,Briant S. Jacobs,Full name,84,82,166,0.052,1949–1963
Relief Society Magazine,Eva Willes Wangsgaard,Full name,82,146,228,0.043,1939–1967
Relief Society Magazine,Vesta P. Crawford,Full name,80,281,361,0.071,1933–1969
Relief Society Magazine,Dorothy J. Roberts,Full name,71,106,177,0.046,1941–1970
Relief Society Magazine,James H. Anderson,Full name,62,44,106,-0.007,1915–1922
Relief Society Magazine,Alice Morrey Bailey,Full name,59,138,197,0.043,1939–1970
Relief Society Magazine,Hulda Parker,Full name,59,228,287,0.061,1957–1964
Relief Society Magazine,Mabel Jones Gabbott,Full name,55,126,181,0.07,1935–1970
Relief Society Magazine,Alberta H. Christensen,Full name,51,70,121,0.074,1929–1970
Relief Society Magazine,Margaret C. Pickering,Full name,51,160,211,0.054,1935–1956
Relief Society Magazine,Margery S. Stewart,Full name,49,92,141,0.043,1946–1968
Relief Society Magazine,Caroline Eyring Miner,Full name,48,158,206,0.063,1934–1966
Relief Society Magazine,Susa Young Gates,Full name,48,76,124,0.041,1915–1933
Relief Society Magazine,Christine H. Robinson,Full name,47,77,124,0.074,1949–1963
Relief Society Magazine,Elsie C. Carroll,Full name,46,61,107,0.039,1917–1962
Relief Society Magazine,Evelyn Fjeldsted,Full name,43,89,132,0.057,1944–1969
Relief Society Magazine,W. Cannon,Full name,42,28,70,0.056,1963–1970
Relief Society Magazine,Bertha A. Kleinman,Full name,41,36,77,0.056,1915–1969
Relief Society Magazine,Anna Prince Redd,Full name,40,65,105,0.037,1939–1951
Relief Society Magazine,Roy W. Doxey,Full name,38,48,86,0.047,1957–1970
Relief Society Magazine,Ethel Jacobson,Full name,37,6,43,0.056,1953–1970
Relief Society Magazine,Lael W. Hill,Full name,36,30,66,0.052,1949–1968
Relief Society Magazine,Mabel Harmer,Full name,36,31,67,0.046,1934–1968
Relief Society Magazine,W. Doxey,Full name,36,26,62,0.063,1963–1969
Relief Society Magazine,Colton Smith,Full name,34,21,55,0.069,1947–1970
Relief Society Magazine,Eliza R. Snow,Full name,34,54,88,0.062,1915–1962
Relief Society Magazine,Julia A. F. Lund,Full name,34,121,155,0.086,1922–1940
Relief Society Magazine,Janette A. Hyde,Full name,32,63,95,0.05,1915–1920
Relief Society Magazine,Lula Greene Richards,Full name,32,77,109,0.112,1915–1943
Relief Society Magazine,Shirley Thulin,Full name,32,29,61,0.044,1960–1968
Relief Society Magazine,Celestia J. Taylor,Full name,31,14,45,0.071,1965–1970
Relief Society Magazine,Dorothy Clapp Robinson,Full name,30,26,56,0.018,1934–1966
Relief Society Magazine,C. Sharp,Full name,28,40,68,0.068,1963–1970
Relief Society Magazine,H. Wayne Driggs,Full name,28,22,50,0.048,1944–1949
Relief Society Magazine,Don B. Colton,Full name,27,36,63,0.036,1929–1951
Relief Society Magazine,Mary Grant Judd,Full name,27,61,88,0.058,1934–1956
Relief Society Magazine,Olive W. Burt,Full name,27,31,58,0.042,1939–1968
Relief Society Magazine,Leone O. Jacobs,Full name,26,37,63,0.06,1946–1957
Relief Society Magazine,Rhea H. Gardner,Full name,26,46,72,0.05,1952–1957
Relief Society Magazine,Sylvia Probst Young,Full name,26,24,50,0.054,1947–1970
Relief Society Magazine,Zara Sabin,Full name,26,11,37,0.072,1946–1970
