Publication,Author,Byline,Byline (initials-inferred),+Probable (cons),+Probable (bal),Total (cons),Total (bal),Mean sentiment (AFINN),Years
Relief Society Magazine,Amy Brown Lyman,174,0,227,325,401,499,0.058,1914–1956
Relief Society Magazine,Ramona Wilcox Cannon,224,0,99,206,323,430,0.058,1924–1970
Relief Society Magazine,Vesta P. Crawford,80,0,183,281,263,361,0.071,1933–1969
Relief Society Magazine,Annie Wells Cannon,119,0,141,222,260,341,0.072,1917–1942
Relief Society Magazine,Christie Lund Coles,100,0,149,239,249,339,0.059,1927–1970
Relief Society Magazine,Marianne C. Sharp,122,0,98,185,220,307,0.072,1939–1970
Relief Society Magazine,Hulda Parker,59,0,157,228,216,287,0.061,1957–1964
Relief Society Magazine,Belle S. Spafford,84,0,131,191,215,275,0.079,1942–1970
Relief Society Magazine,Eva Willes Wangsgaard,82,0,95,146,177,228,0.043,1939–1967
Relief Society Magazine,Caroline Eyring Miner,48,0,102,158,150,206,0.063,1934–1966
Relief Society Magazine,Margaret C. Pickering,51,0,99,160,150,211,0.054,1935–1956
Relief Society Magazine,Alice Morrey Bailey,59,0,83,138,142,197,0.043,1939–1970
Relief Society Magazine,Briant S. Jacobs,84,0,55,82,139,166,0.052,1949–1963
Relief Society Magazine,Dorothy J. Roberts,71,0,61,106,132,177,0.046,1941–1970
Relief Society Magazine,Mabel Jones Gabbott,55,0,77,126,132,181,0.07,1935–1970
Relief Society Magazine,Julia A. F. Lund,34,0,81,121,115,155,0.086,1922–1940
Relief Society Magazine,Margery S. Stewart,49,0,59,92,108,141,0.043,1946–1968
Relief Society Magazine,Evelyn Fjeldsted,43,0,56,89,99,132,0.057,1944–1969
Relief Society Magazine,James H. Anderson,62,0,34,44,96,106,-0.007,1915–1922
Relief Society Magazine,Christine H. Robinson,47,0,46,77,93,124,0.074,1949–1963
Relief Society Magazine,Susa Young Gates,48,0,45,76,93,124,0.041,1915–1933
Relief Society Magazine,Alberta H. Christensen,51,0,40,70,91,121,0.074,1929–1970
Relief Society Magazine,Anna Prince Redd,40,0,41,65,81,105,0.037,1939–1951
Relief Society Magazine,Elsie C. Carroll,46,0,33,61,79,107,0.039,1917–1962
Relief Society Magazine,Ella J. Coulam,13,0,63,88,76,101,0.052,1932–1937
Relief Society Magazine,Janette A. Hyde,32,0,42,63,74,95,0.05,1915–1920
Relief Society Magazine,Roy W. Doxey,38,0,31,48,69,86,0.047,1957–1970
Relief Society Magazine,Lula Greene Richards,32,0,36,77,68,109,0.112,1915–1943
