topic_num,label,frex,prob
1,Community Celebrations,"alyn, sharry, tutu, mommie, kathy, jed, janets, julie, stevie, daddy, bob, jim","say, can, come, get, look, know, think, good, just, see, like, want"
2,Evon Backman Marianne,"evon, backman, marianne, vesta, spafford, unsolicited, christie, aleine, coles, eyring, leone, gabbott","editorial, feature, year, old, special, poetry, new, lesson, home, sharp, spafford, field"
3,Education,"rumseys, fitter, tinners, serena, tinner, pump, library, binder, landeau, david, index, book","book, deseret, david, order, bind, send, company, print, south, temple, new, library"
4,Home-Making and Recipes,"bloom, blossom, lilac, scent, bud, plant, meadow, fragrance, tulip, shrub, hyacinth, columbine","flower, tree, plant, garden, spring, grow, summer, green, beauty, bird, day, leave"
5,Genealogy,"normal, defect, mental, behavior, cancer, delinquency, rickets, physical, adjustment, emotional, habit, handicap","child, much, social, school, health, life, parent, problem, good, train, education, make"
6,Soap Acid Temperature,"soap, acid, temperature, bath, cure, stomach, tooth, clean, tub, thermometer, skin, wash","good, use, much, water, clean, food, keep, can, wash, take, time, little"
7,Relief Society Conference Reports ,"caesar, greek, celtic, celt, roman, romeo, puritan, juliet, brutus, pope, altemus, shakespeare","great, much, man, england, king, century, first, year, english, world, become, life"
8,World News and Women's Rights Reports,"hepsie, cousin, bland, reply, clair, maitland, maid, maureen, mistress, conway, walter, inquire","say, much, come, know, see, good, can, old, little, man, tell, take"
9,Product Advertisements,"hvy, nonrun, wgt, maytag, rib, med, lgt, unbleached, keeleys, bleach, lisle, cot","new, style, good, cotton, weight, buy, south, lady, main, street, old, rib"
10,Poetry,"objective, hemisphere, priesthood, obedience, eternal, spiritual, commandment, concept, divine, relationship, ibid, teaching","man, life, god, lesson, world, law, gospel, faith, lord, spiritual, great, give"
11,"Sewing, Fashion & Handwork","stitch, seam, hem, fabric, glue, decorative, crochet, tape, rug, skirt, thread, embroider","make, use, color, dress, can, material, sew, piece, cut, quilt, wear, room"
12,Board Member Directory,"mrs, rosannah, coray, clarissa, donnette, amy, robison, lotta, lyman, mclelland, empey, baxter","amy, brown, lyman, annie, williams, well, julia, smith, sarah, note, cannon, mother"
13,International Women's Councils,"triennial, delegate, obstetric, suffrage, cady, sewall, anthony, federation, council, international, shipp, stanton","woman, council, suffrage, national, state, committee, meet, hold, association, convention, club, delegate"
14,Social Welfare & Charitable Work,"retrenchment, primary, cocoon, inst, mulberry, recitation, programme, donate, bro, donation, sericulture, disburse","good, meet, young, association, hold, lady, primary, make, interest, much, meeting, time"
15,Education & Learning,"madame, graduate, baltimore, medal, academy, university, brooklyn, greeley, york, harvard, cornell, massachusetts","woman, new, year, school, university, york, state, college, american, first, work, young"
16,Camp Indian Wagon,"camp, indian, wagon, team, cattle, mob, journey, tent, cabin, log, missouri, emigrant","indian, day, come, pioneer, man, time, valley, mile, leave, make, river, take"
17,Adjourn Benediction Exhort,"adjourn, benediction, exhort, remark, horne, conference, standring, sis, preside, speak, convene, verbal","stake, speak, meet, good, sing, conference, say, work, feel, counselor, report, give"
18,Recipes & Cooking Instructions,"tsp, tbsp, sauce, celery, yolk, parsley, clove, nutmeg, mayonnaise, garlic, teaspoon, serving","add, sugar, milk, water, cook, egg, butter, cup, bake, fruit, make, serve"
19,War News & Commentary,"contestant, nonpareil, contest, getter, nonparell, winner, prize, centennial, cts, award, prizewinning, nonpariel","poem, year, publish, prize, contest, story, month, write, first, office, business, time"
20,Oer Tread Oft,"oer, tread, oft, twas, woe, abram, gloom, neer, een, neath, brow, dim","love, heart, life, soul, sweet, day, light, come, hand, eye, yet, long"
21,Relief Society Leadership & Organization,"membership, organization, fund, welfare, program, auxiliary, attendance, total, presidency, assignment, project, leadership","work, stake, member, organization, year, mission, woman, give, conference, service, visit, meet"
22,Household Management & Budgeting,"income, budget, expenditure, employment, resource, homemaker, security, tithe, expense, earn, wage, economy","family, home, much, work, can, good, make, need, time, plan, money, use"
23,Musical Programs & Performances,"schirmer, cover$, ditson, cablenelson, composer, tour, piano, orchestra, chorus, daynes, zims, violin","music, sing, song, hymn, tour, piano, chorus, play, musical, organ, voice, mother"
24,Biblical Narratives & Symbolism,"nephite, nephites, baptism, moses, cowdery, jerusalem, disciple, rigdon, prophecy, isaiah, revelation, jew","lord, prophet, joseph, come, god, man, say, people, book, smith, mormon, give"
25,Degrade Elevate Ity,"degrade, elevate, ity, intelli, intel, ble, charac, pos, knowl, prin, cer, acter","woman, much, man, good, great, can, make, many, every, life, mind, con"
26,Constitutional Republic Government,"constitutional, republic, government, treaty, citizen, legislative, voter, jury, edmunds, political, franchise, statute","state, man, right, law, woman, government, people, unite, war, vote, make, say"
27,Pray Blessing God,"pray, blessing, god, bless, heavenly, humble, rejoice, holy, lord, obey, faith, mercy","god, lord, say, bless, can, spirit, faith, good, great, day, let, father"
28,Poetry & Verse,"stanza, poet, prose, poetic, humor, wordsworth, poes, tennyson, poe, twain, longfellow, thoreau","story, write, much, book, life, poem, good, literature, lesson, poet, poetry, word"
29,Mother Thing Learn,"mother, thing, learn, help, teach, think, always, happiness, something, happy, want, parent","good, mother, much, child, can, home, life, think, thing, know, time, say"
30,Marriage & Family Life,"mourn, bereave, resolve, decease, emigrate, funeral, obituary, loss, beloved, husband, grandchild, whereas","year, family, child, mother, husband, bear, death, daughter, wife, life, die, friend"
31,Statue Steamer Cliff,"statue, steamer, cliff, island, palace, picturesque, boat, tourist, scenery, terrace, dome, passenger","much, see, build, place, house, many, great, foot, beautiful, island, old, large"
32,Jinny Kareen Papa,"jinny, kareen, papa, mama, jennifer, lesceline, selena, jake, freck, lon, pony, cory","say, can, get, come, look, back, good, see, take, know, like, think"
33,Whitney Bathsheba Guest,"whitney, bathsheba, guest, woodruff, hostess, anniversary, wilford, zina, refreshment, occasion, lorenzo, veteran","smith, young, old, much, give, present, day, many, honor, party, joseph, occasion"
34,Pct Portneuf Weiser,"pct, portneuf, weiser, minidoka, enrollsubscriptions, texaslouisiana, fresno, nyssa, santaquintintic, uvada, oaklandberkeley, glenna","stake, mission, leave, branch, counselor, right, row, first, idaho, south, state, north"
35,Claus Christmas Holiday,"claus, christmas, holiday, carol, doll, toy, merry, santa, valentine, thanksgiving, bethlehem, game","christmas, child, little, gift, day, year, tree, old, make, family, home, give"
