topic,label,prevalence,split_year,max_jsd
11,T11: Advertisements for Goods and Services,0.15989658070620832,1915,0.24161144746337468
10,T10: Motherhood & Child-Rearing,0.08666275267026709,1914,0.23865012517784856
15,T15: Genealogy,0.08641130767985616,1914,0.2507296050932064
12,T12: Editorials on Scenic Nature,0.08218873479673511,1915,0.21109057487186353
5,T5: Pioneer Heritage,0.07854616457683235,1914,0.25696607291278933
1,T1: Pioneer Women,0.06837772887564013,1914,0.2808201918423365
9,T9: Advertisements for Clothing,0.06003192903062171,1914,0.31366946625457603
14,T14: Mormon Women's Biographies,0.057004803818191334,1914,0.33922614605957035
3,T3: National & International Affairs,0.053648596773938975,1914,0.28687330711598846
7,T7: Household Hints & Recipes,0.051521660880611546,1914,0.3184984096117684
6,T6: Community Celebrations,0.05010570856520477,1914,0.35456856198480563
2,T2: Relief Society and Conference Reports,0.0500528154430544,1914,0.2863669160665518
8,T8: Moral Fiction,0.04089910159947402,1914,0.3138630534838467
13,T13: Poems,0.03862350729179258,1914,0.2996819101126543
4,T4: International Women's Councils,0.036028607291571514,1914,0.287251961919854
