word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
relief,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.15348732471466064,0.15450263023376465,0.03799027077158846,250,250
relief,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.14649343490600586,0.14580196142196655,0.04042787139660406,250,250
relief,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.15033304691314697,0.14908146858215332,0.03465595863823345,250,250
welfare,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.20945292711257935,0.21017038822174072,0.025941133161482208,250,250
welfare,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.20564985275268555,0.20640361309051514,0.03132659771320383,250,249
welfare,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.20983320474624634,0.20984500646591187,0.007218125871348069,250,249
war,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.169871985912323,0.17057400941848755,0.018063730653819096,250,250
war,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.17317497730255127,0.17409920692443848,0.007910953011779668,250,209
war,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.17374074459075928,0.1731542944908142,0.00872124399816774,250,209
service,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.18419933319091797,0.1843605637550354,0.009195483044263854,250,250
service,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.1873178482055664,0.18689727783203125,0.013715282014129046,250,249
service,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.18176966905593872,0.18236613273620605,0.005959814064397795,250,249
lesson,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.24091625213623047,0.24164706468582153,0.020076314680592587,250,250
lesson,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.23187696933746338,0.233570396900177,0.048132162942222154,250,250
lesson,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.22637176513671875,0.22737175226211548,0.05039422349123753,250,250
mother,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.19388967752456665,0.1952335238456726,0.026123279830286325,250,250
mother,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.19523537158966064,0.1954883337020874,0.04629438249751112,250,250
mother,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.19092196226119995,0.19515401124954224,0.025083037226987865,250,250
home,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.19220805168151855,0.1927098035812378,0.012885295623663877,250,250
home,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.19220679998397827,0.19237518310546875,0.004673124457065653,250,250
home,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.1910465955734253,0.19140559434890747,0.002834364688762095,250,250
work,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.18893134593963623,0.18908649682998657,0.009197311915715881,250,250
work,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.19653218984603882,0.19646865129470825,0.011373516023949672,250,250
work,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.19201987981796265,0.1925055980682373,0.019658025680408774,250,250
sister,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.17879265546798706,0.18035703897476196,0.015251081594690966,250,250
sister,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.1747136116027832,0.17350798845291138,0.04077953310692599,250,250
sister,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.1779078245162964,0.1753556728363037,0.021964027464881946,250,250
nurse,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.1705998182296753,0.1706000566482544,0.10154102370078574,128,144
nurse,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.16979730129241943,0.16979742050170898,0.037161449916829264,128,155
nurse,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.16730660200119019,0.1673070192337036,0.07139793726855294,144,155
charity,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.16986030340194702,0.16986048221588135,0.010380739349694643,134,100
charity,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.17584902048110962,0.17496776580810547,0.02517255611866315,134,214
charity,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.17215263843536377,0.1711602807044983,0.02365798584782556,100,214
duty,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.19565510749816895,0.19565504789352417,0.029030113065310257,156,175
duty,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.1965261697769165,0.19652611017227173,0.03415292729589655,156,126
duty,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.19246774911880493,0.1924675703048706,0.007547435644530826,175,126
woman,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.18369966745376587,0.18351590633392334,0.007755980754704215,250,250
woman,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.18103528022766113,0.1806710958480835,0.022060046354097654,250,250
woman,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.17849862575531006,0.17769843339920044,0.0076403639601107624,250,250
family,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.17870908975601196,0.17769688367843628,0.051321065103205665,250,250
family,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.17401427030563354,0.17346298694610596,0.021917496725659534,250,250
family,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.16569924354553223,0.166242778301239,0.01716169988297523,250,250
faith,1951-1957 vs 1958-1963,1951-1957,1958-1963,0.1894252896308899,0.19048583507537842,0.023787944037266258,250,250
faith,1951-1957 vs 1964-1970,1951-1957,1964-1970,0.18853533267974854,0.18893909454345703,0.009616775793676681,250,250
faith,1958-1963 vs 1964-1970,1958-1963,1964-1970,0.19107979536056519,0.1909189224243164,0.03282182538122652,250,250
