word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
relief,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.14649832248687744,0.14585256576538086,0.07241640596750466,250,250
relief,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1367623209953308,0.13508319854736328,0.03240022309583921,250,250
relief,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.13512837886810303,0.1347564458847046,0.011086576607197465,250,250
relief,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.144722580909729,0.1460893750190735,0.05775730288953258,250,250
relief,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.14544767141342163,0.14485907554626465,0.03833374913855407,250,250
relief,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.14930522441864014,0.15009766817092896,0.04995212216497621,250,250
relief,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.15355074405670166,0.1553037166595459,0.055959607977231256,250,250
relief,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.1415141224861145,0.1391916275024414,0.033144996459292864,250,250
relief,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.14676976203918457,0.1461431384086609,0.027937945577998082,250,250
relief,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.14755064249038696,0.14620369672775269,0.03134628079930198,250,250
welfare,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.17572122812271118,0.17691993713378906,0.036394685297564386,250,250
welfare,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18288469314575195,0.18311995267868042,0.08875545189955866,250,250
welfare,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.191145122051239,0.19172829389572144,0.08999403168588749,250,250
welfare,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.19594621658325195,0.19717329740524292,0.11073852980279818,250,250
welfare,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.189430832862854,0.18897145986557007,0.0999948502600305,250,250
welfare,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.19658464193344116,0.19653820991516113,0.0884647312557726,250,250
welfare,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.19953620433807373,0.19951492547988892,0.0918907432985993,250,250
welfare,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.20111393928527832,0.2017374038696289,0.03495934573381571,250,250
welfare,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.20462805032730103,0.20523297786712646,0.06867184777749896,250,250
welfare,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.2076604962348938,0.209771990776062,0.011939260128841587,250,250
war,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.16491949558258057,0.16524451971054077,0.016270133901837784,250,250
war,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1706712245941162,0.17064392566680908,0.07858254759243513,250,250
war,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.16732323169708252,0.1674758791923523,0.03092270479174472,250,250
war,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.1670593023300171,0.16756916046142578,0.01256776633798912,250,250
war,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1723254919052124,0.1729857325553894,0.044084710863145554,250,250
war,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.1697225570678711,0.17014402151107788,0.007833418487249867,250,250
war,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.16876423358917236,0.16975343227386475,0.009443609403217763,250,250
war,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.17501652240753174,0.17558544874191284,0.031191183505280936,250,250
war,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.17540085315704346,0.1764209270477295,0.05221210515726076,250,250
war,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.17081570625305176,0.1717246174812317,0.018565350478929203,250,250
service,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.19133079051971436,0.19259196519851685,0.029038602119866988,250,250
service,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18593615293502808,0.18735718727111816,0.005635806663031229,250,250
service,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.1836041808128357,0.18362921476364136,0.019653266694632084,250,250
