topic_num,label,frex,prob
1,Pioneer Women,"nauvoo, ann, lifesurname, fathersurname, husband, marry, grandchild, youngsurname, ivinssurname, brother, daughter, wife","mother, one, child, home, time, church, family, woman, young, sister, life, good"
2,Relief Society and Conference Reports,"tablespoon, butter, egg, teaspoon, calorie, juice, vitamin, cup, boil, vegetable, potato, diet","food, use, good, make, milk, water, one, fruit, add, sugar, vegetable, cup"
3,National & International Affairs,"prohibition, liquor, government, russia, constitution, british, palestine, germany, britain, amendment, troop, tax","state, war, unite, woman, great, people, government, man, law, american, make, country"
4,International Women's Councils,"council, delegate, genealogical, international, chairman, eee, emigration, aberdeen, suffrage, exposition, datum, congress","woman, council, state, national, genealogical, hold, record, name, work, one, interest, first"
5,Pioneer Heritage,"stake, attendance, branch, mission, counselor, stakesurname, bazaar, fund, chorister, conference, donate, sevier","stake, work, member, give, mission, hold, organization, conference, make, sister, visit, good"
6,Community Celebrations,"walter, wagon, plant, camp, horse, boat, indian, soil, tent, canyon, garden, vine","one, good, plant, come, indian, garden, water, see, man, make, time, tree"
7,Household Hints & Recipes,"poet, poetry, literature, joan, story, tale, stanza, novel, prose, lamanites, literary, nephite","book, story, life, write, great, man, one, lesson, people, literature, poem, make"
8,Moral Fiction,"artist, costume, marble, decoration, statue, wall, paint, opus, madame, musician, design, radium","one, room, make, beautiful, good, art, place, woman, use, see, music, home"
9,Advertisements for Clothing,"institution, hospital, education, educational, agency, medical, welfare, graduate, school, university, community, social","school, work, social, education, child, health, state, university, train, one, service, good"
10,Motherhood & Child-Rearing,"habit, parent, emotional, mental, responsibility, instinct, tendency, behavior, physical, attitude, failure, environment","child, good, life, home, one, make, must, family, mother, give, parent, time"
11,Advertisements for Goods and Services,"oer, shine, thy, gleam, soul, lip, morn, shadow, sweet, throb, gloom, glow","love, heart, life, god, come, thy, soul, know, one, shall, see, song"
12,Editorials on Scenic Nature,"didnt, couldnt, anne, cant, ive, wouldnt, yes, grandma, aint, tom, isnt, shes","say, mother, come, good, little, get, one, know, think, see, time, make"
13,Poems,"mclelland, farnsworthsurname, coray, edna, empeysurname, undertaker, sarah, lotta, reynolds, julinasurname, janette, lizzie","main, book, street, amy, south, sarah, brown, smith, bank, store, church, saint"
14,Mormon Women's Biographies,"rib, bleach, med, rayon, hvy, prepay, lisle, mercerized, unbleached, hyland, phone, cotton","new, cotton, style, weight, rib, buy, good, order, wool, light, old, bleach"
15,Genealogy,"abram, revelation, savior, covenant, doctrine, nimrod, commandment, lord, parable, mardan, dispensation, moses","god, man, lord, shall, say, come, one, church, upon, give, great, father"
