topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume_num,year,month,proportion_pct
1,Pioneer Women,0.9619476477633009,3851,June_Vol5_05_Article_Unusual_Mothers.txt,Unusual Mothers,NA,Article,5,1918,June,96.19
1,Pioneer Women,0.9533568345710395,3860,June_Vol5_16_Article_Music_iLttle_Silver_Mother.txt,Music iLttle Silver Mother,NA,Article,5,1918,June,95.34
1,Pioneer Women,0.9523248498739376,2349,March_Vol19_22_Article_Hyrum_Gibbs_Smith.txt,Hyrum Gibbs Smith,NA,Article,19,1932,March,95.23
1,Pioneer Women,0.9520586692231087,3821,January_Vol5_06_Poetry_Cecelia_(A_Poem)_Alfred_Lambourne.txt,Cecelia (A Poem) Alfred Lambourne,NA,Poem,5,1918,January,95.21
1,Pioneer Women,0.9484811772873811,354,August_Vol11_14_Article_Isabel_Wardell_Wright.txt,Isabel Wardell Wright,NA,Article,11,1924,August,94.85
1,Pioneer Women,0.9228872233470241,2556,May_Vol2_01_Article_Sarah_Ellen_Richards_Smith_Joseph_F._Smith.txt,Sarah Ellen Richards Smith Joseph F. Smith,NA,Article,2,1915,May,92.29
1,Pioneer Women,0.914052096321254,3859,"June_Vol5_15_Article_Little_Silver_Mother,_Song.txt","Little Silver Mother, Song",NA,Article,5,1918,June,91.41
1,Pioneer Women,0.9024777031878112,3939,September_Vol5_03_Article_A_Short_Biography_of_Mrs._Rhoda_Eldredge_Merrill.txt,A Short Biography of Mrs. Rhoda Eldredge Merrill,Mrs. Rhoda Eldredge Merrill,Article,5,1918,September,90.25
1,Pioneer Women,0.8912344505487438,2282,July_Vol19_10_Article_Alice_D_Pitt_Genevieve_R_Curtis.txt,Alice D. Pitt Genevieve R. Curtis,Pitt Genevieve R. Curtis,Article,19,1932,July,89.12
1,Pioneer Women,0.8817156427962558,801,December_Vol13_04_Article_Susan_West_Smith_Alice_Louise_Reynolds.txt,Susan West Smith Alice Louise Reynolds,NA,Article,13,1926,December,88.17
1,Pioneer Women,0.8736724013632821,3791,February_Vol5_02a_Article_Ex-President_Roosevelt_Congratulates_American_Mothers_a_a_b.txt,Ex-President Roosevelt Congratulates American Mothers,NA,Article,5,1918,February,87.37
1,Pioneer Women,0.8678132800988356,4457,March_Vol8_11b_Guide_Lessons_Work_and_Business.txt,Work and Business,NA,Guide,8,1921,March,86.78
1,Pioneer Women,0.865467546593959,4411,January_Vol8_03_Article_A_Blessed_Baby.txt,A Blessed Baby,NA,Article,8,1921,January,86.55
1,Pioneer Women,0.8491480570368681,2327,June_Vol19_30_Art_Merry_Little_Mother_Nona_H.txt,Merry Little Mother Nona H. Brown,H. Brown,Article,19,1932,June,84.91
