doc_id,filename,Title,Author,Article_Type,volume_num,year,month,dominant_topic,topic_label,proportion_pct,strong_exemplar
5002,October_Vol35_10_Poem_Grace_M._Candland.txt,Grace M. Candland,NA,Article,35,1948,October,1,Gardening and Flower Displays,98,TRUE
3075,January_Vol30_03_Article_While_the_Earth_Turns_Ekman.txt,While the Earth Turns Ekman,NA,Article,30,1943,January,1,Gardening and Flower Displays,97.9,TRUE
4632,October_Vol34_14_Article_The_Shallow_Roberts.txt,The Shallow Roberts,Dorothy J. Roberts,Article,34,1947,October,1,Gardening and Flower Displays,97.9,TRUE
5068,V36_08_01_Poem_August_Rigby.txt,August Rigby,Mary Rigby,Poem,36,1949,August,1,Gardening and Flower Displays,97.9,TRUE
4243,October_Vol33_01_Poem_Yesterdays_Frontispiece.txt,Yesterdays Frontispiece,Beatrice K. Ekman,Frontispiece,33,1946,October,1,Gardening and Flower Displays,97.8,TRUE
5241,V36_03_01_Poem_I_Have_Seen_Bailey.txt,I Have Seen Bailey,Alice Morrey Bailey,Poem,36,1949,March,1,Gardening and Flower Displays,97.8,TRUE
5452,V37_12_43_Poem_Silences_by_LaVern.txt,Silences by LaVern,LaVerne J. Stallings,Poem,37,1950,December,1,Gardening and Flower Displays,97.6,TRUE
4346,August_Vol34_25_Poem_One_Roberts.txt,One,NA,Poem,34,1947,August,1,Gardening and Flower Displays,97.5,TRUE
5372,V37_04_19_Poem_Renewal_by_Grace.txt,Renewal by Grace,Grace Sayre,Poem,37,1950,April,1,Gardening and Flower Displays,97.5,TRUE
386,April_Vol23_02_Poem_Promise_of_Pratt.txt,Promise of Pratt,Grace Zenor Pratt,Article,23,1936,April,1,Gardening and Flower Displays,97.4,TRUE
4918,March_Vol35_19_Article_Spring_Larsen.txt,Spring Larsen,NA,Article,35,1948,March,1,Gardening and Flower Displays,97.4,TRUE
5302,V36_11_13_Poem_November_Moon_Shomaker.txt,November Moon Shomaker,Margaret B. Shomaker,Poem,36,1949,November,1,Gardening and Flower Displays,97.4,TRUE
4982,November_Vol35_24_Poem_Desert_Dusk.txt,Desert Dusk,NA,Article,35,1948,November,1,Gardening and Flower Displays,97.3,TRUE
4239,November_Vol33_30_Poem_Old_Leaves_Unknown.txt,Old Leaves,NA,Poem,33,1946,November,1,Gardening and Flower Displays,97.2,TRUE
5003,October_Vol35_11_Poem_Migrants_Marvin_Jones.txt,Migrants Marvin Jones,Marvin Jones,Article,35,1948,October,1,Gardening and Flower Displays,97,TRUE
5334,V36_09_02_Poem_Autumn_Shomaker.txt,Autumn Shomaker,Margaret B. Shomaker,Poem,36,1949,September,1,Gardening and Flower Displays,97,TRUE
1459,November_Vol25_00pb1_Poem_There_Summer.txt,There Summer,NA,Poem,25,1938,November,1,Gardening and Flower Displays,96.9,TRUE
5579,V37_03_32_Poem_The_Desert_Is.txt,The Desert Is,Florence Berrett Dunford,Poem,37,1950,March,1,Gardening and Flower Displays,96.9,TRUE
2928,October_Vol29_25_Poem_From_This_to_Dusk_Ruby_Johnson.txt,From This to Dusk,NA,Poem,29,1942,October,1,Gardening and Flower Displays,96.8,TRUE
4513,June_Vol34_14_Poem_Honeymoon_McKey.txt,Honeymoon McKey,Blanche Kendall McKey,Article,34,1947,June,1,Gardening and Flower Displays,96.8,TRUE
5304,V36_11_15_Poem_November_Day_Ekman.txt,November Day Ekman,Beatrice K. Ekman,Poem,36,1949,November,1,Gardening and Flower Displays,96.8,TRUE
5671,V37_09_01_Poem_For_Early_Autumn_Christen.txt,For Early Autumn Christen,Berta H. Christensen,Poem,37,1950,September,1,Gardening and Flower Displays,96.8,TRUE
4454,January_Vol34_27_Poem_Birds_Marguerite_Kirkham.txt,Birds Marguerite Kirkham,NA,Article,34,1947,January,1,Gardening and Flower Displays,96.7,TRUE
2,April_Vol22_00pb2_Poem_April_Anderson.txt,April Anderson,NA,Poem,22,1935,April,1,Gardening and Flower Displays,96.5,TRUE
3486,November_Vol31_08_Poem_In_Ekman.txt,In Ekman,NA,Article,31,1944,November,1,Gardening and Flower Displays,96.5,TRUE
5361,V37_04_07_Poem_Dresden_Day_by.txt,Dresden Day by,Anna Prince Redd,Poem,37,1950,April,1,Gardening and Flower Displays,96.4,TRUE
4901,March_Vol35_02_Article_Christie_Lund_Coles.txt,Christie Lund Coles,NA,Article,35,1948,March,1,Gardening and Flower Displays,96.2,TRUE
2998,August_Vol30_10_Poem_Diurnal_Ensemble_Celia_A_Van_Cott.txt,Diurnal Ensemble,NA,Poem,30,1943,August,1,Gardening and Flower Displays,96,TRUE
5277,V36_05_11_Poem_Midas_and_the_Wangsgaa.txt,Midas and the Wangsgaa,Eva Willes Wangsgaard,Poem,36,1949,May,1,Gardening and Flower Displays,95.9,TRUE
5282,V36_05_16_Poem_Dawn_Fjeldste.txt,Dawn Fjeldste,Zara Sabin,Poem,36,1949,May,1,Gardening and Flower Displays,95.9,TRUE
701,October_Vol23_11_Article_Dame_Natures_Christiansen.txt,Dame Natures Christiansen,Way Matilda A. Christiansen,Article,23,1936,October,1,Gardening and Flower Displays,95.7,TRUE
2865,May_Vol29_08_Poem_Della_Adams_Leitner.txt,Della Adams Leitner,NA,Article,29,1942,May,1,Gardening and Flower Displays,95.7,TRUE
2630,April_Vol29_20_Poem_Wanderlust_Sylvia_Probst.txt,Wanderlust Sylvia Probst,NA,Article,29,1942,April,1,Gardening and Flower Displays,95.6,TRUE
5345,V36_09_13_Poem_Song_Young.txt,Song Young,Sylvia Probst Young,Poem,36,1949,September,1,Gardening and Flower Displays,95.6,TRUE
1658,February_Vol26_29_Poem_Roads_Grace_Zenor_Pratt.txt,Roads,H. Widtsoe,Frontispiece,26,1939,February,1,Gardening and Flower Displays,95.5,TRUE
4734,August_Vol35_30_Poem_Summer_Shines_With_Horne.txt,Summer Shines With Horne,NA,Article,35,1948,August,1,Gardening and Flower Displays,95.5,TRUE
5596,V37_05_05_Poem_Pastel_of_Spring_Roberts.txt,Pastel of Spring Roberts,Dorothy J. Roberts,Poem,37,1950,May,1,Gardening and Flower Displays,95.5,TRUE
4961,November_Vol35_01_Article_Christie_Lund_Coles.txt,Christie Lund Coles,"Christie Lund Coles,",Article,35,1948,November,1,Gardening and Flower Displays,95.4,TRUE
48,August_Vol22_21_Article_Ma_Carrie_Tanner.txt,Ma Carrie Tanner,Dorothy Clapp Robinson,Article,22,1935,August,1,Gardening and Flower Displays,95.2,TRUE
3208,November_Vol30_13_Poem_Mountain_Candland.txt,Mountain Candland,Grace M. Candland,Article,30,1943,November,1,Gardening and Flower Displays,95.2,TRUE
1285,February_Vol25_25_Article_The_Current_of_Life.txt,The Current of Life,NA,Article,25,1938,February,1,Gardening and Flower Displays,95.1,TRUE
4657,September_Vol34_11_Article_Nostalgia_Myrtle_Dean.txt,Nostalgia Myrtle Dean,NA,Article,34,1947,September,1,Gardening and Flower Displays,95.1,TRUE
