flagged,count,hunspell_suggestion,closest_vocab_term,closest_vocab_count
christ,2479,christ,NA,NA
latterday,2282,latter day,NA,NA
mary,1863,mary,make,14413
american,1788,american,NA,NA
didnt,1365,dint,NA,NA
mormon,1325,mormon,NA,NA
indian,1322,indian,NA,NA
christmas,1309,christmas,NA,NA
joseph,1213,joseph,NA,NA
america,1113,america,NA,NA
helen,932,helen,even,4852
idaho,918,idaho,NA,NA
ive,880,vie,one,17251
womans,877,woman,woman,9987
sunday,864,sunday,NA,NA
couldnt,833,couldn't,NA,NA
england,811,england,NA,NA
english,796,english,NA,NA
george,792,george,NA,NA
paul,758,paul,call,4529
isnt,722,inst,want,3305
california,699,california,NA,NA
edith,676,edith,faith,2884
henry,676,henry,heart,4127
alice,675,alice,life,10746
thats,666,thatch,NA,NA
youre,642,your,young,4114
amy,639,may,say,11551
tuesday,619,tuesday,NA,NA
wouldnt,618,wouldn't,NA,NA
elizabeth,603,elizabeth,NA,NA
margaret,578,margaret,NA,NA
ann,568,ann,one,17251
san,561,san,say,11551
womens,557,women,woman,9987
james,547,james,name,2373
washington,543,washington,NA,NA
janet,535,janet,want,3305
theres,516,theirs,three,2680
childrens,503,children,NA,NA
israel,499,israel,NA,NA
jane,494,jane,one,17251
wasnt,479,wast,saint,3487
youll,469,you'll,young,4114
annie,468,annie,NA,NA
david,448,david,NA,NA
sarah,444,sarah,earth,2211
anna,437,naan,NA,NA
martha,436,martha,earth,2211
secretarytreasurer,429,secretary treasurer,NA,NA
william,424,william,NA,NA
richards,420,richards,NA,NA
joanna,408,joanna,NA,NA
emma,401,emma,NA,NA
taylor,401,taylor,NA,NA
alyn,399,ally,plan,2839
hadnt,396,hadn't,hand,4328
mens,395,mend,man,10518
julia,394,julia,NA,NA
doesnt,389,doesn't,NA,NA
europe,388,europe,NA,NA
richard,375,richard,NA,NA
ruth,372,ruth,much,4715
thomas,366,thomas,NA,NA
andrew,364,andrew,NA,NA
