topic_num,label,prevalence_pct,frex_words,prob_words
1,Gardening and Flower Displays,11.87,"bloom, sky, blossom, flower, purple, cloud, bud, plant, gleam, sun, wind, bird, rose, crimson, toll","flower, tree, plant, light, garden, see, heart, come, long, white, earth, night, beauty, spring, hill"
2,Church Organizational Announcements,6.54,"secondclass, Sharp, payable, postpaid, insurance, expire, manuscript, beneficial, binder, Elliott, frontispiece, Madsen, mortuary, intermountain, garff","book, new, price, old, office, buy, south, special, address, business, deseret, church, company, build, send"
3,National & International Affairs,3.25,"constitution, government, russia, republic, political, cancer, flag, declaration, treaty, democracy, russian, military, freedom, arab, poland","state, government, war, american, man, unite, people, world, america, country, right, law, great, national, one"
4,Relief Society Conference Reports,9.31,"membership, attendance, conference, fund, session, welfare, project, organization, member, total, centennial, annual, tabernacle, auxiliary, assignment","member, work, stake, church, woman, organization, make, conference, mission, give, sister, service, hold, one, visit"
5,Motherhood and Marriage Advice,8.57,"habit, mental, attitude, adjustment, moral, sex, health, adult, relationship, problem, physical, behavior, income, marriage, normal","good, child, family, life, one, home, make, people, many, must, need, problem, social, great, time"
6,Recipes,11.72,"thy, soul, strength, sorrow, blessing, pray, heavenly, bless, prayer, faith, eternal, gratitude, deed, comfort, courage","life, love, man, god, great, good, give, heart, one, world, come, faith, woman, say, shall"
7,Poetry,6.66,"rayon, vitamin, med, juice, fabric, cotton, nonrun, tomato, yarn, wool, cheese, vegetable, stitch, weight, seam","make, use, good, one, food, color, material, room, style, clothe, clean, place, add, home, buy"
8,Religious Lessons & Scripture Study,6.98,"bob, alyn, janet, judith, linda, jim, steve, didnt, jimmy, tom, turner, joe, enid, couldnt, jinny","say, come, get, good, know, see, think, look, back, like, just, now, take, one, eye"
9,Women's Religious Responsibility,6.66,"exponent, graduate, university, Wells, womens, association, connelly, womans, Knight, kimball, suffrage, academy, Cannon, Life, durrant","woman, work, school, church, university, many, young, first, daughter, one, great, member, good, home, serve"
10,Pioneer Emigration & Journey Stories,6.62,"revelation, covenant, doctrine, disciple, savior, israel, luke, matt, moses, sabbath, parable, ghost, scripture, jerusalem, apostle","lord, god, church, man, lesson, jesus, christ, say, shall, come, prophet, give, one, gospel, great"
11,Relief Society Magazine Subscription and Correspondence Announcements,7.39,"christmas, boy, mother, grandmother, child, doll, toy, kareen, letter, game, girl, happy, salle, baby, little","mother, child, one, good, home, little, time, make, come, say, old, take, know, boy, think"
12,Fictional Stories,4.93,"poet, novel, poem, humor, contest, drama, literary, prose, lyric, composition, poetic, writer, reader, milton, essay","story, book, write, one, poem, music, literature, good, life, great, first, word, bible, song, lesson"
13,Advertisements,2.78,"pocatello, burley, montpelier, texaslouisiana, maricopa, rexburg, bazaar, Stake, gridley, rigby, pct, teton, blackfoot, uintah, myrtle","stake, branch, mission, leave, right, idaho, Counselor, photograph, state, submit, row, sister, south, north, mary"
14,Literature and Poetry,4.53,"indian, wagon, nauvoo, settlement, camp, missouri, andrew, handcart, settler, team, journey, mile, arrival, route, monument","pioneer, indian, one, build, man, first, make, people, saint, time, come, valley, home, two, great"
15,Relief Society Initiatives and Programs,2.18,"joanna, delsa, cory, linnie, nell, brill, abigail, hal, fred, alec, edith, ware, mama, kit, randy","say, good, look, come, like, think, know, just, take, get, see, edith, one, make, back"
