row_index,bertopic_topic,bertopic_prob
1,-1,0.0
2,0,0.932280294629238
3,0,1.0
4,-1,0.0
5,-1,0.0
6,2,0.7107850681631676
7,2,0.6916514682635838
8,13,0.2959006457281453
9,-1,0.0
10,-1,0.0
11,7,0.5170009349796755
12,14,1.0
13,18,1.0
14,4,0.9249487454025309
15,0,1.0
16,3,0.859932670629709
17,12,0.8891454374882342
18,-1,0.0
19,25,1.0
20,-1,0.0
21,8,1.0
22,-1,0.0
23,10,0.5474916699312738
24,25,0.3595192231925187
25,1,0.7319892415741844
26,1,1.0
27,1,1.0
28,1,0.9396046741560249
29,1,1.0
30,1,0.5570002567518818
31,1,0.8086059550938235
32,20,0.9927908312105681
33,-1,0.0
34,-1,0.0
35,0,0.9201237968836136
36,0,1.0
37,15,0.48927363810639574
38,3,1.0
39,-1,0.0
40,8,1.0
41,14,1.0
42,0,1.0
43,18,1.0
44,-1,0.0
45,-1,0.0
46,0,1.0
47,16,1.0
48,-1,0.0
49,2,0.6033616507980638
50,8,0.7812900977510574
51,7,0.9155452871347005
52,2,0.8852643587843831
53,12,0.308534208180952
54,-1,0.0
55,25,0.8953448398212904
56,-1,0.0
57,1,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,1,1.0
62,21,0.7493185121082557
63,-1,0.0
64,0,1.0
65,-1,0.0
66,-1,0.0
67,12,1.0
68,3,1.0
69,-1,0.0
70,20,0.703205366091861
71,14,1.0
72,0,1.0
73,16,1.0
74,0,0.76479690329014
75,18,0.8286137084173563
76,0,0.9138439066954409
77,-1,0.0
78,12,0.23275065484088006
79,10,1.0
80,7,0.6478703778914037
81,-1,0.0
82,2,0.6819778461935189
83,0,1.0
84,-1,0.0
85,14,0.8566350985097472
86,4,0.892609129999424
87,7,0.8424116896307878
88,0,0.6943337418158693
89,9,1.0
90,10,0.7407220033141627
91,8,0.9078987829728947
92,8,0.773454887070681
93,-1,0.0
94,3,0.8667775565376434
95,12,0.3904270533868712
96,25,0.5142742814249329
97,3,1.0
98,-1,0.0
99,-1,0.0
100,12,1.0
101,1,1.0
102,1,1.0
103,1,1.0
104,21,1.0
105,2,0.8852643587843831
106,0,1.0
107,-1,0.0
108,2,0.6931131252427559
109,7,1.0
110,-1,0.0
111,-1,0.0
112,14,0.5294236728220022
113,1,0.9578172437613248
114,-1,0.0
115,24,0.9411515838644028
116,-1,0.0
117,-1,0.0
118,13,0.25529146779756834
119,23,0.33463265140827636
120,21,0.8500958453273395
121,7,0.6062163582439596
122,-1,0.0
123,-1,0.0
124,1,0.7614055532298737
125,1,1.0
126,21,1.0
127,2,0.8596939732419778
128,0,1.0
129,0,1.0
130,13,0.40012503449345727
131,-1,0.0
132,7,0.46698609206977315
133,7,1.0
134,14,0.49715093679955186
135,-1,0.0
136,7,0.6748218079003289
137,0,1.0
138,18,1.0
139,9,1.0
140,7,0.5006925150670336
141,-1,0.0
142,3,0.8302253318809737
143,-1,0.0
144,9,0.9317959518320396
145,-1,0.0
