row_index,bertopic_topic,bertopic_prob
1,-1,0.0
2,-1,0.0
3,3,0.4888735178278911
4,-1,0.0
5,0,0.8138950513722326
6,0,0.7062830881035342
7,13,0.3381668264287929
8,6,0.6412842172639214
9,-1,0.0
10,-1,0.0
11,27,1.0
12,28,0.5676945922269936
13,-1,0.0
14,34,1.0
15,-1,0.0
16,16,1.0
17,-1,0.0
18,48,1.0
19,-1,0.0
20,-1,0.0
21,-1,0.0
22,4,0.7185999447701659
23,22,0.3524428133975426
24,-1,0.0
25,0,0.9735656429126348
26,11,0.7013524210997185
27,-1,0.0
28,8,0.8341779814793342
29,7,0.6466337736093708
30,6,0.9673284458054657
31,27,0.7616694432415814
32,-1,0.0
33,28,0.8150336299160102
34,-1,0.0
35,60,1.0
36,34,1.0
37,55,1.0
38,-1,0.0
39,0,0.8705286532448745
40,-1,0.0
41,3,0.6935339987032453
42,0,1.0
43,16,0.4622492390844579
44,-1,0.0
45,48,0.6183261618626736
46,6,0.6875195296808918
47,5,0.7634680287619973
48,-1,0.0
49,50,1.0
50,-1,0.0
51,-1,0.0
52,-1,0.0
53,16,1.0
54,-1,0.0
55,-1,0.0
56,27,1.0
57,34,0.8166820644767033
58,55,1.0
59,-1,0.0
60,-1,0.0
61,9,0.6498843321482298
62,-1,0.0
63,16,0.1417200271317996
64,4,0.7797575814206423
65,3,0.554495022909336
66,-1,0.0
67,0,0.9037622242583379
68,11,0.9398777338464925
69,-1,0.0
70,27,0.9221440003282171
71,-1,0.0
72,3,0.9289479669107168
73,-1,0.0
74,24,1.0
75,4,0.8736251347074109
76,6,0.8831959185068027
77,6,0.6685373711636661
78,-1,0.0
79,-1,0.0
80,16,0.3329010440654892
81,48,0.4847536817769021
82,8,0.8553980037147285
83,-1,0.0
84,-1,0.0
85,16,1.0
86,5,0.31692621226857426
87,39,1.0
88,0,0.9500213318819987
89,-1,0.0
90,-1,0.0
91,0,0.717148424306093
92,3,0.6840088969632442
93,-1,0.0
94,3,0.41056621610454236
95,27,0.9186607419140024
96,66,0.9576117557196756
97,28,1.0
98,33,0.6721912229782905
99,31,0.9307210516726467
100,-1,0.0
101,13,0.47435071512459054
102,43,0.4204807872011598
103,39,0.9628678919492063
104,3,0.9289479669107168
105,-1,0.0
106,-1,0.0
107,5,0.35423414668641634
108,39,1.0
109,0,0.6801240988462728
110,-1,0.0
111,11,0.737724516558979
112,13,0.3469360550195098
113,10,0.6516038187889748
114,3,0.4931040785481501
115,3,1.0
116,27,1.0
117,3,0.42361669596312235
118,3,0.7991123522978061
119,-1,0.0
120,28,0.8351815817754141
121,24,1.0
122,-1,0.0
123,-1,0.0
124,-1,0.0
125,-1,0.0
126,-1,0.0
127,-1,0.0
128,3,0.42053107783171123
129,-1,0.0
130,-1,0.0
131,5,0.7317690320051596
132,5,0.5143286080989183
133,39,1.0
134,-1,0.0
135,-1,0.0
136,11,0.9366807165758548
137,-1,0.0
138,24,0.9487223507743352
139,27,0.9537162717239255
140,-1,0.0
141,4,0.5307466348586913
142,3,0.43446218505234535
143,-1,0.0
144,-1,0.0
145,9,0.8214870025494435
146,16,0.42820225209410273
147,3,0.4746666941139145
148,-1,0.0
149,-1,0.0
150,3,1.0
151,6,1.0
152,-1,0.0
153,-1,0.0
154,5,0.34181026391062935
155,5,1.0
156,66,0.9681741593216023
157,5,0.8206564637592363
158,-1,0.0
159,16,0.7397328168743792
160,0,1.0
161,-1,0.0
162,29,0.9496249720161494
163,3,1.0
164,27,0.29917984005784665
165,-1,0.0
166,32,1.0
167,-1,0.0
168,34,0.937967626967973
169,24,0.8311605861348097
170,-1,0.0
171,0,0.6771265293043056
172,-1,0.0
173,3,0.6313090689171745
174,-1,0.0
175,10,1.0
176,-1,0.0
177,5,0.5354685658991826
178,-1,0.0
179,5,0.6909232194528827
180,39,0.8876792161632578
181,-1,0.0
182,-1,0.0
183,-1,0.0
184,-1,0.0
185,11,0.8412260358322315
186,-1,0.0
187,19,0.7047447526510041
188,27,1.0
189,18,0.628110020859922
190,6,0.6580032841153752
191,-1,0.0
192,-1,0.0
193,-1,0.0
194,7,0.7561692809731047
195,-1,0.0
196,-1,0.0
197,25,1.0
198,3,0.49573349143444373
199,-1,0.0
200,66,0.9945720912330765
201,-1,0.0
202,25,0.6047989208905709
203,-1,0.0
204,-1,0.0
205,-1,0.0
206,27,0.7069767737290715
207,49,0.935067464746053
208,18,0.6228306079100687
209,16,0.35045965051199174
210,48,0.2825347263204491
211,10,0.5924680979243392
212,0,0.7362983813400621
213,8,0.94050566953589
214,-1,0.0
215,5,0.8948012396134403
216,-1,0.0
217,-1,0.0
218,-1,0.0
219,11,0.6815514712289283
220,-1,0.0
221,-1,0.0
222,10,1.0
223,27,1.0
224,7,0.6029790319530189
225,-1,0.0
226,-1,0.0
227,-1,0.0
228,16,0.9775255522062852
229,25,0.6032396415241925
230,3,1.0
231,13,0.3591907066253465
232,48,1.0
233,8,1.0
234,5,0.4020069286722198
235,-1,0.0
236,-1,0.0
237,-1,0.0
238,0,0.8717989510990801
239,-1,0.0
240,13,0.27951317995090713
241,-1,0.0
242,27,0.8154733572860748
243,22,1.0
244,-1,0.0
245,-1,0.0
246,47,1.0
247,16,0.8604679267992061
248,48,1.0
249,-1,0.0
250,8,1.0
251,-1,0.0
252,3,0.5494539465765749
253,-1,0.0
254,-1,0.0
255,-1,0.0
256,5,0.5753547676593957
257,-1,0.0
258,-1,0.0
259,-1,0.0
260,-1,0.0
261,55,0.9424049299164933
262,3,0.43302956995473946
263,13,0.29767465563301565
264,27,0.12972859689362737
265,18,1.0
266,7,0.8904003051589969
267,-1,0.0
268,-1,0.0
269,-1,0.0
270,25,1.0
271,25,1.0
272,-1,0.0
273,49,1.0
274,-1,0.0
275,-1,0.0
276,-1,0.0
277,21,0.788118970007148
278,-1,0.0
279,-1,0.0
280,-1,0.0
281,6,0.6696860597600447
282,66,1.0
283,39,0.7250880669610857
284,-1,0.0
285,-1,0.0
286,4,0.6516001027360768
287,7,0.6232337306810082
288,10,0.8595127742854617
289,27,0.7805631186747325
290,-1,0.0
291,-1,0.0
292,34,1.0
293,4,0.9987998598052616
294,16,0.1732965525771795
295,48,1.0
296,-1,0.0
297,-1,0.0
298,-1,0.0
299,-1,0.0
300,31,0.6774905484000602
301,-1,0.0
302,6,0.6118368580317614
303,-1,0.0
304,5,0.4486976508402413
305,-1,0.0
306,-1,0.0
307,-1,0.0
308,11,0.6758062508740159
309,-1,0.0
310,16,1.0
311,27,0.28639068872248397
312,6,1.0
313,-1,0.0
314,13,0.2246866647626934
315,-1,0.0
316,-1,0.0
317,-1,0.0
318,48,1.0
319,5,0.7553984718270569
320,39,1.0
321,-1,0.0
322,0,1.0
323,-1,0.0
324,-1,0.0
325,3,0.7182866900700138
326,27,0.88612322428502
327,-1,0.0
328,-1,0.0
329,-1,0.0
330,34,0.7779910075011669
331,-1,0.0
332,-1,0.0
333,13,0.6396315237155341
334,-1,0.0
335,63,1.0
336,47,0.6539599038172187
337,48,1.0
338,5,0.5769541741939647
339,5,0.6881116639342842
340,5,0.7570056129493078
341,39,1.0
342,-1,0.0
343,-1,0.0
344,-1,0.0
345,13,0.9750308111632882
346,10,1.0
347,27,0.9469737310210451
348,18,0.8783319173946352
349,-1,0.0
350,6,0.5897260811111994
351,4,0.5332824457622807
352,-1,0.0
353,-1,0.0
354,6,0.6165071731522634
355,3,0.431957237925841
356,39,0.7260673174867102
357,48,1.0
358,39,0.7479082214116298
359,-1,0.0
360,13,0.6738083466064909
361,-1,0.0
362,0,1.0
363,-1,0.0
364,3,0.6619780384697636
365,3,0.5195898509146948
366,-1,0.0
367,27,0.6394062772561812
368,-1,0.0
369,31,1.0
370,-1,0.0
371,-1,0.0
372,-1,0.0
373,-1,0.0
374,31,1.0
375,31,0.8125377784629068
376,4,0.6603855881825981
377,-1,0.0
378,-1,0.0
379,48,1.0
380,-1,0.0
381,-1,0.0
382,-1,0.0
383,-1,0.0
384,-1,0.0
385,1,0.864235009063021
386,-1,0.0
387,-1,0.0
388,13,0.39359095427019464
389,0,0.6698623298822243
390,37,1.0
391,27,0.06948938906032114
392,31,1.0
393,15,0.9209846889101092
394,-1,0.0
395,6,0.7565937200550777
396,-1,0.0
397,28,0.7339728937487806
398,8,0.9595586437317578
399,3,0.9298830798671195
400,-1,0.0
401,-1,0.0
402,4,0.9075484244517121
403,48,1.0
404,3,0.4293829537455022
405,16,1.0
406,39,1.0
407,0,0.7308410778450496
408,21,1.0
409,13,0.37224804536585965
410,-1,0.0
411,-1,0.0
412,6,0.6287281069695104
413,4,0.9881714367206103
414,27,1.0
415,31,0.8700252850918748
416,18,0.6635994214072108
417,-1,0.0
418,-1,0.0
419,-1,0.0
420,-1,0.0
421,47,0.7703861913185591
422,43,0.6852836833193299
423,-1,0.0
424,-1,0.0
425,39,1.0
426,-1,0.0
427,5,0.7646851017626696
428,5,0.5054673691664124
429,5,0.937061644498573
430,39,0.8135758540469555
431,-1,0.0
432,-1,0.0
433,13,0.4695354005529614
434,0,0.6855320819861312
435,3,1.0
436,-1,0.0
437,16,1.0
438,27,0.12381758431371855
439,6,1.0
440,-1,0.0
441,13,0.5104642292886292
442,9,0.8214870025494435
443,-1,0.0
444,-1,0.0
445,6,1.0
446,4,1.0
447,4,0.5621952799296729
448,3,0.5886540592493247
449,48,1.0
450,4,0.5522718569824532
451,29,0.6915398904882725
452,5,0.4662016664035833
453,5,0.37338730506716444
454,39,0.8578540215333436
455,21,0.936169895348084
456,11,1.0
457,0,1.0
458,-1,0.0
459,4,0.6579935640054334
460,3,1.0
461,27,1.0
462,-1,0.0
463,7,0.5895250634072176
464,34,1.0
465,-1,0.0
466,-1,0.0
467,4,0.7165738560198189
468,-1,0.0
469,4,0.7834102178554523
470,47,1.0
471,6,0.7246540976664269
472,8,0.9924587001468598
473,6,0.6019354168675785
474,48,1.0
475,-1,0.0
476,32,0.9094580412159219
477,-1,0.0
478,5,0.5266777365612533
479,39,1.0
480,-1,0.0
481,-1,0.0
482,-1,0.0
483,-1,0.0
484,3,0.4149656229297876
485,47,1.0
486,27,1.0
487,18,0.5766395311643923
488,-1,0.0
489,34,0.922090161432839
490,6,0.6312915417666352
491,48,0.36892875891491006
492,16,0.9436232610387423
493,-1,0.0
494,0,0.9439759903407897
495,-1,0.0
496,3,0.5285959281837873
497,-1,0.0
498,6,0.7246540976664269
499,-1,0.0
500,6,0.7246540976664269
501,28,0.8149662194125038
502,5,0.8518407403903048
503,65,1.0
504,0,0.9795842766828279
505,68,1.0
506,15,0.9247484331263826
507,-1,0.0
508,0,0.9186788951152166
509,-1,0.0
510,10,0.5409143000235007
511,1,1.0
512,-1,0.0
513,-1,0.0
514,28,0.8833783149657959
515,-1,0.0
516,-1,0.0
517,-1,0.0
518,1,1.0
519,-1,0.0
520,1,1.0
521,38,1.0
522,42,1.0
523,-1,0.0
524,-1,0.0
525,9,0.8887109805937101
526,-1,0.0
527,-1,0.0
528,11,0.6708536038858909
529,-1,0.0
530,-1,0.0
531,-1,0.0
532,0,0.9067357795135531
533,-1,0.0
534,-1,0.0
535,-1,0.0
536,3,0.38917365101841034
537,-1,0.0
538,-1,0.0
539,9,0.931118949043513
540,-1,0.0
541,-1,0.0
542,45,0.9867704923128648
543,45,1.0
544,-1,0.0
545,-1,0.0
546,-1,0.0
547,3,0.40326450823999305
548,-1,0.0
549,-1,0.0
550,22,0.16915415612722906
551,26,0.894943475260067
552,0,0.6619723246660156
553,-1,0.0
554,-1,0.0
555,19,0.7750752925582924
556,-1,0.0
557,-1,0.0
558,-1,0.0
559,11,0.6857295355899247
560,22,0.16848524486985558
561,1,1.0
562,21,0.7717313838640927
563,-1,0.0
564,-1,0.0
565,38,1.0
566,38,0.6541273703896481
567,64,1.0
568,3,0.909302291604552
569,-1,0.0
570,19,0.7430077159197527
571,0,0.8079715485354144
572,-1,0.0
573,18,0.5870736559584491
574,18,0.6742052411651588
575,-1,0.0
576,-1,0.0
577,1,1.0
578,1,1.0
579,68,1.0
580,2,0.8003508692928255
581,-1,0.0
582,38,1.0
583,-1,0.0
584,-1,0.0
585,-1,0.0
586,7,0.6244082945376628
587,-1,0.0
588,0,0.6685075551591623
589,-1,0.0
590,0,0.7102924622207648
591,-1,0.0
592,19,0.6330630324845355
593,32,1.0
594,49,0.905900051988156
595,-1,0.0
596,-1,0.0
597,14,0.30954385948817875
598,1,1.0
599,1,1.0
600,1,1.0
601,1,1.0
602,42,1.0
603,42,1.0
604,42,0.8911733845587467
605,-1,0.0
606,-1,0.0
607,42,0.9436913573356557
608,38,1.0
609,-1,0.0
610,-1,0.0
611,3,0.41441017862956775
612,-1,0.0
613,36,0.9033527116377318
614,-1,0.0
615,-1,0.0
616,33,0.946373138946513
617,33,1.0
618,3,0.9289479669107168
619,9,1.0
620,4,0.5556220944898911
621,19,0.5857070029529079
622,-1,0.0
623,-1,0.0
624,-1,0.0
625,1,0.7080109132338446
626,1,0.6346925588328712
627,0,1.0
628,1,0.9641960863502476
629,-1,0.0
630,-1,0.0
631,11,0.74120594276376
632,-1,0.0
633,-1,0.0
634,38,1.0
635,8,0.8114891786119682
636,53,1.0
637,-1,0.0
638,-1,0.0
639,-1,0.0
640,-1,0.0
641,4,0.9725937068463997
642,-1,0.0
643,-1,0.0
644,0,0.6669364865196739
645,32,1.0
646,-1,0.0
647,-1,0.0
648,-1,0.0
649,-1,0.0
650,-1,0.0
651,-1,0.0
652,-1,0.0
653,19,0.6177115779462801
654,-1,0.0
655,-1,0.0
656,-1,0.0
657,0,0.6669364865196739
658,-1,0.0
659,21,1.0
660,1,1.0
661,-1,0.0
662,-1,0.0
663,-1,0.0
664,11,1.0
665,-1,0.0
666,2,0.7891343582291861
667,-1,0.0
668,-1,0.0
