topic,label,prevalence,split_year,max_jsd
7,T7: Poems,0.06905890925903152,1872,0.1938835597730346
5,T5: Relief Society and Conference Reports,0.058082384650882876,1872,0.20106322542780763
21,T21: Editorial Advice,0.057579808454280665,1911,0.20231131579732897
8,T8: Relief Society Board Meeting Reports,0.046475345083647576,1872,0.18156694264492168
26,T26: Mourning and Memoriam,0.04347621171079115,1911,0.17750451802600567
17,T17: Moral Stories,0.0389528699370435,1911,0.19073957010045678
34,T34: Gospel Doctrine and Spiritual Kingdom,0.038907953571646885,1911,0.22591784207002946
19,T19: Obituaries,0.03597249130351575,1872,0.19361510352165776
2,T2: National and International Women's Councils,0.033272128498971286,1872,0.25704189107502984
30,T30: Women's Suffrage & Political Rights,0.03312589320371844,1911,0.24970057885883393
16,T16: Political Party News and Events,0.03206202671858163,1910,0.2957758052658075
10,T10: Primary Association Reports,0.028285556292330954,1872,0.30058264909269466
24,T24: Women's Education and Refinement,0.027926287876676576,1911,0.22805256357771392
25,T25: Gospel Doctrine & Scripture,0.02788101099898732,1872,0.16919074812266216
29,T29: Current Events and News,0.02784191981179571,1911,0.2959873800464782
4,T4: Literature & Book Reviews,0.02582188786523062,1911,0.2116966755672165
6,T6: Poetic Prose and Literature,0.025792829958517755,1872,0.1678395881582953
9,T9: Resolutions of Respect,0.025540896092623278,1911,0.19045999139861083
28,T28: Textile Advertisements,0.024972255531891748,1911,0.2750559799564001
13,T13: Birthday Announcements,0.02418272508564802,1872,0.23693879162464
18,T18: Community Celebrations,0.02412794776918247,1911,0.2182801354279133
15,T15: Motherhood,0.023201391178839462,1911,0.1716134853908078
32,T32: Polygamy and Political News,0.023012455314275336,1911,0.22097102045808642
23,T23: Advertisements,0.02269709624080338,1911,0.20298784396955105
27,T27: Household Hints and Recipes,0.021680289923674802,1911,0.22327478315580668
22,T22: Sericulture,0.02151618673316255,1911,0.24639675723168686
20,T20: Pioneer Legacy,0.02055571681705736,1911,0.1964565495883157
35,T35: Education and Technical Training,0.018488651286370502,1911,0.1705410615814948
14,T14: International News and Histories,0.018102585193296963,1911,0.18206683934313006
11,T11: Railroad Advertisements,0.01710503988434961,1911,0.2019122485043939
3,T3: Fictional Stories,0.016314865324574455,1911,0.26370437368708655
1,T1: Historical People and Places,0.015006274472148928,1911,0.1992279128222214
31,T31: L.D.S. Women of the Past,0.014383769208955718,1872,0.2603098199418776
12,T12: Musical Programs & Performances,0.012453626749892636,1872,0.1977839375864886
33,T33: Serialized Fiction,0.006142711997602579,1872,0.18436326833633598
