topic_num,label,frex,prob
1,Accomplished Women in the News,"fanny, los, angeles, reynolds, california, willard, stuart, nye, francisco, news, cooper, louise","news, author, title, unknown, womans, san, name, california, university, willard, francisco, fanny"
2,Poetry,"oer, thy, sky, thine, een, oft, hath, tread, tear, doth, shine, brow","love, thy, heart, life, day, author, title, sweet, come, unknown, shall, long"
3,Advertisements,"obstetric, denver, ticket, omaha, roberts, bank, class, nurse, midwifery, main, graduate, cashier","class, author, title, nurse, unknown, open, street, school, account, good, womans, woman"
4,Women's Culture and Recipes,"marble, wall, cup, boil, carve, cliff, statue, tower, window, color, dome, sculpture","one, beautiful, build, see, place, many, old, make, house, foot, tree, color"
5,Obituaries & Tributes,"resolve, bereave, loss, resolution, whereas, obituary, mourn, beloved, memoriam, faithful, emulate, heartfelt","society, sister, relief, resolve, resolution, love, faithful, one, loss, respect, life, death"
6,Serialized Fiction,"bland, walton, cousin, maitland, clair, deborah, harrison, sidney, conway, uncle, hilliard, anna","know, one, come, good, young, lady, say, anna, make, man, old, time"
7,Community Celebrations,"guest, birthday, decorate, anniversary, enjoyable, hostess, banquet, congratulation, delightful, table, party, delicious","give, party, honor, guest, sister, present, one, friend, many, good, young, day"
8,National and International Women Councils,"international, council, sewall, national, reduction, triennial, communication, extra, liberal, affiliate, congress, quinquennial","council, woman, national, one, womans, congress, international, business, hold, state, unite, peace"
9,Public Event Announcements,"hymn, musical, choir, tabernacle, pioneer, woodruff, apostle, dramatic, singer, whitney, wilford, prof","sing, great, first, music, people, pioneer, cannon, hymn, give, man, one, youngsurname"
10,Women's Suffrage & Political Rights,"political, politic, vote, sex, franchise, equality, citizen, ballot, equal, government, voter, justice","woman, man, state, right, good, vote, suffrage, say, law, make, equal, question"
11,Current Events and News,"ferdinand, spain, columbus, egypt, armenian, castile, hate, throne, horror, race, civilize, war","man, great, war, peace, world, time, country, people, century, one, upon, power"
12,Sericulture,"worm, cocoon, silk, colony, slavery, pottery, slave, mulberry, colonial, proclamation, soldier, egg","state, silk, war, make, one, new, first, cross, american, great, unite, day"
13,Pioneer Heritage and Memoriam Resolutions,"grandchild, nauvoo, baptize, die, hardship, eldest, funeral, reside, missouri, marry, husband, son","sister, child, mother, one, bear, family, life, home, daughter, time, saint, die"
14,Women's Suffrage Leaders and Meetings,"anthony, convention, stanton, suffrage, shaw, cady, county, frage, exhibit, mott, bill, association","woman, suffrage, state, womans, association, note, lady, convention, new, anthony, title, author"
15,Stories of Moral Courage,"christmas, want, little, sit, tell, yes, door, baby, didnt, boy, wont, anything","say, one, good, little, know, come, think, see, mother, home, tell, never"
16,Relief Society Reports and Projects,"wheat, branch, granary, grain, society, organization, fund, assist, organize, needy, effort, industry","society, work, relief, good, make, stake, give, sister, build, woman, organization, take"
17,Accomplished Women Biographies,"benson, colton, oneida, bartlett, uintah, parkinson, merkley, vernal, cutler, geddes, jordan, jensen","title, womans, author, mary, annie, sarah, davis, clark, hannah, unknown, benson, box"
18,Famous Women,"madame, empress, victoria, magazine, queen, princess, majesty, poetry, literary, mountford, literature, edit","woman, book, write, one, work, say, queen, lady, good, great, england, first"
19,Traveler's Correspondence,"mile, camp, wagon, start, road, team, journey, cattle, ride, travel, horse, river","good, day, brother, take, one, time, come, house, make, leave, see, mile"
20,Relief Society Conference Reports,"stake, conference, counselor, bishop, primary, dixon, dusenberry, nebo, relief, statistical, bingham, eliza","sister, society, stake, relief, conference, counselor, give, good, hold, bishop, sing, present"
21,Editor's Event and Book Reviews,"certainly, uplift, activity, transpire, necessarily, advancement, familiar, assuredly, attain, tendency, mankind, perhaps","one, great, good, woman, many, people, time, work, make, life, world, much"
22,Gospel Doctrine and Spiritual Kingdom,"savior, jesus, god, holy, prophet, christ, sin, heaven, lord, righteousness, covenant, earth","god, say, lord, man, shall, prophet, one, time, spirit, come, faith, father"
23,Relief Society Board Meeting Reports,"testimony, bless, horne, lord, speak, thankful, sing, pray, semimonthly, blessing, sister, stevenson","sister, say, speak, good, feel, sing, lord, bless, god, work, prayer, come"
24,Motherhood and Children's Education,"lesson, cov, doc, motherhood, parent, habit, obedience, lecture, avoid, physical, cleanliness, child","child, mother, home, good, life, lecture, teach, parent, love, lesson, make, give"
25,Utah Woman's Press Club Reports,"club, alder, poem, freeze, federation, ferguson, wilcox, woodmansee, shipp, regent, pratt, original","club, member, poem, give, wellssurname, author, paper, well, hold, title, womans, shipp"
