corpus,hand,n_docs,mean_sentiment_afinn,mean_sentiment_vader,year_min,year_max,top_function_words,example_titles
Relief_Society_Magazine,REL-hand-05,1095,0.0703,0.9414,1914.0,1970.0,"during, has, its, been, under, were, having, of",August Vol30 00 Misc | Suffrage Won by the Mothers of the United States | Lesson Department
Relief_Society_Magazine,REL-hand-04,936,0.0527,0.82,1914.0,1970.0,"should, or, itself, must, cannot, does, between, may",Social Service - Facts on Physical Growth | Lessons Guide Lessons for January | Officers Meeting Afternoon Session
Relief_Society_Magazine,REL-hand-03,633,0.0551,0.8407,1914.0,1970.0,"unto, hath, thou, ye, himself, thy, thee, shall",Cicelia | April Vol15 00 Misc | Lesson Department
Relief_Society_Magazine,REL-hand-02,581,0.0337,0.7703,1915.0,1970.0,"herself, she, hers, down, you, had, off, could",matter | The | Notes to the
Relief_Society_Magazine,REL-hand-06,574,0.0477,0.8367,1915.0,1970.0,"had, her, she, were, herself, did, was, could",General Session Saturday Morning | 01 | Editorial Call of the Hills Helen Kimball Orgill
Relief_Society_Magazine,REL-hand-00,552,0.0527,0.9414,1914.0,1970.0,"below, your, no, above, further, doth, yourself, or",June Vol5 Misc | V1 1914 Feb 00 Misc | January Vol15 00 Misc
Relief_Society_Magazine,REL-hand-09,547,0.0796,0.878,1914.0,1970.0,"ourselves, ours, we, our, doing, those, do, doth",Guide Lessons | Relief Society Conference | Relief Society Conference
Relief_Society_Magazine,REL-hand-07,238,0.0447,0.9369,1915.0,1970.0,"once, from, theirs, ye, hath, my, under, doth",Magazine Subscript | The Magazine Honor | The | Author: Ellison
Relief_Society_Magazine,REL-hand-01,209,0.1153,0.9783,1915.0,1970.0,"am, my, me, i, myself, very, thee, cannot",V51 05 00 Misc | V50 05 00 Misc | V48_08_00_Misc
Relief_Society_Magazine,REL-hand-08,59,0.0363,0.9612,1926.0,1965.0,"by, yourself, ye, from, once, for, against, under",April Vol40 00 Misc | April Vol40 00 CONTENTS | V36 01 00 CONTENTS
Womans_Exponent,WOM-hand-09,2090,0.0519,0.8475,1872.0,1912.0,"has, during, further, been, under, its, itself, will",WOMAN'S SUFFRAGE IN UTAH. | NEWS AND VIEWS. | RIGHTS.
Womans_Exponent,WOM-hand-08,2018,0.0549,0.7953,1872.0,1912.0,"does, itself, because, themselves, against, cannot, or, why","INTRODUCTORY. | THEATRE, SALT LAKE CITY. | CIATION:"
Womans_Exponent,WOM-hand-07,1784,0.0769,0.9407,1872.0,1912.0,"were, after, by, was, few, very, being, had",CALAMITY. | RELIEF SOCIETY REPORTS. | RICHFIELD
Womans_Exponent,WOM-hand-01,1203,0.0903,0.9687,1872.0,1912.0,"ourselves, doing, we, our, yours, here, do, ought",EXERCISES AT THE TABERNACLE. | GENERAL CONFERENCE RELIEF SOCIETY. | R. S. REPORTS.
Womans_Exponent,WOM-hand-02,863,0.0948,0.8823,1872.0,1912.0,"doth, thy, thee, hath, thou, ye, ours, below","PREST. BRIGHAM YOUNG. | THE JUBILEE OF ZION, | AN ARIZONA CHRISTMAS."
Womans_Exponent,WOM-hand-03,848,0.0557,0.8464,1872.0,1912.0,"she, her, whom, herself, was, until, hers, where",ELLEN HARTWELL | WOMEN IN MEDICINE. | Am I Queen in My Home?
Womans_Exponent,WOM-hand-00,703,0.0432,0.7398,1872.0,1912.0,"him, himself, he, his, did, why, had, could",ONCE A YEAR OR A CHRISTMAS | ONE CHRISTMAS EVE. | CHRISTMAS IN AN ENGLISH VILLAGE.
Womans_Exponent,WOM-hand-04,665,0.066,0.8407,1872.0,1912.0,"myself, am, me, my, i, yours, you, did",WEBER STAKE. | AUNT ESTHER’S SWEETHEART. | DEAR READERS of the WOMAN'S EX-
Womans_Exponent,WOM-hand-06,463,0.0335,0.7159,1872.0,1912.0,"between, each, no, has, at, yours, any, during",FRONT_MATTER | R. S. REPORTS. | R. S. REPORTS.
Womans_Exponent,WOM-hand-05,445,0.0596,0.797,1872.0,1912.0,"yourself, your, you, off, if, or, into, until",PRESIDENT FRANKLIN D. RICHARDS. | LETTER | HOUSEHOLD HINTS.
