word,floater,sense,lift,n_in_sense,n_total
suffrage,woman*,0,1.349,178,659
suffrage,woman*,1,1.214,221,659
suffrage,woman*,2,1.101,149,659
suffrage,woman*,3,0.598,59,659
suffrage,woman*,4,0.468,52,659
suffrage,association*,0,3.753,118,157
suffrage,association*,1,0.069,3,157
suffrage,association*,2,0.124,4,157
suffrage,association*,3,0.979,23,157
suffrage,association*,4,0.34,9,157
suffrage,state*,0,0.849,25,147
suffrage,state*,1,1.453,59,147
suffrage,state*,2,0.828,25,147
suffrage,state*,3,0.909,20,147
suffrage,state*,4,0.727,18,147
suffrage,national,0,2.869,77,134
suffrage,national,1,0.243,9,134
suffrage,national,2,0.4,11,134
suffrage,national,3,1.247,25,134
suffrage,national,4,0.531,12,134
suffrage,mrs,0,1.272,27,106
suffrage,mrs,1,0.444,13,106
suffrage,mrs,2,0.459,10,106
suffrage,mrs,3,1.261,20,106
suffrage,mrs,4,2.016,36,106
suffrage,utah,0,1.486,25,84
suffrage,utah,1,1.035,24,84
suffrage,utah,2,0.754,13,84
suffrage,utah,3,1.034,13,84
suffrage,utah,4,0.636,9,84
vote,woman*,0,0.115,2,282
vote,woman*,1,1.564,125,282
vote,woman*,2,0.509,28,282
vote,woman*,3,0.379,23,282
vote,woman*,4,1.508,104,282
vote,man*,0,0.0,0,138
vote,man*,1,1.431,56,138
vote,man*,2,1.002,27,138
vote,man*,3,0.202,6,138
vote,man*,4,1.452,49,138
vote,president*,0,3.069,17,90
vote,president*,1,0.666,17,90
vote,president*,2,0.569,10,90
vote,president*,3,2.064,40,90
vote,president*,4,0.273,6,90
vote,state*,0,0.203,1,80
vote,state*,1,1.102,25,80
vote,state*,2,0.448,7,80
vote,state*,3,0.523,9,80
vote,state*,4,1.943,38,80
vote,mrs,0,3.9,18,75
vote,mrs,1,0.329,7,75
vote,mrs,2,0.547,8,75
vote,mrs,3,2.044,33,75
vote,mrs,4,0.491,9,75
vote,society*,0,1.781,8,73
vote,society*,1,0.821,17,73
vote,society*,2,0.912,13,73
vote,society*,3,2.1,33,73
vote,society*,4,0.112,2,73
rights,woman*,0,0.466,73,504
rights,woman*,1,0.801,93,504
rights,woman*,2,3.581,248,504
rights,woman*,3,0.628,89,504
rights,woman*,4,0.049,1,504
rights,man*,0,1.339,67,161
rights,man*,1,1.025,38,161
rights,man*,2,0.09,2,161
rights,man*,3,1.104,50,161
rights,man*,4,0.618,4,161
rights,nation*,0,0.212,7,106
rights,nation*,1,0.205,5,106
rights,nation*,2,5.63,82,106
rights,nation*,3,0.403,12,106
rights,nation*,4,0.0,0,106
rights,zion,0,0.037,1,88
rights,zion,1,0.0,0,88
rights,zion,2,7.195,87,88
rights,zion,3,0.0,0,88
rights,zion,4,0.0,0,88
rights,exponent*,0,0.0,0,87
rights,exponent*,1,0.1,2,87
rights,exponent*,2,7.11,85,87
rights,exponent*,3,0.0,0,87
rights,exponent*,4,0.0,0,87
rights,state*,0,1.725,37,69
rights,state*,1,0.881,14,69
rights,state*,2,0.0,0,69
rights,state*,3,0.773,15,69
rights,state*,4,1.081,3,69
relief,society*,0,0.907,245,745
relief,society*,1,0.761,61,745
relief,society*,2,0.83,138,745
relief,society*,3,1.612,284,745
relief,society*,4,0.325,17,745
relief,sister*,0,1.201,81,186
relief,sister*,1,0.85,17,186
relief,sister*,2,0.795,33,186
relief,sister*,3,1.068,47,186
relief,sister*,4,0.612,8,186
relief,president*,0,1.187,74,172
relief,president*,1,0.541,10,172
relief,president*,2,0.886,34,172
relief,president*,3,1.254,51,172
relief,president*,4,0.248,3,172
relief,stake*,0,0.801,43,148
relief,stake*,1,0.942,15,148
relief,stake*,2,1.424,47,148
relief,stake*,3,1.114,39,148
relief,stake*,4,0.384,4,148
relief,ward*,0,0.792,33,115
relief,ward*,1,0.889,11,115
relief,ward*,2,1.481,38,115
relief,ward*,3,1.14,31,115
relief,ward*,4,0.247,2,115
relief,magazine*,0,0.375,14,103
relief,magazine*,1,0.812,9,103
relief,magazine*,2,1.654,38,103
relief,magazine*,3,1.683,41,103
relief,magazine*,4,0.138,1,103
welfare,society*,0,1.414,39,171
welfare,society*,1,0.478,34,171
welfare,society*,2,0.61,16,171
welfare,society*,3,1.74,54,171
welfare,society*,4,1.87,28,171
welfare,church,0,1.394,38,169
welfare,church,1,0.128,9,169
welfare,church,2,0.039,1,169
welfare,church,3,1.891,58,169
welfare,church,4,4.258,63,169
welfare,relief,0,1.751,37,131
welfare,relief,1,0.22,12,131
welfare,relief,2,0.448,9,131
welfare,relief,3,2.061,49,131
welfare,relief,4,2.093,24,131
welfare,work*,0,1.66,34,127
welfare,work*,1,0.454,24,127
welfare,work*,2,0.821,16,127
welfare,work*,3,1.692,39,127
welfare,work*,4,1.259,14,127
welfare,woman*,0,0.65,13,124
welfare,woman*,1,1.182,61,124
welfare,woman*,2,0.368,7,124
welfare,woman*,3,1.378,31,124
welfare,woman*,4,1.105,12,124
welfare,child*,0,0.292,5,106
welfare,child*,1,0.816,36,106
welfare,child*,2,1.537,25,106
welfare,child*,3,1.975,38,106
welfare,child*,4,0.216,2,106
charity,fund*,0,0.0,0,138
charity,fund*,1,0.119,5,138
charity,fund*,2,0.041,1,138
charity,fund*,3,0.079,3,138
charity,fund*,4,5.995,129,138
charity,love*,0,0.602,7,130
charity,love*,1,1.037,41,130
charity,love*,2,2.436,56,130
charity,love*,3,0.73,26,130
charity,love*,4,0.0,0,130
charity,society*,0,1.291,12,104
charity,society*,1,0.949,30,104
charity,society*,2,1.142,21,104
charity,society*,3,0.667,19,104
charity,society*,4,1.357,22,104
charity,work*,0,0.608,5,92
charity,work*,1,0.93,26,92
charity,work*,2,1.291,21,92
charity,work*,3,0.595,15,92
charity,work*,4,1.743,25,92
charity,sister*,0,0.746,6,90
charity,sister*,1,1.023,28,90
charity,sister*,2,1.885,30,90
charity,sister*,3,0.933,23,90
charity,sister*,4,0.214,3,90
charity,other*,0,0.52,4,86
charity,other*,1,0.497,13,86
charity,other*,2,1.052,16,86
charity,other*,3,1.189,28,86
charity,other*,4,1.864,25,86
