word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
suffrage,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1710205078125,0.1697476506233215,0.0294565308424427,250,250
suffrage,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1724312901496887,0.1705355644226074,0.0611527849566274,250,250
suffrage,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1744040250778198,0.1739748120307922,0.0493567255436085,250,141
suffrage,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1760276556015014,0.1756051182746887,0.0926898549038447,250,75
suffrage,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1649125218391418,0.16444993019104,0.0497265873972194,250,103
suffrage,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1760780811309814,0.1744346618652343,0.0219655747137818,250,250
suffrage,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1763323545455932,0.1760725378990173,0.0165960181167988,250,141
suffrage,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1781755685806274,0.177804410457611,0.0433891356890932,250,75
suffrage,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1704220175743103,0.1702597141265869,0.0459861630273194,250,103
suffrage,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1750319004058838,0.174558401107788,0.0078668733746528,250,141
suffrage,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1781069636344909,0.1777097582817077,0.0276618344498969,250,75
suffrage,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1677843928337097,0.167548656463623,0.0145809893557501,250,103
suffrage,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1756561994552612,0.1756563186645507,0.0105208801492312,141,75
suffrage,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1672089099884033,0.1672092676162719,0.0232990413741078,141,103
suffrage,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1707828044891357,0.1707828044891357,0.0530026302322023,75,103
vote,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1848787069320678,0.1853129863739013,0.0249440275288298,250,250
vote,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.183881402015686,0.1834287047386169,0.0110295154503696,250,194
vote,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1820917129516601,0.1820310354232788,0.0357226730206046,250,146
vote,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1822930574417114,0.1821138262748718,0.009567924734769,250,97
vote,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1805212497711181,0.1803945899009704,0.0251100201802334,250,193
vote,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1891654133796692,0.1895437240600586,0.0204402269623533,250,194
vote,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1890422105789184,0.1895591020584106,0.0878935647300249,250,146
vote,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.189023733139038,0.1897457838058471,0.0533988044653768,250,97
vote,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1892273426055908,0.1899487972259521,0.0763464398076855,250,193
vote,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1860740780830383,0.1860738396644592,0.0400032274377249,194,146
vote,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1860756278038025,0.1860753893852234,0.0134179118194695,194,97
vote,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1857364177703857,0.1857363581657409,0.0392939785792805,194,193
vote,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1835244297981262,0.1835242509841919,0.0274207079061734,146,97
vote,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1813170909881591,0.1813171505928039,0.0038350781681089,146,193
vote,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.182712972164154,0.1827130317687988,0.0242209773766196,97,193
rights,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1540754437446594,0.1560459733009338,0.0235145949631475,250,247
rights,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1619070172309875,0.1614074110984802,0.0405130160632834,250,240
rights,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.162100613117218,0.1621406078338623,0.0424837485407832,250,234
rights,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1500885486602783,0.1499032378196716,0.0780635641481095,250,250
rights,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1503829360008239,0.1477678418159485,0.0873951823168959,250,250
rights,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.16355562210083,0.1640152335166931,0.0367538894623285,247,240
rights,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1634179353713989,0.16433185338974,0.0371328352770852,247,234
rights,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1539286375045776,0.1545763611793518,0.1125179620106255,247,250
rights,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1542140245437622,0.1529662013053894,0.0940223833692767,247,250
rights,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1698366999626159,0.170066237449646,0.0035092341972269,240,234
rights,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1617006063461303,0.1621236205101013,0.1992778052884287,240,250
rights,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.162301480770111,0.1607155203819275,0.198059868736859,240,250
rights,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1619092226028442,0.1607135534286499,0.1949402993621177,234,250
rights,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1623332500457763,0.1593829989433288,0.1972881631739941,234,250
rights,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1422485709190368,0.138870894908905,0.0124377872884712,250,250
relief,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1178791522979736,0.1211806535720825,0.0133570461182374,250,250
relief,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1278451681137085,0.1283432841300964,0.1066010383907414,250,250
relief,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1453474760055542,0.1435276269912719,0.0933340697777757,250,250
relief,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1486608982086181,0.1518023610115051,0.1287197724942081,250,250
relief,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1465249061584472,0.149675965309143,0.3132422927606221,250,249
relief,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1193472146987915,0.1182237267494201,0.056899110280913,250,250
relief,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1387898921966552,0.1354498267173767,0.0832301614075112,250,250
relief,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1423494815826416,0.144399344921112,0.1155389032085636,250,250
relief,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.138914406299591,0.1401391625404358,0.2537090308300506,250,249
relief,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1443710923194885,0.1394229531288147,0.068708634308523,250,250
relief,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1465785503387451,0.1472911238670349,0.0730083996536791,250,250
relief,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1396357417106628,0.1398501992225647,0.109973822851637,250,249
relief,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1595429182052612,0.1597756147384643,0.0054948353075066,250,250
relief,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1595523953437805,0.1601324081420898,0.1151193557090904,250,249
relief,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1597734093666076,0.1579334139823913,0.0873895860377723,250,249
welfare,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1274751424789428,0.1268708705902099,1.7154311217477264e-05,250,250
welfare,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1797873377799987,0.1797823309898376,0.3869711868115139,250,250
welfare,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1892143487930297,0.188893437385559,0.3959085255716283,250,250
welfare,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.2131491303443908,0.2121024131774902,0.6264527299542577,250,250
welfare,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.2103994488716125,0.2092043161392212,0.4913251292317528,250,249
welfare,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1746658682823181,0.1751651167869568,0.3858472036279603,250,250
welfare,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.18393474817276,0.1842474937438964,0.3949680408098909,250,250
welfare,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.2078403830528259,0.2076545357704162,0.6259334964789587,250,250
welfare,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.2064859271049499,0.2060523629188537,0.4905890206503828,250,249
welfare,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.178812026977539,0.1788588166236877,0.0367869549499592,250,250
welfare,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.191112995147705,0.1907757520675659,0.1829926271247569,250,250
welfare,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.2000094652175903,0.1992042064666748,0.1031751951721644,250,249
welfare,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1952623128890991,0.1967920660972595,0.0799805020182169,250,250
welfare,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.2044147253036499,0.204700231552124,0.0245767238715704,250,249
welfare,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.206588864326477,0.2056262493133545,0.0233081771500208,250,249
charity,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1620269417762756,0.1631700992584228,0.0112972613779885,250,250
charity,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1837049722671508,0.1831299066543579,0.2292043228544073,250,249
charity,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1812442541122436,0.1804007887840271,0.1676365482171513,250,246
charity,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1805229187011718,0.1810212731361389,0.0860078724852319,250,250
charity,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1703439950942993,0.1705175638198852,0.0369213559965462,250,250
