Publication,Alias,Type,Articles,Resembles (probable),Certainty,Agreement,Threshold,Also possible,Years
Relief Society Magazine,U. S.,initials,2,Belle S. Spafford,59%,50%,Balanced,Fay Tarlock,1922–1922
Relief Society Magazine,A. H. C.,initials,1,Briant S. Jacobs,70%,100%,Balanced,NA,1934–1934
Relief Society Magazine,B. S. S.,initials,1,Elsie E. Barrett,93%,100%,Conservative,NA,1940–1940
Relief Society Magazine,C. E. C.,initials,1,Sylvia Probst Young,43%,100%,Below threshold,NA,1931–1931
Relief Society Magazine,E. C. C.,initials,1,Frances C. Yost,32%,100%,Below threshold,NA,1916–1916
Relief Society Magazine,Cannon,pen name,2,Marianne C. Sharp,78%,50%,Balanced,Ramona Wilcox Cannon,1938–1944
Relief Society Magazine,Happy,pen name,2,Hulda Parker,69%,50%,Balanced,Rhea H. Gardner,1954–1956
Relief Society Magazine,Romney,pen name,2,Alice Morrey Bailey,50%,50%,Below threshold,Amy Brown Lyman,1925–1941
Relief Society Magazine,Williams,pen name,2,Amy Brown Lyman,60%,100%,Balanced,NA,1926–1928
Relief Society Magazine,Anderson,pen name,1,Mabel Jones Gabbott,59%,100%,Balanced,NA,1947–1947
Relief Society Magazine,Armstrong,pen name,1,Eliza R. Snow,31%,100%,Below threshold,NA,1930–1930
Relief Society Magazine,Bailey,pen name,1,Lula Greene Richards,30%,100%,Below threshold,NA,1938–1938
Relief Society Magazine,Burt,pen name,1,Alice Louise Reynolds,39%,100%,Below threshold,NA,1927–1927
Relief Society Magazine,Carter,pen name,1,Louise Y. Robison,63%,100%,Balanced,NA,1938–1938
Relief Society Magazine,Cloward,pen name,1,Evelyn Fjeldsted,100%,100%,Conservative,NA,1948–1948
Relief Society Magazine,Coles,pen name,1,Rachel K. Laurgaard,61%,100%,Balanced,NA,1940–1940
Relief Society Magazine,Congrats,pen name,1,Christie Lund Coles,100%,100%,Conservative,NA,1926–1926
Relief Society Magazine,Correggio,pen name,1,Don B. Colton,99%,100%,Conservative,NA,1923–1923
Relief Society Magazine,Crawford,pen name,1,Blaine M. Porter,75%,100%,Balanced,NA,1914–1914
Relief Society Magazine,David,pen name,1,Marianne C. Sharp,70%,100%,Balanced,NA,1970–1970
Relief Society Magazine,Gould,pen name,1,Eva Willes Wangsgaard,76%,100%,Balanced,NA,1952–1952
Relief Society Magazine,Grant,pen name,1,David O. Mckay,96%,100%,Conservative,NA,1945–1945
Relief Society Magazine,Grundy,pen name,1,Christie Lund Coles,75%,100%,Balanced,NA,1916–1916
Relief Society Magazine,Hoover,pen name,1,Ramona Wilcox Cannon,53%,100%,Below threshold,NA,1931–1931
Relief Society Magazine,Jacobs,pen name,1,Briant S. Jacobs,98%,100%,Conservative,NA,1957–1957
Relief Society Magazine,Jesus,pen name,1,Elsie E. Barrett,53%,100%,Below threshold,NA,1939–1939
Relief Society Magazine,Lamb,pen name,1,Evelyn Fjeldsted,99%,100%,Conservative,NA,1914–1914
Relief Society Magazine,Larsen,pen name,1,Ramona Wilcox Cannon,35%,100%,Below threshold,NA,1956–1956
Relief Society Magazine,Miles,pen name,1,Eva Willes Wangsgaard,83%,100%,Conservative,NA,1952–1952
Relief Society Magazine,Monson,pen name,1,Dorothy Clapp Robinson,63%,100%,Balanced,NA,1927–1927
Relief Society Magazine,Naylor,pen name,1,Elsie Chamberlain Carroll,96%,100%,Conservative,NA,1914–1914
Relief Society Magazine,Roberts,pen name,1,David O. Mckay,58%,100%,Balanced,NA,1953–1953
Relief Society Magazine,Rose,pen name,1,C. Sharp,100%,100%,Conservative,NA,1956–1956
Relief Society Magazine,Spaff,pen name,1,Jean Ridges Jennings,75%,100%,Balanced,NA,1951–1951
Relief Society Magazine,Stewart,pen name,1,Ramona Wilcox Cannon,84%,100%,Conservative,NA,1958–1958
Relief Society Magazine,Sutherland,pen name,1,Belle S. Spafford,99%,100%,Conservative,NA,1940–1940
Relief Society Magazine,Viau,pen name,1,Amy Brown Lyman,30%,100%,Below threshold,NA,1953–1953
Relief Society Magazine,Williamson,pen name,1,B. Clark,41%,100%,Below threshold,NA,1955–1955
Relief Society Magazine,Winne,pen name,1,Caroline Eyring Miner,58%,100%,Balanced,NA,1955–1955
Woman's Exponent,E. T.,initials,7,L. M. Hewlings,86%,29%,Balanced,Augusta Joyce Crocheron,1888–1891
Woman's Exponent,S. E. R.,initials,7,Mary Ellen Kimball,66%,29%,Balanced,L. M. Hewlings,1883–1912
Woman's Exponent,W. E.,initials,6,Mary Ellen Kimball,86%,33%,Balanced,Hannah T. King,1872–1876
Woman's Exponent,E. J.,initials,5,Emmeline B. Wells,74%,40%,Balanced,Eliza R. Snow,1886–1900
Woman's Exponent,H. M.,initials,5,Mary Ellen Kimball,77%,60%,Balanced,Eliza R. Snow,1877–1887
Woman's Exponent,E. S. D.,initials,4,Augusta Joyce Crocheron,91%,50%,Conservative,Ellis R. Shipp,1883–1886
Woman's Exponent,M. J. C.,initials,4,Eliza R. Snow,64%,25%,Balanced,Emmeline B. Wells,1875–1880
Woman's Exponent,O. F. W.,initials,4,Eliza R. Snow,62%,50%,Balanced,Helen Mar Whitney,1875–1882
Woman's Exponent,A. L. B.,initials,3,Augusta Joyce Crocheron,90%,33%,Balanced,M. J. Tanner,1876–1887
Woman's Exponent,C. L. W.,initials,3,Ellis R. Shipp,50%,33%,Below threshold,M. J. Tanner,1888–1893
Woman's Exponent,E. B.,initials,3,Hannah T. King,60%,33%,Balanced,Eliza R. Snow,1878–1890
Woman's Exponent,E. D. N.,initials,3,Ellis R. Shipp,45%,67%,Below threshold,Helen Mar Whitney,1892–1895
Woman's Exponent,H. B. B.,initials,3,Eliza R. Snow,94%,33%,Balanced,Augusta Joyce Crocheron,1886–1888
Woman's Exponent,H. M. W.,initials,3,Helen Mar Whitney,94%,67%,Conservative,M. J. Tanner,1875–1886
Woman's Exponent,L. G. R.,initials,3,Emmeline B. Wells,92%,67%,Conservative,Eliza R. Snow,1877–1887
Woman's Exponent,L. M. W.,initials,3,Emmeline B. Wells,43%,67%,Below threshold,Helen Mar Whitney,1888–1894
Woman's Exponent,M. A. T.,initials,3,Mary Ann M. Pratt,40%,33%,Below threshold,Eliza R. Snow,1890–1893
Woman's Exponent,M. B.,initials,3,Mary Ellen Kimball,53%,67%,Below threshold,Helen Mar Whitney,1885–1887
Woman's Exponent,M. M.,initials,3,Mary Ann M. Pratt,96%,33%,Balanced,Mary Ellen Kimball,1876–1894
Woman's Exponent,R. N. Y.,initials,3,Ellis R. Shipp,81%,33%,Balanced,Emmeline B. Wells,1873–1875
Woman's Exponent,S. M. P.,initials,3,Emmeline B. Wells,94%,67%,Conservative,Mary Ellen Kimball,1877–1891
Woman's Exponent,S. T. B.,initials,3,Lydia D. Alder,45%,33%,Below threshold,M. J. Tanner,1880–1897
Woman's Exponent,S. Y. D.,initials,3,Emily B. Spencer,31%,33%,Below threshold,Mary Ellen Kimball,1876–1876
Woman's Exponent,A. C.,initials,2,Helen Mar Whitney,33%,50%,Below threshold,Ellis R. Shipp,1882–1889
Woman's Exponent,A. J. R.,initials,2,Lydia D. Alder,95%,50%,Conservative,Hannah T. King,1888–1889
Woman's Exponent,A. M.,initials,2,Emily B. Spencer,41%,50%,Below threshold,Mary Ann M. Pratt,1880–1901
Woman's Exponent,A. M. H.,initials,2,Lydia D. Alder,34%,50%,Below threshold,Eliza R. Snow,1898–1902
Woman's Exponent,B. R.,initials,2,Emmeline B. Wells,77%,100%,Balanced,NA,1874–1902
Woman's Exponent,C. D. P.,initials,2,Zina D. H. Young,59%,50%,Balanced,Helen Mar Whitney,1890–1891
Woman's Exponent,C. E. H.,initials,2,M. J. Tanner,93%,50%,Conservative,Hannah T. King,1878–1890
Woman's Exponent,E. A. B.,initials,2,M. J. Tanner,47%,50%,Below threshold,Emily Hill Woodmansee,1872–1882
Woman's Exponent,E. BW.,initials,2,Augusta Joyce Crocheron,70%,100%,Balanced,NA,1891–1895
Woman's Exponent,E. D. M.,initials,2,Zina D. H. Young,80%,50%,Balanced,Ellis R. Shipp,1886–1894
Woman's Exponent,E. E. D.,initials,2,Helen Mar Whitney,72%,50%,Balanced,Zina D. H. Young,1873–1873
Woman's Exponent,E. L. G.,initials,2,Augusta Joyce Crocheron,100%,100%,Conservative,NA,1893–1893
Woman's Exponent,E. S.,initials,2,Lydia D. Alder,66%,50%,Balanced,Emmeline B. Wells,1877–1899
Woman's Exponent,E. S. B.,initials,2,Emily B. Spencer,28%,50%,Below threshold,Helen Mar Whitney,1875–1876
Woman's Exponent,E. S. W.,initials,2,Hannah T. King,25%,50%,Below threshold,Lydia D. Alder,1897–1898
Woman's Exponent,F. E. S.,initials,2,Emily Hill Woodmansee,29%,50%,Below threshold,Eliza R. Snow,1889–1895
Woman's Exponent,H. C.,initials,2,Emily B. Spencer,38%,50%,Below threshold,Helen Mar Whitney,1878–1881
Woman's Exponent,H. M. B.,initials,2,Hannah T. King,68%,50%,Balanced,Zina D. H. Young,1873–1874
Woman's Exponent,I. P. W.,initials,2,Mary Ann M. Pratt,46%,100%,Below threshold,NA,1876–1879
Woman's Exponent,J. L. S.,initials,2,Emmeline B. Wells,86%,100%,Conservative,NA,1885–1886
Woman's Exponent,K. E. D.,initials,2,Mary Ellen Kimball,55%,50%,Balanced,Zina D. H. Young,1876–1884
Woman's Exponent,L. S.,initials,2,Emmeline B. Wells,69%,100%,Balanced,NA,1875–1888
Woman's Exponent,LU.,initials,2,Lydia D. Alder,50%,50%,Below threshold,Augusta Joyce Crocheron,1890–1890
Woman's Exponent,M. A. F.,initials,2,Mary Ellen Kimball,94%,50%,Conservative,Emmeline B. Wells,1872–1874
Woman's Exponent,M. A. S.,initials,2,Hannah T. King,35%,50%,Below threshold,Augusta Joyce Crocheron,1884–1890
Woman's Exponent,M. A. W.,initials,2,Helen Mar Whitney,62%,100%,Balanced,NA,1877–1891
Woman's Exponent,M. E. T.,initials,2,Emmeline B. Wells,62%,50%,Balanced,Zina D. H. Young,1889–1889
Woman's Exponent,M. F.,initials,2,Lydia D. Alder,41%,50%,Below threshold,Hannah T. King,1881–1910
Woman's Exponent,M. F. C.,initials,2,Ellis R. Shipp,53%,50%,Below threshold,Eliza R. Snow,1898–1899
Woman's Exponent,M. H. T.,initials,2,Lydia D. Alder,67%,50%,Balanced,Emmeline B. Wells,1885–1888
Woman's Exponent,M. I. A.,initials,2,Ellis R. Shipp,50%,50%,Below threshold,Hannah T. King,1887–1889
Woman's Exponent,M. S.,initials,2,Helen Mar Whitney,99%,50%,Conservative,Emmeline B. Wells,1877–1885
Woman's Exponent,M. T.,initials,2,Hannah T. King,72%,50%,Balanced,Mary Ellen Kimball,1875–1876
Woman's Exponent,N. Y.,initials,2,Eliza R. Snow,70%,100%,Balanced,NA,1886–1887
Woman's Exponent,O. S.,initials,2,Lydia D. Alder,38%,50%,Below threshold,M. J. Tanner,1881–1907
Woman's Exponent,S. A. S.,initials,2,Mary Ellen Kimball,24%,50%,Below threshold,Helen Mar Whitney,1884–1893
Woman's Exponent,S. G. R.,initials,2,Mary Ellen Kimball,52%,50%,Below threshold,Helen Mar Whitney,1881–1890
Woman's Exponent,A. A.,initials,1,Augusta Joyce Crocheron,29%,100%,Below threshold,NA,1894–1894
Woman's Exponent,A. B. C.,initials,1,L. M. Hewlings,45%,100%,Below threshold,NA,1875–1875
Woman's Exponent,A. B. D.,initials,1,Hannah T. King,76%,100%,Balanced,NA,1875–1875
Woman's Exponent,A. BS.,initials,1,L. M. Hewlings,76%,100%,Balanced,NA,1873–1873
Woman's Exponent,A. C. M.,initials,1,Lydia D. Alder,79%,100%,Balanced,NA,1896–1896
Woman's Exponent,A. C. W.,initials,1,Emily Hill Woodmansee,36%,100%,Below threshold,NA,1890–1890
Woman's Exponent,A. E. A.,initials,1,Hannah T. King,82%,100%,Conservative,NA,1889–1889
Woman's Exponent,A. E. F.,initials,1,Emily B. Spencer,39%,100%,Below threshold,NA,1902–1902
Woman's Exponent,A. E. G.,initials,1,Mary Ann M. Pratt,77%,100%,Balanced,NA,1885–1885
Woman's Exponent,A. E. L.,initials,1,Augusta Joyce Crocheron,86%,100%,Conservative,NA,1889–1889
Woman's Exponent,A. E. N. R.,initials,1,Hannah T. King,99%,100%,Conservative,NA,1881–1881
Woman's Exponent,A. F.,initials,1,Eliza R. Snow,39%,100%,Below threshold,NA,1881–1881
