Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Woman's Exponent,Emmeline B. Wells,Full name,152,0,152,0.076,1873–1911
Woman's Exponent,Hannah T. King,Full name,135,0,135,0.081,1873–1903
Woman's Exponent,Helen Mar Whitney,Full name,111,0,111,0.021,1879–1888
Woman's Exponent,Augusta Joyce Crocheron,Full name,47,0,47,0.074,1872–1912
Woman's Exponent,Eliza R. Snow,Full name,42,0,42,0.084,1872–1910
Woman's Exponent,L. M. Hewlings,Full name,38,0,38,0.1,1878–1900
Woman's Exponent,Lydia D. Alder,Full name,37,0,37,0.096,1876–1912
Woman's Exponent,Annie Wells Cannon,Full name,28,0,28,0.067,1881–1912
Woman's Exponent,Emily Hill Woodmansee,Full name,28,0,28,0.112,1879–1903
Woman's Exponent,Mary Ellen Kimball,Full name,27,0,27,0.078,1878–1901
Woman's Exponent,Ellis R. Shipp,Full name,18,0,18,0.073,1878–1909
Woman's Exponent,M. J. Tanner,Full name,18,0,18,0.044,1873–1889
Woman's Exponent,Lucinda Lee Dalton,Full name,17,0,17,0.067,1872–1890
Woman's Exponent,Ruth May Fox,Full name,17,0,17,0.098,1891–1908
Woman's Exponent,Wilford Woodruff,Full name,13,0,13,0.032,1887–1898
Woman's Exponent,Zina D. H. Young,Full name,13,0,13,0.082,1888–1900
Woman's Exponent,Bathsheba W. Smith,Full name,12,0,12,0.064,1899–1908
Woman's Exponent,Correspondence Of Palestine,Full name,11,0,11,0.012,1883–1885
Woman's Exponent,Frederick R. Coudert,Full name,11,0,11,-0.005,1896–1897
Woman's Exponent,Mary Ann M. Pratt,Full name,11,0,11,0.054,1881–1899
Woman's Exponent,Caroline C. Raleigh,Full name,9,0,9,-0.004,1882–1883
Woman's Exponent,Emma Featherstone,Full name,9,0,9,0.117,1877–1909
Woman's Exponent,Susa Young Gates,Full name,9,0,9,0.047,1880–1912
Woman's Exponent,Emily B. Spencer,Full name,8,0,8,0.048,1874–1901
Woman's Exponent,In The,Full name,8,0,8,0,1877–1878
Woman's Exponent,Jane S. Richards,Full name,8,0,8,0.036,1892–1900
Woman's Exponent,Lula Greene Richards,Full name,8,0,8,0.101,1884–1911
Woman's Exponent,Rachel Foster Avery,Full name,8,0,8,0.045,1890–1896
Woman's Exponent,W. H. Bancroft,Full name,8,0,8,0.012,1898–1899
Woman's Exponent,E. T.,Initials only,7,0,7,0.108,1888–1891
Woman's Exponent,Ellen B. Ferguson,Full name,7,0,7,0.01,1881–1882
Woman's Exponent,S. E. R.,Initials only,7,0,7,0.065,1883–1912
Woman's Exponent,E. J.,Initials only,6,0,6,0.052,1886–1900
Woman's Exponent,E. S. Barney,Full name,6,0,6,0.069,1879–1892
Woman's Exponent,Eliza A. Hawkins,Full name,6,0,6,0.062,1906–1912
Woman's Exponent,"Ellis R. Shipp, M. D.",Full name,6,0,6,0.04,1883–1912
Woman's Exponent,Emily Scott,Full name,6,0,6,0.125,1882–1887
Woman's Exponent,Grace Ingles Frost,Full name,6,0,6,0.103,1904–1910
Woman's Exponent,H. Dinwoodey,Full name,6,0,6,0.004,1872–1874
Woman's Exponent,John C. Cutler,Full name,6,0,6,-0.001,1877–1879
Woman's Exponent,M. A. Till,Full name,6,0,6,0.074,1886–1911
Woman's Exponent,Mary Stuart,Full name,6,0,6,0.08,1874–1880
Woman's Exponent,Maud Baggarley,Full name,6,0,6,0.052,1905–1912
Woman's Exponent,May Wright Sewall,Full name,6,0,6,0.044,1892–1904
Woman's Exponent,R.k. Thomas,Full name,6,0,6,0.033,1889–1895
Woman's Exponent,Romania B. Pratt,Full name,6,0,6,0.002,1879–1898
Woman's Exponent,Ruby Lamont,Full name,6,0,6,0.144,1885–1891
Woman's Exponent,W. E.,Initials only,6,0,6,0.03,1872–1876
Woman's Exponent,Wm. H. Rowe,Full name,6,0,6,0.036,1878–1878
Woman's Exponent,Ann Tate,Full name,5,0,5,0.086,1877–1888
Woman's Exponent,D. E. Dudley,Full name,5,0,5,0.111,1876–1887
Woman's Exponent,E. S. D.,Initials only,5,0,5,0.106,1882–1886
Woman's Exponent,Esther A. Bennion,Full name,5,0,5,0.092,1876–1884
Woman's Exponent,H. M.,Initials only,5,0,5,0.088,1877–1887
Woman's Exponent,J. P. M. Farnsworth,Full name,5,0,5,0.104,1888–1898
Woman's Exponent,Josephine Gregory,Full name,5,0,5,-0.008,1877–1879
Woman's Exponent,Mary Cadwalader Jones,Full name,5,0,5,0.01,1891–1891
Woman's Exponent,R. K. Thomas,Full name,5,0,5,0.087,1887–1896
Woman's Exponent,S. A. Fullmer,Full name,5,0,5,0.055,1882–1888
Woman's Exponent,Alice Burke,Full name,4,0,4,0.026,1899–1899
Woman's Exponent,Annie Taylor Hyde,Full name,4,0,4,0.037,1903–1905
Woman's Exponent,B. F. Cummings,Full name,4,0,4,0.062,1877–1877
Woman's Exponent,C. L. W.,Initials only,4,0,4,0.16,1888–1893
Woman's Exponent,D. E. Burley,Full name,4,0,4,0.018,1893–1895
Woman's Exponent,David James,Full name,4,0,4,0.013,1878–1881
Woman's Exponent,Ellen D. Clarke,Full name,4,0,4,0.051,1890–1896
Woman's Exponent,H. Wallace,Full name,4,0,4,0.148,1872–1873
Woman's Exponent,John Taylor,Full name,4,0,4,0.002,1875–1885
Woman's Exponent,Lillie Freeze,Full name,4,0,4,0.071,1880–1903
Woman's Exponent,Lorenzo Snow,Full name,4,0,4,0.061,1899–1901
Woman's Exponent,Louie M. Wells,Full name,4,0,4,0.035,1884–1886
Woman's Exponent,Louise Coulson,Full name,4,0,4,0.166,1904–1907
Woman's Exponent,M. A. Greenhalgh,Full name,4,0,4,0.037,1883–1885
Woman's Exponent,M. Elizabeth Little,Full name,4,0,4,0.056,1878–1884
Woman's Exponent,M. J. C.,Initials only,4,0,4,0.066,1875–1880
Woman's Exponent,May Maple,Full name,4,0,4,0.07,1877–1880
Woman's Exponent,Miss Eliza R. Snow,Full name,4,0,4,0.007,1873–1878
Woman's Exponent,O. F. W.,Initials only,4,0,4,0.045,1875–1882
Woman's Exponent,"Of One, Two Or",Full name,4,0,4,0.009,1876–1878
Woman's Exponent,S. W. Richards,Full name,4,0,4,0.12,1890–1895
Woman's Exponent,Sarah M. Kimball,Full name,4,0,4,0.094,1888–1894
Woman's Exponent,Short Line,Full name,4,0,4,0.063,1899–1900
Woman's Exponent,"Spring Beds, Wire Mattresses",Full name,4,0,4,0.029,1875–1879
Woman's Exponent,"Tuition, - - - $25.00",Full name,4,0,4,0.068,1888–1888
Woman's Exponent,Vincy R. Barker,Full name,4,0,4,0.042,1912–1912
Woman's Exponent,A. L. B.,Initials only,3,0,3,0.095,1876–1887
Woman's Exponent,A. M. Frodsham,Full name,3,0,3,0.068,1875–1878
Woman's Exponent,Alma Alden,Full name,3,0,3,0.046,1891–1891
Woman's Exponent,Ann C. Woodbury,Full name,3,0,3,0.047,1887–1896
Woman's Exponent,Aunt Polly,Full name,3,0,3,0.074,1887–1888
Woman's Exponent,Brigham Young,Full name,3,0,3,0.007,1873–1877
Woman's Exponent,Celia A. Smith,Full name,3,0,3,0.081,1905–1908
Woman's Exponent,E. A. Crane Watson,Full name,3,0,3,0.096,1889–1890
Woman's Exponent,E. B.,Initials only,3,0,3,0.058,1878–1890
Woman's Exponent,E. D. N.,Initials only,3,0,3,0.064,1892–1895
Woman's Exponent,Elizabeth Cady Stanton,Full name,3,0,3,0.041,1890–1897
Woman's Exponent,Emma A. Empey,Full name,3,0,3,0.01,1903–1908
Woman's Exponent,H. B. B.,Initials only,3,0,3,0.007,1886–1888
Woman's Exponent,H. M. W.,Initials only,3,0,3,0.05,1875–1886
Woman's Exponent,In Memoriam,Full name,3,0,3,-0.057,1873–1888
Woman's Exponent,J. C. Kittredge,Full name,3,0,3,0.012,1889–1889
Woman's Exponent,L. G. R.,Initials only,3,0,3,0.081,1877–1887
Woman's Exponent,L. L.,Initials only,3,0,3,0.068,1872–1872
Woman's Exponent,L. M. W.,Initials only,3,0,3,0.061,1888–1894
Woman's Exponent,Lucy M. King,Full name,3,0,3,0.077,1887–1889
Woman's Exponent,M. A. T.,Initials only,3,0,3,0.084,1890–1893
Woman's Exponent,M. B.,Initials only,3,0,3,0.059,1885–1887
Woman's Exponent,M. M.,Initials only,3,0,3,0.101,1876–1894
Woman's Exponent,Margaret C. Roberts,Full name,3,0,3,0.038,1907–1912
Woman's Exponent,Mary A. Farnsworth,Full name,3,0,3,0.056,1883–1885
Woman's Exponent,Mary Ann Merrill Pratt,Full name,3,0,3,0.048,1885–1886
Woman's Exponent,Mary H. Barker M. D.,Full name,3,0,3,-0.007,1873–1873
Woman's Exponent,Mary J. Morrison,Full name,3,0,3,0.036,1883–1883
Woman's Exponent,Mary J. Tanner,Full name,3,0,3,0.055,1879–1883
Woman's Exponent,Mary Jane Crosby,Full name,3,0,3,0.031,1878–1879
Woman's Exponent,Mary L. Woolf,Full name,3,0,3,0.146,1877–1906
Woman's Exponent,Mary S. Burnham,Full name,3,0,3,0.049,1885–1887
Woman's Exponent,Matilda P. Killian,Full name,3,0,3,0.053,1877–1881
Woman's Exponent,O. F. Whitney,Full name,3,0,3,0.083,1881–1892
Woman's Exponent,Olive D. Christensen,Full name,3,0,3,0.079,1911–1912
Woman's Exponent,P. Shwartz,Full name,3,0,3,0,1877–1878
Woman's Exponent,R. N. Y.,Initials only,3,0,3,0.06,1873–1875
Woman's Exponent,S. M. K.,Initials only,3,0,3,0.109,1873–1891
Woman's Exponent,S. M. P.,Initials only,3,0,3,0.081,1877–1891
Woman's Exponent,S. T. B.,Initials only,3,0,3,0.09,1880–1897
Woman's Exponent,S. W. Eccles,Full name,3,0,3,-0.008,1898–1900
Woman's Exponent,S. Y. D.,Initials only,3,0,3,0.091,1876–1876
Woman's Exponent,Sarah B. Layton,Full name,3,0,3,0.075,1891–1904
Woman's Exponent,Special Attention Given To,Full name,3,0,3,-0.054,1882–1883
Woman's Exponent,W. East,Full name,3,0,3,0.077,1874–1888
Woman's Exponent,Warner Snoad,Full name,3,0,3,0.131,1889–1892
Woman's Exponent,Zina D. Young,Full name,3,0,3,0.07,1876–1878
Woman's Exponent,Zion'S Convert,Full name,3,0,3,0.077,1892–1895
Woman's Exponent,☞ A. Home Preparation ☜,Full name,3,0,3,0.033,1876–1876
Woman's Exponent,A. C.,Initials only,2,0,2,0.04,1882–1889
Woman's Exponent,A. Home Preparation,Full name,2,0,2,0.011,1876–1876
Woman's Exponent,A. J. R.,Initials only,2,0,2,0.006,1888–1889
Woman's Exponent,A. M.,Initials only,2,0,2,0.074,1880–1901
Woman's Exponent,A. M. H.,Initials only,2,0,2,0.082,1898–1902
Woman's Exponent,A. Q.,Initials only,2,0,2,0.191,1879–1879
Woman's Exponent,A. T.,Initials only,2,0,2,0.017,1887–1891
Woman's Exponent,Agents For,Full name,2,0,2,0.116,1875–1875
Woman's Exponent,Alice Butterworth,Full name,2,0,2,0.056,1892–1910
Woman's Exponent,Alice M. T. Tanner,Full name,2,0,2,0.088,1896–1897
Woman's Exponent,Amelia K. Wing,Full name,2,0,2,0.032,1890–1890
Woman's Exponent,Ann Pickering,Full name,2,0,2,0.129,1886–1888
Woman's Exponent,Anna Garlin Spencer,Full name,2,0,2,0.017,1899–1899
Woman's Exponent,Annie W. Cannon,Full name,2,0,2,0.106,1883–1903
Woman's Exponent,Article Ii,Full name,2,0,2,0.128,1889–1891
Woman's Exponent,Article Iv,Full name,2,0,2,0,1892–1894
Woman's Exponent,Aunt Hannah,Full name,2,0,2,0.126,1883–1883
Woman's Exponent,B. R.,Initials only,2,0,2,0.087,1874–1902
Woman's Exponent,Baby Carriaces!,Full name,2,0,2,0.036,1875–1875
Woman's Exponent,"Brigham Young, On Invita",Full name,2,0,2,0.039,1888–1888
Woman's Exponent,By-law Ix,Full name,2,0,2,0.007,1889–1891
Woman's Exponent,Byron Groo,Full name,2,0,2,0.037,1875–1875
Woman's Exponent,C. D. P.,Initials only,2,0,2,0.094,1890–1891
Woman's Exponent,C. Daniels,Full name,2,0,2,0.037,1876–1880
Woman's Exponent,C. E. H.,Initials only,2,0,2,0.11,1878–1890
Woman's Exponent,Camilla C. Cobb,Full name,2,0,2,0.073,1888–1896
Woman's Exponent,Caroline Daniels,Full name,2,0,2,0.064,1883–1892
Woman's Exponent,Clara Barton,Full name,2,0,2,-0.063,1897–1902
Woman's Exponent,Clarissa S. Williams,Full name,2,0,2,0.08,1902–1910
Woman's Exponent,Daniel Tyler,Full name,2,0,2,0.051,1883–1897
Woman's Exponent,E. A. B.,Initials only,2,0,2,0.03,1872–1882
Woman's Exponent,E. A. Bennion,Full name,2,0,2,0.054,1884–1892
Woman's Exponent,E. B. Wells,Full name,2,0,2,0.083,1898–1899
Woman's Exponent,E. BW.,Initials only,2,0,2,0.064,1891–1895
Woman's Exponent,E. Crane Watson,Full name,2,0,2,0.122,1906–1910
Woman's Exponent,E. D. M.,Initials only,2,0,2,0.131,1886–1894
Woman's Exponent,E. E. D.,Initials only,2,0,2,0.1,1873–1873
Woman's Exponent,E. J. Harding,Full name,2,0,2,0.102,1877–1877
Woman's Exponent,E. L. G.,Initials only,2,0,2,0.038,1893–1893
Woman's Exponent,E. S.,Initials only,2,0,2,0.095,1877–1899
Woman's Exponent,E. S. B.,Initials only,2,0,2,0.065,1875–1876
Woman's Exponent,E. S. W.,Initials only,2,0,2,0.048,1897–1898
Woman's Exponent,Electa Bullock,Full name,2,0,2,0.06,1892–1908
Woman's Exponent,Elizabeth Bean,Full name,2,0,2,0.092,1885–1888
Woman's Exponent,Elizabeth Davis,Full name,2,0,2,0.044,1873–1876
Woman's Exponent,Elizabeth Wall,Full name,2,0,2,0.098,1895–1897
Woman's Exponent,Elmina S. Taylor,Full name,2,0,2,0.091,1876–1877
Woman's Exponent,Elvira Stevens Barney,Full name,2,0,2,0.027,1895–1906
Woman's Exponent,Emily G. Cluff,Full name,2,0,2,0.166,1885–1894
Woman's Exponent,Emily S. Richards,Full name,2,0,2,0.074,1886–1894
Woman's Exponent,Emma Jenson,Full name,2,0,2,0.026,1897–1897
Woman's Exponent,Emma S. Woodruff,Full name,2,0,2,0.186,1903–1909
