Publication,Identity,Type,Byline,Probable (cons),Probable (bal),Resembles / notes,Certainty,Mean sentiment,Years
Relief Society Magazine,Ramona Wilcox Cannon,Full name,224,99,206,NA,NA,0.058,1924–1970
Relief Society Magazine,Amy Brown Lyman,Full name,174,227,325,NA,NA,0.058,1914–1956
Relief Society Magazine,Marianne C. Sharp,Full name,122,98,185,NA,NA,0.072,1939–1970
Relief Society Magazine,Annie Wells Cannon,Full name,119,141,222,NA,NA,0.072,1917–1942
Relief Society Magazine,Christie Lund Coles,Full name,100,149,239,NA,NA,0.059,1927–1970
Relief Society Magazine,Belle S. Spafford,Full name,84,131,191,NA,NA,0.079,1942–1970
Relief Society Magazine,Briant S. Jacobs,Full name,84,55,82,NA,NA,0.052,1949–1963
Relief Society Magazine,Eva Willes Wangsgaard,Full name,82,95,146,NA,NA,0.043,1939–1967
Relief Society Magazine,Vesta P. Crawford,Full name,80,183,281,NA,NA,0.071,1933–1969
Relief Society Magazine,Dorothy J. Roberts,Full name,71,61,106,NA,NA,0.046,1941–1970
Relief Society Magazine,James H. Anderson,Full name,62,34,44,NA,NA,-0.007,1915–1922
Relief Society Magazine,Hulda Parker,Full name,59,157,228,NA,NA,0.061,1957–1964
Relief Society Magazine,Alice Morrey Bailey,Full name,59,83,138,NA,NA,0.043,1939–1970
Relief Society Magazine,Mabel Jones Gabbott,Full name,55,77,126,NA,NA,0.07,1935–1970
Relief Society Magazine,Margaret C. Pickering,Full name,51,99,160,NA,NA,0.054,1935–1956
Relief Society Magazine,Alberta H. Christensen,Full name,51,40,70,NA,NA,0.074,1929–1970
Relief Society Magazine,Margery S. Stewart,Full name,49,59,92,NA,NA,0.043,1946–1968
Relief Society Magazine,Caroline Eyring Miner,Full name,48,102,159,NA,NA,0.063,1934–1966
Relief Society Magazine,Susa Young Gates,Full name,48,46,77,NA,NA,0.041,1915–1933
Relief Society Magazine,Christine H. Robinson,Full name,47,46,77,NA,NA,0.074,1949–1963
Relief Society Magazine,Elsie C. Carroll,Full name,46,33,61,NA,NA,0.039,1917–1962
Relief Society Magazine,Evelyn Fjeldsted,Full name,43,56,89,NA,NA,0.057,1944–1969
Relief Society Magazine,W. Cannon,Full name,42,17,29,NA,NA,0.056,1963–1970
Relief Society Magazine,Bertha A. Kleinman,Full name,41,22,36,NA,NA,0.056,1915–1969
Relief Society Magazine,Anna Prince Redd,Full name,40,41,65,NA,NA,0.037,1939–1951
Relief Society Magazine,Roy W. Doxey,Full name,38,31,48,NA,NA,0.047,1957–1970
Relief Society Magazine,Ethel Jacobson,Full name,37,1,6,NA,NA,0.056,1953–1970
Relief Society Magazine,Mabel Harmer,Full name,36,18,31,NA,NA,0.046,1934–1968
Relief Society Magazine,Lael W. Hill,Full name,36,9,31,NA,NA,0.052,1949–1968
Relief Society Magazine,W. Doxey,Full name,36,13,26,NA,NA,0.063,1963–1969
Relief Society Magazine,Julia A. F. Lund,Full name,34,81,121,NA,NA,0.086,1922–1940
Relief Society Magazine,Eliza R. Snow,Full name,34,27,54,NA,NA,0.062,1915–1962
Relief Society Magazine,Colton Smith,Full name,34,10,21,NA,NA,0.069,1947–1970
Relief Society Magazine,Lula Greene Richards,Full name,32,36,77,NA,NA,0.112,1915–1943
Relief Society Magazine,Janette A. Hyde,Full name,32,42,63,NA,NA,0.05,1915–1920
Relief Society Magazine,Shirley Thulin,Full name,32,18,29,NA,NA,0.044,1960–1968
Relief Society Magazine,Celestia J. Taylor,Full name,31,8,14,NA,NA,0.071,1965–1970
Relief Society Magazine,Dorothy Clapp Robinson,Full name,30,15,26,NA,NA,0.018,1934–1966
Relief Society Magazine,C. Sharp,Full name,28,27,40,NA,NA,0.068,1963–1970
Relief Society Magazine,H. Wayne Driggs,Full name,28,13,22,NA,NA,0.048,1944–1949
Relief Society Magazine,Mary Grant Judd,Full name,27,37,61,NA,NA,0.058,1934–1956
Relief Society Magazine,Don B. Colton,Full name,27,19,36,NA,NA,0.036,1929–1951
Relief Society Magazine,Olive W. Burt,Full name,27,16,31,NA,NA,0.042,1939–1968
Relief Society Magazine,Rhea H. Gardner,Full name,26,20,46,NA,NA,0.05,1952–1957
