Publication,Initials,Articles,Resembles (probable),Agreement,Mean confidence,Threshold,Also possible,Years
Relief Society Magazine,U. S.,2,Belle S. Spafford,50%,0.631,Balanced,Fay Tarlock,1922–1922
Relief Society Magazine,A. H. C.,1,Briant S. Jacobs,100%,0.739,Balanced,NA,1934–1934
Relief Society Magazine,B. S. S.,1,Elsie E. Barrett,100%,0.922,Conservative,NA,1940–1940
Relief Society Magazine,C. E. C.,1,Sylvia Probst Young,100%,0.416,Below threshold,NA,1931–1931
Relief Society Magazine,E. C. C.,1,Frances C. Yost,100%,0.322,Below threshold,NA,1916–1916
Woman's Exponent,E. T.,7,Emily Hill Woodmansee,29%,0.339,Below threshold,L. M. Hewlings,1888–1891
Woman's Exponent,S. E. R.,7,Hannah T. King,29%,0.505,Below threshold,L. M. Hewlings,1883–1912
Woman's Exponent,W. E.,6,Mary Ellen Kimball,50%,0.642,Balanced,Hannah T. King,1872–1876
Woman's Exponent,E. J.,5,Emmeline B. Wells,40%,0.776,Balanced,Eliza R. Snow,1886–1900
Woman's Exponent,H. M.,5,Mary Ellen Kimball,60%,0.75,Balanced,Eliza R. Snow,1877–1887
Woman's Exponent,E. S. D.,4,Augusta Joyce Crocheron,50%,0.96,Conservative,Ellis R. Shipp,1883–1886
Woman's Exponent,M. J. C.,4,Eliza R. Snow,25%,0.69,Balanced,Emmeline B. Wells,1875–1880
Woman's Exponent,O. F. W.,4,Eliza R. Snow,50%,0.613,Balanced,Helen Mar Whitney,1875–1882
Woman's Exponent,A. L. B.,3,Augusta Joyce Crocheron,33%,0.873,Balanced,M. J. Tanner,1876–1887
Woman's Exponent,C. L. W.,3,Ellis R. Shipp,33%,0.484,Below threshold,M. J. Tanner,1888–1893
Woman's Exponent,E. B.,3,Hannah T. King,33%,0.739,Balanced,Eliza R. Snow,1878–1890
Woman's Exponent,E. D. N.,3,Ellis R. Shipp,67%,0.49,Below threshold,Helen Mar Whitney,1892–1895
Woman's Exponent,H. B. B.,3,Eliza R. Snow,33%,0.947,Balanced,Augusta Joyce Crocheron,1886–1888
Woman's Exponent,H. M. W.,3,Helen Mar Whitney,67%,0.936,Conservative,M. J. Tanner,1875–1886
Woman's Exponent,L. G. R.,3,Emmeline B. Wells,67%,0.906,Conservative,Eliza R. Snow,1877–1887
Woman's Exponent,L. M. W.,3,Zina D. H. Young,33%,0.475,Below threshold,Emmeline B. Wells,1888–1894
Woman's Exponent,M. A. T.,3,Mary Ann M. Pratt,33%,0.447,Below threshold,Eliza R. Snow,1890–1893
Woman's Exponent,M. B.,3,Mary Ellen Kimball,67%,0.542,Below threshold,Helen Mar Whitney,1885–1887
Woman's Exponent,M. M.,3,Mary Ann M. Pratt,67%,0.725,Balanced,Zina D. H. Young,1876–1894
Woman's Exponent,R. N. Y.,3,Ellis R. Shipp,33%,0.821,Balanced,Emmeline B. Wells,1873–1875
Woman's Exponent,S. M. P.,3,Emmeline B. Wells,67%,0.95,Conservative,Mary Ellen Kimball,1877–1891
Woman's Exponent,S. T. B.,3,Lydia D. Alder,33%,0.523,Below threshold,M. J. Tanner,1880–1897
Woman's Exponent,S. Y. D.,3,Emily B. Spencer,33%,0.363,Below threshold,Mary Ellen Kimball,1876–1876
Woman's Exponent,A. C.,2,Helen Mar Whitney,50%,0.346,Below threshold,Ellis R. Shipp,1882–1889
Woman's Exponent,A. J. R.,2,Lydia D. Alder,50%,1,Conservative,M. J. Tanner,1888–1889
Woman's Exponent,A. M.,2,Emily B. Spencer,50%,0.391,Below threshold,Mary Ann M. Pratt,1880–1901
Woman's Exponent,A. M. H.,2,Lydia D. Alder,50%,0.338,Below threshold,Eliza R. Snow,1898–1902
Woman's Exponent,B. R.,2,Emmeline B. Wells,100%,0.742,Balanced,NA,1874–1902
Woman's Exponent,C. D. P.,2,Zina D. H. Young,50%,0.565,Balanced,Helen Mar Whitney,1890–1891
Woman's Exponent,C. E. H.,2,M. J. Tanner,50%,0.908,Conservative,Hannah T. King,1878–1890
Woman's Exponent,E. A. B.,2,M. J. Tanner,50%,0.439,Below threshold,Emily Hill Woodmansee,1872–1882
Woman's Exponent,E. BW.,2,Augusta Joyce Crocheron,100%,0.706,Balanced,NA,1891–1895
Woman's Exponent,E. D. M.,2,Zina D. H. Young,50%,0.803,Conservative,Ellis R. Shipp,1886–1894
Woman's Exponent,E. E. D.,2,Helen Mar Whitney,100%,0.671,Balanced,NA,1873–1873
Woman's Exponent,E. L. G.,2,Augusta Joyce Crocheron,100%,0.997,Conservative,NA,1893–1893
Woman's Exponent,E. S.,2,Lydia D. Alder,50%,0.605,Balanced,Emmeline B. Wells,1877–1899
