# author_crosswalk.csv  --  EDIT ME. Hand-curated byline canonicalisation for the
# cross-corpus author pipeline (author_attribution.py, Tier 1).
#
# Each row maps a RAW byline (after normalisation: lower-cased, OCR '?'->apostrophe,
# whitespace squished, surrounding [](){}"' and trailing ,.:;- stripped) to a
# CANONICAL author name (or an organisation bucket).
#
# Columns:
#   match_type : exact   -> normalised byline must equal `pattern` exactly
#                regex    -> `pattern` is a regex, matched with re.search on the
#                            normalised byline (use for families of ad strings)
#                title    -> `pattern` (regex, whitespace-flexible) is matched against the
#                            article TITLE; matching Unknown/blank-byline articles are
#                            assigned `canonical`. Best for serialized columns with a
#                            stable title, e.g. the "Prince of Ur" column.
#                signature-> `pattern` is a PEN NAME (whitespace/hyphen-flexible) appended to
#                            the article TITLE (e.g. "A Prince of Ur - Homespun") of an
#                            Unknown/blank article. TITLE-ONLY: body text is not scanned,
#                            because common-word pen names (homespun) match unrelated prose.
#   pattern    : the normalised string (exact) or a regex (regex). LOWER CASE.
#   canonical  : the display name to assign. For orgs use a bucket label.
#   kind       : person | pseudonym | initials | org
#                - person    : a real full-name byline / clear variant  (HIGH confidence)
#                - pseudonym : a documented pen name -> real person      (MED confidence)
#                - initials  : an initials-only byline inferred to a person by a
#                              same-corpus full-name anchor               (MED confidence,
#                              flagged 'byline-initials-inferred' -- an ASSUMPTION)
#                - org       : advertisement / masthead / society filler; NOT an author
#   note       : free text (why); ignored by the code.
#
# HOW TO EXTEND: add rows. `exact`/`pseudonym`/`initials` rows win over the built-in
# ORG regex; `regex kind=org` rows add to it. Re-run scripts\author_attribution.py {K}.
# Only seed mappings you can defend -- initials rows are explicit inferences.
match_type,pattern,canonical,kind,note
# ---- Woman's Exponent : Emmeline B. Wells (editor; multiple pen names) ----
exact,emmeline b. wells,Emmeline B. Wells,person,
exact,e. b. wells,Emmeline B. Wells,person,
exact,e. b. w,Emmeline B. Wells,initials,editor initials
exact,e. b w,Emmeline B. Wells,initials,OCR-split initials
exact,e b w,Emmeline B. Wells,initials,
exact,blanche beechwood,Emmeline B. Wells,pseudonym,documented EBW pen name
exact,aunt em,Emmeline B. Wells,pseudonym,documented EBW pen name
exact,b. b,Emmeline B. Wells,initials,Blanche Beechwood initials (inferred)
# ---- Eliza R. Snow (Smith) ----
exact,eliza r. snow,Eliza R. Snow,person,
exact,eliza r. snow smith,Eliza R. Snow,person,
exact,e. r. snow,Eliza R. Snow,person,
exact,e. r. snow smith,Eliza R. Snow,person,
exact,e. r. s,Eliza R. Snow,initials,
exact,e. r. s. s,Eliza R. Snow,initials,E.R. Snow Smith initials
# ---- other prolific WE contributors ----
exact,helen mar whitney,Helen Mar Whitney,person,
exact,hannah t. king,Hannah T. King,person,
exact,h. t. k,Hannah T. King,initials,
exact,emily hill woodmansee,Emily Hill Woodmansee,person,
exact,emily h. woodmansee,Emily Hill Woodmansee,person,
exact,e. h. w,Emily Hill Woodmansee,initials,
exact,lydia d. alder,Lydia D. Alder,person,
exact,l. d. a,Lydia D. Alder,initials,
exact,augusta joyce crocheron,Augusta Joyce Crocheron,person,
exact,a. j. c,Augusta Joyce Crocheron,initials,
exact,ellis r. shipp,Ellis R. Shipp,person,
exact,dr. ellis r. shipp,Ellis R. Shipp,person,
exact,ellis r. shipp m. d.,Ellis R. Shipp,person,
exact,e. r. shipp,Ellis R. Shipp,person,
