docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1,6.420857223234534e-5,6.588023495798568e-6,2.8082065490390197e-5,1.1126680230412299e-4,1.4129416825166616e-4,4.6293015665331517e-4,2.6680886495254215e-4,0.9941194560042558,2.857912682669452e-4,4.082196338026707e-4,9.595817037072178e-5,3.8605378281708256e-4,4.7396428871912587e-4,3.2847709128760864e-4,4.660648603538828e-5,7.513449454584886e-4,3.700939162082996e-5,3.2832487821378377e-4,0.0016260304815822126,3.158492418919632e-5,1,April,Vol1,1914,April_Vol1_00_FRONT_MATTER.txt,April_Vol1_00_FRONT_MATTER.txt,Vol1,1914,April
2,6.877601873302277e-4,9.6282878417792e-5,9.011723726985221e-4,8.71740641829632e-4,8.413286052330295e-4,3.6793317722803485e-4,7.301590662405022e-4,0.005128008702531319,0.23429856908027408,0.00200159664376819,0.27234114937593745,0.0050452219318129566,0.20373210414835558,4.0184147008635196e-4,2.721040561428498e-4,0.014801360650063095,3.577293903920023e-4,8.491823296543898e-4,0.2557406403294856,5.341149625182949e-4,2,April,Vol1,1914,April_Vol1_01_ADVERTISERS'_DIRECTORY.txt,April_Vol1_01_ADVERTISERS'_DIRECTORY.txt,Vol1,1914,April
3,7.449644832291132e-4,3.072340912374472e-5,7.249216074167593e-4,4.8288434260506367e-4,5.550033989253252e-4,4.518198550860064e-4,0.9859241702462374,5.025591243124515e-4,0.003550040579938954,5.835366342757915e-4,0.0025210036161477426,8.113568379333847e-5,7.198536481856242e-4,4.8307547169891264e-4,6.220162825855728e-4,2.230587295928653e-4,1.6855062148642382e-4,0.0010354682533780925,4.676299968302489e-4,1.2758401515139617e-4,3,April,Vol1,1914,April_Vol1_02_GENEALOGY.txt,April_Vol1_02_GENEALOGY.txt,Vol1,1914,April
4,0.0011418909960662158,2.408750489465677e-4,5.056448045151163e-4,5.499624829590167e-4,0.010962932142361081,1.4439393370025514e-4,9.254815684752521e-4,4.818424255314213e-4,0.003542366107867488,0.0030843004756558557,0.005074285138652075,0.001638463678491538,0.403090697304813,0.5582213410077943,0.0032842589087124564,0.0016977049464080537,0.0010986586658407276,0.0035627497905799106,2.198672054808905e-4,5.322833671484299e-4,4,April,Vol1,1914,April_Vol1_03_HOME_ETHICS.txt,April_Vol1_03_HOME_ETHICS.txt,Vol1,1914,April
5,0.03511477382433351,0.7241025195195963,3.4224374109908325e-4,0.0021692683500874835,4.925119386994857e-4,8.614948827245816e-4,0.0011074357778093162,8.089029302478734e-4,0.00348481248463712,0.00443794399946275,0.0015213337987754875,0.0034826549913493277,0.026179650696130506,0.0010530412073059146,8.801718794119767e-4,0.18881293314405284,0.002576999376066082,2.814404595388116e-4,0.0017387879724435078,5.510790262279304e-4,5,April,Vol1,1914,April_Vol1_04_LITERATURE.txt,April_Vol1_04_LITERATURE.txt,Vol1,1914,April
6,1.2414868418939853e-4,6.171276621919922e-5,3.614688935922288e-5,4.651901700060708e-4,4.8104064827371436e-5,2.6606332148962304e-4,2.4993180202739594e-4,0.4911056041838379,1.7738383219620128e-4,0.06477982959102194,8.51075565970643e-4,0.0018161785411649064,8.428333306666375e-4,0.011944909311411959,2.235415566097506e-4,0.3752421627792905,2.028709907530834e-4,9.506887279197166e-4,0.05057131079862001,4.0313092418313025e-5,6,April,Vol1,1914,April_Vol1_99_ADVERTISERS.txt,April_Vol1_99_ADVERTISERS.txt,Vol1,1914,April
7,2.4742911637625755e-4,1.0639241743834461e-4,4.0470871824521325e-5,0.001281675687353451,3.688427312308037e-5,6.015419209597371e-4,3.75987091987346e-4,0.6265791028820759,7.02235639211987e-4,0.00163233134670348,9.901458876644396e-4,0.0019993510965979743,0.0021802926493756994,8.279928370504081e-4,1.0829227193656663e-4,0.3558007257298918,3.925498750607974e-4,0.002055443065630437,0.003962005475770905,7.914986396753137e-5,7,August,Vol1,1914,August_Vol1_00_FRONT_MATTER.txt,August_Vol1_00_FRONT_MATTER.txt,Vol1,1914,August
8,1.1399564097893601e-4,2.1494298308646402e-4,2.2030684698791965e-5,2.8299477084068876e-4,1.6618237376544496e-5,1.4750415941400973e-4,8.484268906374858e-5,0.040651763373674314,4.8743102901702037e-4,0.0020831243506191674,0.0010648852171247093,0.12401005035843726,7.095615454116193e-4,0.009851207214411108,5.6083849374103554e-5,0.7311754209220622,2.541975483303018e-4,6.162101338475998e-4,0.087999015241408865,1.581200508231599e-4,8,August,Vol1,1914,August_Vol1_99_ADVERTISERS.txt,August_Vol1_99_ADVERTISERS.txt,Vol1,1914,August
9,3.0377274989044407e-4,7.167989642643226e-5,1.1204669302331687e-4,0.0013640121975517997,1.4133969021228122e-4,0.0010958050607706076,8.125185153291971e-4,0.9075741003926411,0.0013200540226079853,0.0021885663832717224,0.0016222907412302263,0.001795688877531251,0.0031882927283114256,0.0011417951694765972,1.967106771230185e-4,0.06671069324543513,3.8540307991089516e-4,0.00383326827390374,0.00601618803835683,1.2577356699615148e-4,9,December,Vol1,1914,December_Vol1_00_FRONT_MATTER.txt,December_Vol1_00_FRONT_MATTER.txt,Vol1,1914,December
10,0.0455900045315029,8.726709431146535e-4,0.0014917501164055727,0.0014577042674875594,0.08751832606671843,6.824807835774035e-4,0.002662805153330317,8.389979925354486e-4,0.20184880196477953,0.0023814613309042923,0.10945108508102117,4.836762714044816e-4,0.13539494673340924,4.003583178312858e-4,0.0014433140402991766,0.0022887264176683743,0.04316799397955693,5.620239450509784e-4,0.36044649518471794,0.0010163768786838605,10,December,Vol1,1914,December_Vol1_01_ADVERTISERS'_DIRECTORY.txt,December_Vol1_01_ADVERTISERS'_DIRECTORY.txt,Vol1,1914,December
