filename,year,month,volume,topic_num,topic_label,proportion,text_preview
V1_1914_Jan_00_Misc.txt,1914,January,Vol1,2,Advertisements,0.9986289517723539,=== front advertisements === sure making purchases look carefully neck garments words temple brand found immediately approved label garment approved temple brand manufactured exclusively salt lake knitting works better class trade discriminating purchasers local dealer handle temple brand garment...
July_Vol4_16b_Guide_Lessons_Guide_Lessons_a_a_a_a.txt,1917,July,Vol4,6,Recipes & Cooking Instructions,0.9983398609320783,vol4 sequence category guide lessons title guide lessons guide lessons home economics lesson canning soups canning vegetable soups purees consomes thoroughly practical part economy work delight next winter able reach shelf homecanned jar soup open heat serve within minutes time accused wasteful p...
July_Vol3_09_Prince_of_Ur_A_Prince_of_Ur_Homespun.txt,1916,July,Vol3,1,Biblical Stories,0.998254228730575,vol3 sequence category prince title prince homespun prince homespun nimrod moody sad sought rabmags court sorcerers comfort cheer vain plied arts avail augur augur cast gloomy last although priests tried vain dissemble results incanta tions nimrod old forgotten peculiar skill reading faces bold e...
August_Vol9_10_Article_Summer_Menus_Jeanette_A._Hyde.txt,1922,August,Vol9,6,Recipes & Cooking Instructions,0.9982226009485214,vol9 sequence category article title summer menus jeanette hyde summer menus jeannette hyde natural thing work work along line least resistance hunting best thing easiest way soon hot days begin hear house wife ask eat today desire something appetizing something easy get something keep body cool ...
October_Vol2_06a_Article_A_Prince_of_Ur.txt,1915,October,Vol2,1,Biblical Stories,0.9982211014940937,vol2 sequence category article title prince prince homespun long winding stone steps leading terrace terrace eastern corner palace resounded measured tread abram climbed great chambers dizzy heights remote eyrie eventful evening fifth week day brow still knitted sadness begotten unhappy encounter...
V1_1914_Apr_00_Misc.txt,1914,April,Vol1,2,Advertisements,0.9982101640657504,=== front advertisements === garment approved temple brand manufactured exclusively salt lake knitting works better class trade discriminating purchasers local dealer handle temple brand garments send orders salt lake knitting store main street salt lake city post ate free parts united states pri...
November_Vol2_06_Prince_of_Ur_The_Prince_of_Ur_Homespun.txt,1915,November,Vol2,1,Biblical Stories,0.9982046561238882,vol2 sequence category prince title prince homespun prince homespun hoy call came messages morning dawn cool breezes bearing swift sweeping shady plain towers mighty city rising hundreds feet cloudland abram stood friends tarshish damascus merchants watching cavalcade now sweeping sure vision hug...
December_Vol10_05_Article_And_Then_Came_Santa_Ruth_Moench_Bell.txt,1923,December,Vol10,5,Serialized Fiction & Stories,0.9981517573581447,vol10 sequence category article title came santa ruth moench bell came santa ruth moench bell festoons dear thats better jerry fair stepped back get effect jerry fair pinned ropes tinsel gold curtains bud thence twined tree now put star tiptop just dropped sky lighted tree jerry cried merrily sup...
May_Vol10_11_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,1923,May,Vol10,6,Recipes & Cooking Instructions,0.9980852779370446,vol10 sequence category interest title interest women lalene hart interest women lalene hart forethought care clothing three ways life clothing fabrics lengthened wise selection careful use 3renovation repair suggestions last helpful season heavier materials laid aside gayer colors used although ...
V1_1914_Dec_00_Misc.txt,1914,December,Vol1,2,Advertisements,0.9978990456420067,=== advertisers directory back advertisements === advertisers directory patronize made possible paper exist agricultural college logan utah willeshorne drug south main salt lake city white sewing machine first south phone 5234 salt lake city smith bros typewriter 379½ main salt lake city taylor u...
August_Vol10_06_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,1923,August,Vol10,6,Recipes & Cooking Instructions,0.9977842914568327,vol10 sequence category interest title interest women lalene hart interest women lalene hart simple desserts warm weather warm weather women inclined slight household duties one problem shall eat put aside just little planning much worry use energy eliminated yet good nourishing food provided val...
October_Vol2_04_Article_In_the_Kitchen_Laboratory_Hazel_Love_Dunford.txt,1915,October,Vol2,1,Biblical Stories,0.9976620266267998,vol2 sequence category article title kitchen laboratory hazel love dunford pure white linen tunic upon flowing dark brown glossy hair rested small skullcap covering crown blossoming head noble features regular nose full long contour bent line swept face give full benignity glowing brown eyes cove...
August_Vol7_11_Article_Household_Hints_Janette_A._Hyde.txt,1920,August,Vol7,6,Recipes & Cooking Instructions,0.9976599757922354,vol7 sequence category article title household hints janette hyde household hints janette hyde summer months crisp table linen seems acceptable fastidious appetite time year one able afford expensive linens many little dainty breakfast cloths bright cheery designs worked hand even plain hemmed co...
V1_1914_May_00_Misc.txt,1914,May,Vol1,2,Advertisements,0.9975737402633773,=== advertisers directory back advertisements === advertisers directory patronize made possible paper exist agricultural college logan utah willeshorne drug south main salt lake city white sewing machine first south phone 5234 salt lake city crismon nichols 229231 west temple salt lake city taylo...
September_Vol3_05_Prince_of_Ur_A_Prince_of_Ur_Homespun.txt,1916,September,Vol3,1,Biblical Stories,0.9975614288434895,vol3 sequence category prince title prince homespun prince homespun nay zillah whimpered wench tis wish bawl see hear doth approaching sacrifice look like prince abram zillah knew whole frame shook violent emotion watched pace slowly ranks soldiers surrounded abram attendant priest possible secur...
June_Vol5_11_Article_Conservation_Pointers.txt,1918,June,Vol5,6,Recipes & Cooking Instructions,0.997534965592323,vol5 sequence category article title conservation pointers conservation pointers united states department agriculture endorsed food administrator just launched new food conservation campaign object campaign stimulate use valuable food made byproduct butter industry forty per cent entire milk prod...
October_Vol5_10_Home_Science_Home_Science_Department_Janette_A._Hyde.txt,1918,October,Vol5,6,Recipes & Cooking Instructions,0.9975274152669492,vol5 sequence category home science title home science department janette hyde home science department janette hyde anxious serve country willing fight food fight boys fighting physical mental fight enemies let consider sugar question sane economical saving viewpoint rather feel greatly imposed u...
V1_1914_Jun_00_Misc.txt,1914,June,Vol1,2,Advertisements,0.9973887841066014,=== advertisers directory back advertisements === advertisers directory patronize made possible paper exist agricultural college logan utah willeshorne drug south main salt lake city white === cover === relief society bulletin issued officers directors relief society human service come considerat...
January_Vol9_05_Article_Bubbles_and_Troubles_Ruth_Moench_Bell.txt,1922,January,Vol9,5,Serialized Fiction & Stories,0.9972970812693961,vol9 sequence category article title bubbles troubles ruth moench bell bubbles troubles ruth moench bell klickity klackity klack klack went electric washing machine teakettle boiler sang vigorous accompaniments baby baffled cherished plan bawled vociferously ralph ruth near age agree quarreling h...
September_Vol7_09_Article_Care_of_Clothing.txt,1920,September,Vol7,6,Recipes & Cooking Instructions,0.9972833248071181,vol7 sequence category article title care clothing care clothing want clothing must answer question plan wisely want things protection cold heat moisture rough surfaces freedom movement breathing standing beauty get choosing materials colors designs suited occupation self respect clothing appropr...
March_Vol2_11_Prince_of_Ur_Prince_of_Ur_Homespun.txt,1915,March,Vol2,1,Biblical Stories,0.9971951200998996,vol2 sequence category prince title prince homespun prince chapter court women tinkle tinkle tinkle harps zithers kinhars kerens cymbals rose fell perfumed air covered courtyard mystic regularity melody vague involved certain monotony fullthroated illusive suggestion suddenly ceased poignant paus...
February_Vol9_10_Article_Bubbles_and_Troubles_Ruth_Moench_Bell.txt,1922,February,Vol9,5,Serialized Fiction & Stories,0.9971745779277369,vol9 sequence category article title bubbles troubles ruth moench bell bubbles troubles ruth moench bell chapter iit continued rhea happened unexpectedly usual scene turmoil characterized collins home late years hurry flurry worry raised voices clenched fists fur flying characterized ralph ruth b...
July_Vol4_17_Guide_Lessons_Guide_Lessons.txt,1917,July,Vol4,6,Recipes & Cooking Instructions,0.9968605034463446,vol4 sequence category guide lessons title guide lessons guide lessons 417 fire turpentine good removing grass paint stains mending since materials produced cheap mending becoming lost art however one disputes utility mending well made garment discarded patch neatly put prolong usefulness childre...
November_Vol6_09_Construction_and_Reconstruction_in_the_Home.txt,1919,November,Vol6,6,Recipes & Cooking Instructions,0.9966443176115543,vol6 sequence category construction title reconstruction home construction reconstruction home ====================================================================== construction reconstruction home conducted janette hyde lucille mcallister remodeling fall winter styles showing many dresses jumpe...
October_Vol2_03b_Home_Science_In_the_Kitchen_Laboratory.txt,1915,October,Vol2,6,Recipes & Cooking Instructions,0.9966308920635712,vol2 sequence category home science title kitchen laboratory kitchen laboratory hazel love dunford relishes pickles season pickling time rolled around matter much dietists write indigestibility pickles housekeepers still make serve people concede good man woman beast home make relishes mild make ...
July_Vol3_08_Article_Crochet_Centerpiece_Isabel_Whitney_Sears.txt,1916,July,Vol3,10,Genealogical Stories,0.9966297694634331,vol3 sequence category article title crochet centerpiece isabel whitney sears crochet centerpiece isabel whitney sears stitches used chain catch cotton hook making loop draw cotton hook loop makes first stitch repeat draw many loops wanted loop terme chain stitch slip stitchsi put hook work threa...
May_Vol7_04_Article_My_Little_Span.txt,1920,May,Vol7,8,Stake & Ward Relief Society Reports,0.9966214959246523,vol7 sequence category article title little span little span bertha kleinman little done much world scarred strife frail fold hands sit dream project rare regal plan scheme dominion fail wise righteous benign errors boast wither scorn bruised fainting men know charity world warmed magnanimity per...
July_Vol4_16b_Guide_Lessons_Guide_Lessons_b.txt,1917,July,Vol4,6,Recipes & Cooking Instructions,0.9966033747052021,vol4 sequence category guide lessons title guide lessons lesson remodeling clothing points consider remodeling remaking article worth remodeling always pay make old clothes cant done least expenditure time money article much date often rendered wearable addition new yoke new sleeves fresh collar ...
January_Vol3_07_Prince_of_Ur_The_Prince_of_Ur_Homespun.txt,1916,January,Vol3,1,Biblical Stories,0.9965920875698636,vol3 sequence category prince title prince homespun prince homespun princess sarai safe confines apartments even huge eunuch feared standing shadows audience hall seen look given mistress greedy eyes wicked nimrod time now dwell upon death surely closing upon three cushite damsels eunuchs mistres...
January_Vol4_11_Home_Science_Home_Science_Department_Janette_A._Hyde.txt,1917,January,Vol4,6,Recipes & Cooking Instructions,0.9964913338262319,vol4 sequence category home science title home science department janette hyde home science department janette hyde macaroni meat times high cost living quite necessary good housewife understand value foods serving meal get good nourishing foods without buying expensive serving pound macaroni ass...
May_Vol10_21_Notes_from_Field_Notes_From_the_Field_Amy_Brown_Lyman.txt,1923,May,Vol10,8,Stake & Ward Relief Society Reports,0.9964382664341226,vol10 sequence category notes field title notes field amy brown lyman notes field amy brown lyman european mission relief society work european mission now direction emma ray mckay wife david mckay council twelve letter president clarissa williams mckay reports special effort made make lesson wor...
January_Vol10_16_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,1923,January,Vol10,6,Recipes & Cooking Instructions,0.9962950016870614,vol10 sequence category interest title interest women lalene hart interest women helpful things know lalene hart fall spring necessary use ice fireless cooker used keep meat milk butter cool put stones doors night become thoroughly cold morning put cooker remain cool day easy quick method cleanin...
September_Vol6_05a_Article_His_Wifes_Mother-in-Law.txt,1919,September,Vol6,5,Serialized Fiction & Stories,0.996162238733598,vol6 sequence category article title wifes motherinlaw wifes motherinlaw ====================================================================== wifes motherinlaw ruth moench bell whos ardelle mayfair called downstairs one taken liberty opening kitchen door walking doubt ardelles mind intruder mig...
May_Vol3_06_Prince_of_Ur_Janette_A._A_Prince_of_Ur_Homespun.txt,1916,May,Vol3,1,Biblical Stories,0.9960024231228496,vol3 sequence category prince title janette prince homespun prince homespun abrani reached small door led tower courtyard heard sudden pounding upon door listened intently caught distinct whistle fhe accepted signal instantly undid bars javanu master servants slaves palace refused groves nights r...
July_Vol2_12_Prince_of_Ur_The_Prince_of_Ur.txt,1915,July,Vol2,1,Biblical Stories,0.995828590699505,vol2 sequence category prince title prince prince homespun two hours sunset filthy burial cart just issuing great gateway southeast side city crude rough cart used carry pauper dead city sepulchers lying sides low hilly hummocks back river great mounds opened cavelike mouths many generations swal...
V1_1914_Mar_04_HomeGarden_Home_Gardening.txt,1914,March,Vol1,6,Recipes & Cooking Instructions,0.995792537687476,vol1 sequence category homegardening title home gardening home gardening women lesson iii twenty minutes house boxes propagation flowering plants various garden crops tomatoes peppers egg plants etc house boxes found valuable especially case just plants wanted economical construct hotbed starting...
June_Vol1_99_ADVERTISERS.txt,1922,June,Vol9,2,Advertisements,0.9957742035478587,flower shop elizabeth huth prop telephone mlaatoaucdadstuagedudsdeauouuusureosuateersripouiterereds eccles bldg ogden mcintyres moest test ice cream candy cakeluncheons phone 3223 box 173 salt lake city service press better printers better printing phone 4044 every woman containing latest pattern...
November_Vol2_09_Article_In_the_Kitchen_Laboratory_Hazel_Love_Dunford.txt,1915,November,Vol2,6,Recipes & Cooking Instructions,0.9957221485892734,vol2 sequence category article title kitchen laboratory hazel love dunford kitchen laboratory hazel love dunford honey long since honey principal sweet used american home advent sugar factory fast loosing place tables mistake honey one natures best foods unlike cane sugar^ easily assimilated many...
"June_Vol2_06_Article_In_the_Kitchen_Laboratory,.txt",1915,June,Vol2,6,Recipes & Cooking Instructions,0.995575773559812,vol2 sequence category article title kitchen laboratory kitchen laboratory paying necessary article vegetables first new vegetables coming gardens difficult time keep grocery bill yet family properly nourished vegetables shipped california months altogether high used people limited means instance...
July_Vol6_13_Construction_and_Reconstruction_in_the_Home.txt,1919,July,Vol6,6,Recipes & Cooking Instructions,0.9954897260201296,vol6 sequence category construction title reconstruction home construction reconstruction home ====================================================================== construction reconstruction home continuation making tailored skirt basting type seam used make difference proceed baste skirt case...
July_Vol10_08d_Notes_from_Field_Notes_from_the_Field_a_a_a_a_a.txt,1923,July,Vol10,8,Stake & Ward Relief Society Reports,0.9954796495296342,vol10 sequence category notes field title notes field notes field amy brown lyman panguitch stake accompanying picture henrieville relief society panguitch stake relief society henrieville one progressive wards stake twentythree members enrolled nearly women active association society endeavored ...
