Topic,Label,Difference,SE,P_value,Significant,Difference_Pct,Direction
18,Relief Society Conferences,0.13444202695043858,0.00582728082766749,3.929788598390603e-112,TRUE,13.44,More in Woman's Exponent
6,Musical Programs & Performances,-0.10209725451510494,0.005523217354447461,6.577881875247344e-74,TRUE,-10.21,More in Relief Society Bulletin
14,Community Unity,0.0880707886886867,0.0044052544703441455,1.1058032606563181e-85,TRUE,8.81,More in Woman's Exponent
13,Marriage & Family Life,0.08257556566387796,0.005962781303142769,7.620597410810292e-43,TRUE,8.26,More in Woman's Exponent
8,Women's Suffrage & Political Rights,0.07683248567554928,0.005389949761021438,3.039117773174999e-45,TRUE,7.68,More in Woman's Exponent
3,Celebration Concerts,0.05409582603238203,0.006657481269701025,5.533066955492931e-16,TRUE,5.41,More in Woman's Exponent
15,Recipes & Cooking Instructions,-0.04735419756964856,0.004458272495028107,4.406333463905486e-26,TRUE,-4.74,More in Relief Society Bulletin
19,Heritage Crafts,-0.04531606913501458,0.004378592236791372,7.385227823328362e-25,TRUE,-4.53,More in Relief Society Bulletin
1,World War I News & Commentary,-0.0449715351847935,0.004064889068869071,3.9223322981362006e-28,TRUE,-4.5,More in Relief Society Bulletin
20,Stake & Ward Reports,-0.038441260617509174,0.004432745960856536,5.615445491135989e-18,TRUE,-3.84,More in Relief Society Bulletin
17,Nutrition & Dietary Science,-0.03701842047588158,0.0033674540072930505,8.425992802511649e-28,TRUE,-3.7,More in Relief Society Bulletin
11,Serialized Fiction & Stories,-0.035487937494930545,0.005040270713897361,2.162300348349216e-12,TRUE,-3.55,More in Relief Society Bulletin
16,Gospel Doctrine & Spiritual Kingdom,-0.03087488465768592,0.004697543533915745,5.4369934270155775e-11,TRUE,-3.09,More in Relief Society Bulletin
10,Genealogy,-0.029930372738711943,0.003725447734609804,1.1610283172748865e-15,TRUE,-2.99,More in Relief Society Bulletin
7,Board Member Directory,-0.021080803628806398,0.005207817706647122,5.243776656902043e-5,TRUE,-2.11,More in Relief Society Bulletin
12,Pioneer Heritage,0.01192413656735323,0.004118484368209981,0.003804302717333323,TRUE,1.19,More in Woman's Exponent
4,Biblical Narratives & Symbolism,-0.00895220854994416,0.0060197077008992145,0.13703671750509316,FALSE,-0.9,No significant difference
5,Nursing Training & Hospital Work,-0.0040375361500558996,0.0035545510425285596,0.2560607717654182,FALSE,-0.4,No significant difference
9,Words of Encouragement,-0.002276641213212899,0.004446851371487662,0.608696160228668,FALSE,-0.23,No significant difference
2,Parenting & Child Moral Education,-1.236963556077047e-4,0.005612934027736398,0.9824187123356609,FALSE,-0.01,No significant difference
