Topic,Label,Coefficient,SE,P_value,Direction
1,World War I News & Commentary,-0.04488066260468583,0.004148690941368283,5.523466121614341e-27,LESS in Woman's Exponent (more in RS Bulletin)
3,Celebration Concerts,0.054048138868388926,0.0066184417191225324,3.9687491858812464e-16,MORE in Woman's Exponent
6,Musical Programs & Performances,-0.10211702413735478,0.005473098881356808,3.220013441875419e-75,LESS in Woman's Exponent (more in RS Bulletin)
7,Board Member Directory,-0.021109677490040474,0.0051392466212906475,4.0612404893575655e-5,LESS in Woman's Exponent (more in RS Bulletin)
8,Women's Suffrage & Political Rights,0.07673689979005545,0.00542489705871593,1.3656947637464405e-44,MORE in Woman's Exponent
10,Genealogy,-0.02994156502451692,0.003707890729410447,8.334622981939388e-16,LESS in Woman's Exponent (more in RS Bulletin)
11,Serialized Fiction & Stories,-0.03551380341847198,0.005074768366634991,2.9279975492066185e-12,LESS in Woman's Exponent (more in RS Bulletin)
12,Pioneer Heritage,0.011998189856793538,0.004081169397269962,0.003297958890395903,MORE in Woman's Exponent
13,Marriage & Family Life,0.08261721511562047,0.005947913723980223,4.356455225384715e-43,MORE in Woman's Exponent
14,Community Unity,0.08802924181344414,0.00441308223314914,2.5449159063686338e-85,MORE in Woman's Exponent
15,Recipes & Cooking Instructions,-0.04734624390404736,0.004386293401227773,7.12483235642557e-27,LESS in Woman's Exponent (more in RS Bulletin)
16,Gospel Doctrine & Spiritual Kingdom,-0.03095988392470227,0.004691104338480041,4.536053697886342e-11,LESS in Woman's Exponent (more in RS Bulletin)
17,Nutrition & Dietary Science,-0.037049640513193066,0.003361955008729301,6.269860314681717e-28,LESS in Woman's Exponent (more in RS Bulletin)
18,Relief Society Conferences,0.13466767372594132,0.005891118683675061,3.2538107323990266e-110,MORE in Woman's Exponent
19,Heritage Crafts,-0.04540219842408734,0.004357626550952462,3.616869262069029e-25,LESS in Woman's Exponent (more in RS Bulletin)
20,Stake & Ward Reports,-0.03838462041934468,0.004416243955291304,4.739033952425696e-18,LESS in Woman's Exponent (more in RS Bulletin)
