docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1,0.023671150797563552,0.5611831658345456,0.034818670645883544,0.06355555674230434,0.00997399749404984,0.04404647484201179,0.004601142228263932,0.24588544373153245,0.00609478884827425,0.00616960883557081,1,WE,Vol32,1903,WE_Vol32_1903_Issue1_001_FRONT_MATTER.txt,WE_Vol32_1903_Issue1_001_FRONT_MATTER.txt,Vol32,1903,WE
2,0.0030075108805384556,0.003675306041480913,0.0019527565409919892,9.286968138901978e-4,0.0037210567744857333,0.001046056351187695,0.110517347829731,3.3185843799517526e-4,0.8646138732793157,0.0102055370503833,2,WE,Vol32,1903,WE_Vol32_1903_Issue1_002_WOMANHOOD.txt,WE_Vol32_1903_Issue1_002_WOMANHOOD.txt,Vol32,1903,WE
3,0.16454186898233558,0.015410690500611873,0.0029890431330100204,0.005279039823453047,0.12113214777298179,0.35508286585933796,0.07341193474759605,0.08462164627573462,0.026666561704101005,0.15086420120083807,3,WE,Vol32,1903,WE_Vol32_1903_Issue1_003_PRESIDENT_BATHSHEBA_W_SMITH.txt,WE_Vol32_1903_Issue1_003_PRESIDENT_BATHSHEBA_W_SMITH.txt,Vol32,1903,WE
4,0.001526879352053934,0.0060131592475865915,0.2861212968304566,0.566268741168141,0.00842776836314531,1.1236093528438901e-4,0.0029404986884217655,9.650614370750739e-4,0.10589286032845059,0.02173137364938482,4,WE,Vol32,1903,WE_Vol32_1903_Issue1_004_CERTIFIED_FAC_SIMILES_BEING_PREPARED.txt,WE_Vol32_1903_Issue1_004_CERTIFIED_FAC_SIMILES_BEING_PREPARED.txt,Vol32,1903,WE
5,0.004058737804957659,0.06390607553008774,0.6948101072432668,0.13892867701267803,0.027472658650215188,8.677086504621957e-4,0.0022674267701921604,0.056659083975402764,0.0035599079133374844,0.007469616449400041,5,WE,Vol32,1903,WE_Vol32_1903_Issue1_005_NOTES_AND_NEWS.txt,WE_Vol32_1903_Issue1_005_NOTES_AND_NEWS.txt,Vol32,1903,WE
6,0.01848805069636099,0.0016291764664764627,6.831825131052696e-4,7.299934698550304e-4,0.34292666319286463,0.5664614210284388,0.003668698124713391,0.05129312966207652,0.0037716128238869215,0.010348072022222125,6,WE,Vol32,1903,WE_Vol32_1903_Issue1_006_VISITING_AND_HOLDING_MEETINGS.txt,WE_Vol32_1903_Issue1_006_VISITING_AND_HOLDING_MEETINGS.txt,Vol32,1903,WE
7,0.03165075103295754,0.028416918993982937,0.004299882161984252,0.004081311143740839,0.008240136022075519,0.03217035205871254,0.0012239951200083432,0.8838014965186719,3.603769743060163e-4,0.0057547799735601386,7,WE,Vol32,1903,WE_Vol32_1903_Issue1_007_ANNIVERSARY_CELEBRATION.txt,WE_Vol32_1903_Issue1_007_ANNIVERSARY_CELEBRATION.txt,Vol32,1903,WE
8,0.013914081704112518,0.016495590604316223,0.0035145978927199565,0.0028364331397393284,0.09112840475343358,0.7048166931911108,0.004266194090504985,0.13616646750745293,0.007067648157606091,0.019793888959003296,8,WE,Vol32,1903,WE_Vol32_1903_Issue1_008_LADIES_SEMI_MONTHLY_MEETING.txt,WE_Vol32_1903_Issue1_008_LADIES_SEMI_MONTHLY_MEETING.txt,Vol32,1903,WE
9,0.008299245739609556,0.208188826670056,0.15444157737500322,0.402587295271586,0.014280127045978525,0.009422475438821697,0.05359110867960586,0.08165874183302121,0.006814784512968957,0.06071581743334909,9,WE,Vol32,1903,WE_Vol32_1903_Issue1_009_AMELIA_WARDROP_SEC.txt,WE_Vol32_1903_Issue1_009_AMELIA_WARDROP_SEC.txt,Vol32,1903,WE
10,0.04331446125850815,0.011135085469043472,0.0042844093835690275,7.392637630225332e-4,0.022750672217287923,0.00666891444131922,0.0020396602056539353,0.03381554088432171,0.8542439128401159,0.02100807953715815,10,WE,Vol32,1903,WE_Vol32_1903_Issue1_010_LOVING_THOUGHTS.txt,WE_Vol32_1903_Issue1_010_LOVING_THOUGHTS.txt,Vol32,1903,WE
