docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1,6.708857424765541e-5,6.755521978594019e-6,3.19350776213239e-5,1.0715913637754342e-4,1.4626125722989766e-4,4.6376456323167167e-4,2.700458305403857e-4,0.9941511380069542,2.788209315457912e-4,4.3067813710217633e-4,1.1104140213749791e-4,3.7818186495320574e-4,4.500120299072093e-4,3.270412072702566e-4,4.350349902060168e-5,7.603186227103611e-4,3.799583223865312e-5,3.2701604802689015e-4,0.001581056783379614,3.0185673526321998e-5,1,April,Vol1,1914,April_Vol1_00_FRONT_MATTER.txt,April_Vol1_00_FRONT_MATTER.txt,Vol1,1914,April
2,6.69463121771752e-4,8.508955660552771e-5,8.185550336649224e-4,8.606318724117826e-4,8.710259886725429e-4,3.6700412182268257e-4,7.439609540947636e-4,0.006624253991468612,0.2276982295872915,0.0020868658967094405,0.2793782217960115,0.004537655875304431,0.20744079784232425,4.2665577760197675e-4,3.0408587432078835e-4,0.01225402209757063,3.634589928702765e-4,8.711043083258051e-4,0.2530641054633254,5.348118478311354e-4,2,April,Vol1,1914,April_Vol1_01_ADVERTISERS'_DIRECTORY.txt,April_Vol1_01_ADVERTISERS'_DIRECTORY.txt,Vol1,1914,April
3,7.530444092678039e-4,3.074047710796629e-5,7.465180209522445e-4,5.004069609763612e-4,5.628874150274063e-4,4.5251072598633516e-4,0.9859932814295106,5.226277440399488e-4,0.0034696020858884413,5.967956385324899e-4,0.002452901177618032,8.536238427020143e-5,7.40990023643033e-4,4.798436711383458e-4,6.328758364578468e-4,2.1459690358194427e-4,1.73577090757561e-4,0.0010014131044266625,4.5426931266769597e-4,1.3575558814906864e-4,3,April,Vol1,1914,April_Vol1_02_GENEALOGY.txt,April_Vol1_02_GENEALOGY.txt,Vol1,1914,April
4,0.0011982384921860492,2.4193458098754423e-4,5.626614546285874e-4,5.30231901775886e-4,0.01071404556006269,1.2397817537359074e-4,9.384706263261439e-4,4.701692730186022e-4,0.0034741103211726023,0.003027636866797998,0.005234079265188553,0.001651885004279744,0.40176472520963263,0.559667972128132,0.003236116295712522,0.0017078221013783468,0.0011395235211877706,0.0035087567439526035,2.1957884375608982e-4,5.88063634450299e-4,4,April,Vol1,1914,April_Vol1_03_HOME_ETHICS.txt,April_Vol1_03_HOME_ETHICS.txt,Vol1,1914,April
5,0.03712343442291389,0.71448955688065785,3.498431084379013e-4,0.0021934088433846603,5.580161686910181e-4,8.555599012428233e-4,0.0011543643909593504,9.337349857247197e-4,0.0034853474430462912,0.0052780645512996195,0.0014602071360417248,0.0035364628473769848,0.027522410958713526,0.0011098648575263664,9.123183166543321e-4,0.19386657489497536,0.002578373314135809,3.0790532944896786e-4,0.0017006997099872257,5.838519387814251e-4,5,April,Vol1,1914,April_Vol1_04_LITERATURE.txt,April_Vol1_04_LITERATURE.txt,Vol1,1914,April
6,1.2837553890734541e-4,6.0408025445736984e-5,3.6947608172919554e-5,4.7752194425964266e-4,4.953866135775594e-5,2.603164703275482e-4,2.526117599310413e-4,0.5132902654719235,1.7292165859632757e-4,0.0653762956665752,9.161228292253823e-4,0.0017632908823211261,8.348375755867662e-4,0.01264447607430024,2.3398689274555334e-4,0.3601012918419021,2.0529604697756254e-4,9.353907584654577e-4,0.042223927741014584,3.6176551964235136e-5,6,April,Vol1,1914,April_Vol1_99_ADVERTISERS.txt,April_Vol1_99_ADVERTISERS.txt,Vol1,1914,April
7,2.6520235829211123e-4,1.1366166587365428e-4,4.718491941010783e-5,0.0012632500928505582,4.267605599303608e-5,6.000185362980235e-4,3.742060937691434e-4,0.6324568975517928,6.975765408051317e-4,0.0017043003369829836,0.0010359671667262526,0.001925775140673891,0.0021172419019427034,8.176381591743382e-4,1.0509638566543967e-4,0.3501682224468036,3.959627384453227e-4,0.002013994556067152,0.003773950033737888,8.11773186964916e-5,7,August,Vol1,1914,August_Vol1_00_FRONT_MATTER.txt,August_Vol1_00_FRONT_MATTER.txt,Vol1,1914,August
8,1.2170944184771945e-4,2.170732738838672e-4,2.0102189393684792e-5,2.9049219883865853e-4,1.9411732043108194e-5,1.5159552380547025e-4,8.605977739337156e-5,0.04573369933960263,4.769640104112682e-4,0.0022623809316815644,0.0010831271032171136,0.12485249025399504,7.45764927245863e-4,0.009532422215759047,6.0636789747505734e-5,0.7280416486752622,2.511353771805433e-4,6.161995968028891e-4,0.08527023047992953,1.6685616195827516e-4,8,August,Vol1,1914,August_Vol1_99_ADVERTISERS.txt,August_Vol1_99_ADVERTISERS.txt,Vol1,1914,August
9,3.1602511478553963e-4,7.232759254023238e-5,1.254207646116991e-4,0.001288748235051992,1.5960139708459314e-4,0.001070061526853819,8.132288722972597e-4,0.9166996329301512,0.0012881800761356315,0.0022190523882582294,0.001682914202327575,0.001702561582706436,0.003041818532946644,0.0011153759148242988,1.8574181382769654e-4,0.058709939028344454,3.784164956243345e-4,0.0036633503429226682,0.005341574008740561,1.2602917996463363e-4,9,December,Vol1,1914,December_Vol1_00_FRONT_MATTER.txt,December_Vol1_00_FRONT_MATTER.txt,Vol1,1914,December
10,0.03867166829365572,8.60458585817202e-4,0.0013663918283619108,0.0014740209148846068,0.09104710457333585,6.712957033692591e-4,0.0026629088919576335,8.813388360392087e-4,0.2003828871828164,0.002346148865450853,0.11014650314655637,4.7458272988512275e-4,0.13982348643594783,4.0465579289546106e-4,0.0016344542122490539,0.002069680461742931,0.04504393099172343,6.037367481278867e-4,0.35840018257159784,0.0010345632335857656,10,December,Vol1,1914,December_Vol1_01_ADVERTISERS'_DIRECTORY.txt,December_Vol1_01_ADVERTISERS'_DIRECTORY.txt,Vol1,1914,December
