topic_num,auto_label,full_label,frex_words,prob_words,manual_label
1,Resolved Resolutions Loss,Topic 1: Resolved Resolutions Loss,"resolved, resolutions, loss, mourn, whereas, bereaved, beloved, faithful, worker, departed, funeral, deceased, died, death, grandchildren","sister, society, life, relief, years, one, family, mother, ward, children, death, faithful, president, husband, many",
2,Savings Frontmatter Goods,Topic 2: Savings Frontmatter Goods,"savings, frontmatter, goods, editorial, dry, salt, bank, main, lake, contents, cashier, class, ellis, secondclass, utah","utah, city, lake, salt, author, title, womansexponent, unknown, exponent, womans, wells, column, class, cannon, one",
3,Colonial Statue Poems,Topic 3: Colonial Statue Poems,"colonial, statue, poems, literary, howe, nightingale, livermore, blackwell, barton, queen, book, dickens, style, war, flag","one, book, years, first, many, new, great, work, life, howe, people, history, club, england, paper",
4,Delegates Discount Pariel,Topic 4: Delegates Discount Pariel,"delegates, discount, pariel, catt, reduction, advertising, countess, advertisers, international, suffrage, postage, national, sewall, communications, cts","women, one, council, suffrage, womans, national, woman, states, made, business, international, time, state, exponent, men",
5,Hostess Wagon Camped,Topic 5: Hostess Wagon Camped,"hostess, wagon, camped, went, got, journey, affair, winter, camp, aunt, indians, miles, started, lion, uncle","one, home, time, many, came, young, day, house, little, old, mother, went, brother, two, family",
6,Reported Pleased Singing,Topic 6: Reported Pleased Singing,"reported, pleased, singing, spoke, standring, adjourned, benediction, felt, wheat, urged, colton, conference, grain, bless, sisters","sister, society, stake, sisters, work, relief, president, good, spoke, said, conference, singing, felt, lord, mothers",
7,Ref Lesson Cov,Topic 7: Ref Lesson Cov,"ref, lesson, cov, doc, lecture, obedience, habits, avoid, childs, effects, child, cleanliness, physical, virtue, evil","children, home, child, lecture, god, good, mothers, mother, life, love, parents, lesson, work, one, teach",
8,Horne Williams Wilcox,Topic 8: Horne Williams Wilcox,"horne, williams, wilcox, anniversary, clarissa, bathsheba, regent, solo, program, rendered, phebe, piano, stakes, oneida, taylor","society, president, relief, sister, stake, smith, sisters, wells, meeting, present, secretary, held, given, conference, work",
9,Twas Windeyer Bells,Topic 9: Twas Windeyer Bells,"twas, windeyer, bells, bettie, mystery, brandon, thro, wings, alps, jenny, vose, oer, claus, hillier, mong","love, one, life, heart, thy, day, author, title, shall, womansexponent, now, long, come, unknown, like",
10,Certainly Really Dispensation,Topic 10: Certainly Really Dispensation,"certainly, really, dispensation, activity, utmost, greater, excellence, eventually, mankind, instances, generally, aware, marvelous, progress, actual","women, great, one, work, people, many, time, world, much, men, young, upon, church, yet, society",
