topic,label,top_prob,top_frex
1,Topic 1: Pioneer Heritage,"sister, society, life, relief, years, one, family, mother, ward, children, death, faithful, president, husband, many, home, resolved, resolutions, born, father","resolved, resolutions, loss, mourn, whereas, bereaved, beloved, faithful, worker, departed, funeral, deceased, died, death, grandchildren, devoted, illness, husband, loving, memory"
2,Topic 2: Education,"utah, city, lake, salt, author, title, womansexponent, unknown, exponent, womans, wells, column, class, cannon, one, office, thomas, notes, street, relief","savings, frontmatter, goods, editorial, dry, salt, bank, main, lake, contents, cashier, class, ellis, secondclass, utah, shipp, alder, accounts, post, roberts"
3,Topic 3: Women Professionalization,"one, book, years, first, many, new, great, work, life, howe, people, history, club, england, paper, old, woman, made, literary, among","colonial, statue, poems, literary, howe, nightingale, livermore, blackwell, barton, queen, book, dickens, style, war, flag, patriotic, british, poem, founder, florence"
4,Topic 4: International Women's Organizations,"women, one, council, suffrage, womans, national, woman, states, made, business, international, time, state, exponent, men, every, year, president, work, cts","delegates, discount, pariel, catt, reduction, advertising, countess, advertisers, international, suffrage, postage, national, sewall, communications, cts, quinquennial, council, rates, congress, mail"
5,Topic 5: Relief Society Leadership,"one, home, time, many, came, young, day, house, little, old, mother, went, brother, two, family, father, made, said, great, friends","hostess, wagon, camped, went, got, journey, affair, winter, camp, aunt, indians, miles, started, lion, uncle, pretty, seemed, morrison, guest, saw"
6,Topic 6: Religious Leadership,"sister, society, stake, sisters, work, relief, president, good, spoke, said, conference, singing, felt, lord, mothers, ward, children, reported, prayer, counselor","reported, pleased, singing, spoke, standring, adjourned, benediction, felt, wheat, urged, colton, conference, grain, bless, sisters, prayed, advised, dixon, instructions, testimony"
7,Topic 7: Religious Lessons,"children, home, child, lecture, god, good, mothers, mother, life, love, parents, lesson, work, one, teach, time, make, shall, care, man","ref, lesson, cov, doc, lecture, obedience, habits, avoid, childs, effects, child, cleanliness, physical, virtue, evil, proper, matt, teach, amusements, parent"
8,Topic 8: Missionary Reports,"society, president, relief, sister, stake, smith, sisters, wells, meeting, present, secretary, held, given, conference, work, gave, young, officers, members, first","horne, williams, wilcox, anniversary, clarissa, bathsheba, regent, solo, program, rendered, phebe, piano, stakes, oneida, taylor, counselors, julina, priscilla, hyde, smoot"
9,Topic 9: Religious Literature,"love, one, life, heart, thy, day, author, title, shall, womansexponent, now, long, come, unknown, like, yet, god, old, sweet, away","twas, windeyer, bells, bettie, mystery, brandon, thro, wings, alps, jenny, vose, oer, claus, hillier, mong, feathers, tears, oft, thine, een"
10,Topic 10: Scientific Advancement,"women, great, one, work, people, many, time, world, much, men, young, upon, church, yet, society, even, life, every, good, now","certainly, really, dispensation, activity, utmost, greater, excellence, eventually, mankind, instances, generally, aware, marvelous, progress, actual, growth, matters, generation, understanding, apparent"
