doc_id,filename,Title,Author,Article_Type,volume_num,year,issue,dominant_topic,topic_label,proportion_pct,strong_exemplar
629,WE_Vol33_1904_Issue9_046_SEVIER_STAKE_1905.txt,"SEVIER STAKE, 1905.",Unknown,Article,33,1904,9,1,Women's Religous Lessons & Study,99.1,TRUE
243,WE_Vol32_1903_Issue6_025_KANAB_STAKE.txt,KANAB STAKE.,Unknown,Article,32,1903,6,1,Women's Religous Lessons & Study,98.6,TRUE
433,WE_Vol33_1904_Issue3_002_PEACE.txt,PEACE.,Unknown,Article,33,1904,3,1,Women's Religous Lessons & Study,98.5,TRUE
254,WE_Vol32_1903_Issue7_002_THANKSGIVING_POEM.txt,THANKSGIVING POEM.,Unknown,Poetry,32,1903,7,1,Women's Religous Lessons & Study,98.1,TRUE
753,WE_Vol34_1905_Issue5_002_VALIANT_FOR_THE_TRUTH.txt,VALIANT FOR THE TRUTH.,FRANCES RIDLEY HAVERGAL,Article,34,1905,5,1,Women's Religous Lessons & Study,98.1,TRUE
895,WE_Vol35_1906_Issue2_002_THE_STORY_OF_THE_CROSS.txt,THE STORY OF THE CROSS.,LYDIA D. ALDER,Article,35,1906,2,1,Women's Religous Lessons & Study,97.9,TRUE
669,WE_Vol34_1905_Issue1_019_VIRGINIA_FRAZER_BOYLE.txt,VIRGINIA FRAZER BOYLE.,Unknown,Article,34,1905,1,1,Women's Religous Lessons & Study,97.8,TRUE
1080,WE_Vol35_1906_Issue9_002_BRING_FLOWERS.txt,BRING FLOWERS,Unknown,Article,35,1906,9,1,Women's Religous Lessons & Study,97.8,TRUE
622,WE_Vol33_1904_Issue9_039_AVILDIA_DICKSON_2.txt,AVILDIA DICKSON.,Unknown,Article,33,1904,9,1,Women's Religous Lessons & Study,97.3,TRUE
1858,WE_Vol39_1910_Issue3_009_THE_LIGHT_IS_SHINING_ON.txt,THE LIGHT IS SHINING ON.,Mrs. Carine L. S. Rose,Article,39,1910,3,1,Women's Religous Lessons & Study,97.3,TRUE
2339,WE_Vol41_1912_Issue13_002_LIFE_IS_WORTH_THE_LIVING.txt,LIFE IS WORTH THE LIVING.,Unknown,Article,41,1912,13,1,Women's Religous Lessons & Study,97.3,TRUE
88,WE_Vol32_1903_Issue12_002_THE_HEALER.txt,THE HEALER,Unknown,Article,32,1903,12,1,Women's Religous Lessons & Study,97.2,TRUE
1538,WE_Vol38_1909_Issue1_008_OUT_OF_THE_DEPTHS.txt,OUT OF THE DEPTHS.,Unknown,Article,38,1909,1,1,Women's Religous Lessons & Study,97.2,TRUE
1291,WE_Vol36_1907_Issue8_005_LOVE_IS_SANCITIFIED.txt,LOVE IS SANCITIFIED.,Unknown,Article,36,1907,8,1,Women's Religous Lessons & Study,97.1,TRUE
1212,WE_Vol36_1907_Issue5_002_GIFTED_POET_HENRY_W_NAISBITT.txt,"GIFTED POET, HENRY W. NAISBITT.",Unknown,Article,36,1907,5,1,Women's Religous Lessons & Study,96.9,TRUE
2278,WE_Vol41_1912_Issue1_010_A_PETITION.txt,A PETITION.,Unknown,Article,41,1912,1,1,Women's Religous Lessons & Study,96.9,TRUE
672,WE_Vol34_1905_Issue10_002_GLADYS.txt,GLADYS.,"LYDIA D. ALDER,",Article,34,1905,10,1,Women's Religous Lessons & Study,96.7,TRUE
462,WE_Vol33_1904_Issue3_031_HOME_SWEET_HOME.txt,"“HOME, SWEET HOME.”",one who was destined life’s pathways to,Article,33,1904,3,1,Women's Religous Lessons & Study,96.4,TRUE
1775,WE_Vol38_1909_Issue9_005_MOTHER_S_DAY.txt,MOTHER’S DAY.,A. W. C,Article,38,1909,9,1,Women's Religous Lessons & Study,96.4,TRUE
1631,WE_Vol38_1909_Issue4_002_THE_BEST_OF_ALL.txt,THE BEST OF ALL.,Unknown,Article,38,1909,4,1,Women's Religous Lessons & Study,96.2,TRUE
2439,WE_Vol41_1912_Issue4_002_THE_MOTHER_AND_CHILD.txt,THE MOTHER AND CHILD.,Maud Ellen Baggarly,Article,41,1912,4,1,Women's Religous Lessons & Study,96.1,TRUE
1360,WE_Vol37_1908_Issue2_004_LOVE_S_THRONE.txt,LOVE’S THRONE.,Unknown,Article,37,1908,2,1,Women's Religous Lessons & Study,95.9,TRUE
659,WE_Vol34_1905_Issue1_009_LECTURE_IV.txt,LECTURE IV.,Unknown,Article,34,1905,1,1,Women's Religous Lessons & Study,95.7,TRUE
946,WE_Vol35_1906_Issue4_007_WHAT_MIGHT_HAVE_BEEN.txt,WHAT MIGHT HAVE BEEN.,Unknown,Article,35,1906,4,1,Women's Religous Lessons & Study,95.7,TRUE
422,WE_Vol33_1904_Issue2_028_LECTURE_III.txt,LECTURE III.,Unknown,Article,33,1904,2,1,Women's Religous Lessons & Study,95.6,TRUE
621,WE_Vol33_1904_Issue9_038_JESSIE_TAGGART_2.txt,JESSIE TAGGART.,Unknown,Article,33,1904,9,1,Women's Religous Lessons & Study,95.6,TRUE
997,WE_Vol35_1906_Issue6_002_RESTORATION.txt,RESTORATION.,Unknown,Article,35,1906,6,1,Women's Religous Lessons & Study,95.6,TRUE
1013,WE_Vol35_1906_Issue6_018_LECTURE_2_MOTHERS_TO_BE_COMPAN.txt,LECTURE 2—MOTHERS TO BE COMPAN-,Unknown,Article,35,1906,6,1,Women's Religous Lessons & Study,95.6,TRUE
1021,WE_Vol35_1906_Issue6_026_LECTURE_10_PURITY.txt,LECTURE 10—PURITY.,LECTURE 10—PURITY,Article,35,1906,6,1,Women's Religous Lessons & Study,95.6,TRUE
1857,WE_Vol39_1910_Issue3_008_THE_UNBOUNDED_SPHERE.txt,THE UNBOUNDED SPHERE.,Alice Cameron Voorhis,Article,39,1910,3,1,Women's Religous Lessons & Study,95.6,TRUE
1311,WE_Vol36_1907_Issue9_002_AN_EASTER_ANTHEM.txt,AN EASTER ANTHEM,Unknown,Article,36,1907,9,1,Women's Religous Lessons & Study,95.5,TRUE
1134,WE_Vol36_1907_Issue2_002_AND_CHOIR.txt,AND CHOIR.,Unknown,Article,36,1907,2,1,Women's Religous Lessons & Study,95.4,TRUE
1779,WE_Vol38_1909_Issue9_009_RESIGNATION.txt,RESIGNATION.,Unknown,Article,38,1909,9,1,Women's Religous Lessons & Study,95.4,TRUE
2,WE_Vol32_1903_Issue1_002_WOMANHOOD.txt,WOMANHOOD.,Unknown,Article,32,1903,1,1,Women's Religous Lessons & Study,95.2,TRUE
68,WE_Vol32_1903_Issue11_006_LOVING_WORDS.txt,LOVING WORDS,Unknown,Article,32,1903,11,1,Women's Religous Lessons & Study,95.2,TRUE
1082,WE_Vol35_1906_Issue9_004_A_PORTRAIT.txt,A PORTRAIT.,Unknown,Article,35,1906,9,1,Women's Religous Lessons & Study,95.1,TRUE
823,WE_Vol34_1905_Issue8_004_THE_PILGRIM_MOTHERS.txt,THE PILGRIM MOTHERS.,Unknown,Article,34,1905,8,1,Women's Religous Lessons & Study,94.9,TRUE
850,WE_Vol34_1905_Issue9_009_TWO_MOTHERS.txt,TWO MOTHERS.,MAUD BAGGARLEY,Article,34,1905,9,1,Women's Religous Lessons & Study,94.9,TRUE
2146,WE_Vol40_1911_Issue4_003_UPLIFT.txt,UPLIFT.,Unknown,Article,40,1911,4,1,Women's Religous Lessons & Study,94.9,TRUE
941,WE_Vol35_1906_Issue4_002_EMILY_WELL_BELOVED.txt,EMILY WELL BELOVED.,Unknown,Article,35,1906,4,1,Women's Religous Lessons & Study,94.8,TRUE
2297,WE_Vol41_1912_Issue11_006_EARTH_MOTHER.txt,EARTH-MOTHER.,Unknown,Article,41,1912,11,1,Women's Religous Lessons & Study,94.8,TRUE
626,WE_Vol33_1904_Issue9_043_SARAH_M_CROSBY_3.txt,SARAH M. CROSBY.,Unknown,Article,33,1904,9,1,Women's Religous Lessons & Study,94.7,TRUE
1852,WE_Vol39_1910_Issue3_003_A_PORTRAIT.txt,A PORTRAIT.,Unknown,Article,39,1910,3,1,Women's Religous Lessons & Study,94.4,TRUE
1213,WE_Vol36_1907_Issue5_003_ELDER_H_W_NAISBITT.txt,ELDER H. W. NAISBITT.,Unknown,Article,36,1907,5,1,Women's Religous Lessons & Study,94.3,TRUE
2463,WE_Vol41_1912_Issue5_005_A_FAREWELL.txt,A FAREWELL.,Unknown,Article,41,1912,5,1,Women's Religous Lessons & Study,94.1,TRUE
1014,WE_Vol35_1906_Issue6_019_LECTURE_3_FAITH.txt,LECTURE 3—FAITH.,LECTURE 3—FAITH,Article,35,1906,6,1,Women's Religous Lessons & Study,94,TRUE
2210,WE_Vol40_1911_Issue6_015_MARY_A_FREEZE.txt,MARY A. FREEZE.,Unknown,Article,40,1911,6,1,Women's Religous Lessons & Study,93.9,TRUE
2521,WE_Vol41_1912_Issue7_018_THY_WILL_BE_DONE.txt,“THY WILL BE DONE.”,Unknown,Article,41,1912,7,1,Women's Religous Lessons & Study,93.8,TRUE
1020,WE_Vol35_1906_Issue6_025_LECTURE_9_COURTESY.txt,"LECTURE 9—COURTESY,",Unknown,Article,35,1906,6,1,Women's Religous Lessons & Study,93.5,TRUE
