topic_num,topic_label,proportion,filename,Title,Author,Article_Type,volume_num,year,issue,proportion_pct
1,Women's Religous Lessons & Study,0.9905787181796535,WE_Vol33_1904_Issue9_046_SEVIER_STAKE_1905.txt,"SEVIER STAKE, 1905.",Unknown,Article,33,1904,9,99.06
1,Women's Religous Lessons & Study,0.9859452146077129,WE_Vol32_1903_Issue6_025_KANAB_STAKE.txt,KANAB STAKE.,Unknown,Article,32,1903,6,98.59
1,Women's Religous Lessons & Study,0.9847998679107163,WE_Vol33_1904_Issue3_002_PEACE.txt,PEACE.,Unknown,Article,33,1904,3,98.48
1,Women's Religous Lessons & Study,0.9813877884728044,WE_Vol34_1905_Issue5_002_VALIANT_FOR_THE_TRUTH.txt,VALIANT FOR THE TRUTH.,FRANCES RIDLEY HAVERGAL,Article,34,1905,5,98.14
1,Women's Religous Lessons & Study,0.9805226186291507,WE_Vol32_1903_Issue7_002_THANKSGIVING_POEM.txt,THANKSGIVING POEM.,Unknown,Poetry,32,1903,7,98.05
1,Women's Religous Lessons & Study,0.9791523781545565,WE_Vol35_1906_Issue2_002_THE_STORY_OF_THE_CROSS.txt,THE STORY OF THE CROSS.,LYDIA D. ALDER,Article,35,1906,2,97.92
1,Women's Religous Lessons & Study,0.9778834928003054,WE_Vol35_1906_Issue9_002_BRING_FLOWERS.txt,BRING FLOWERS,Unknown,Article,35,1906,9,97.79
1,Women's Religous Lessons & Study,0.9777080563918352,WE_Vol34_1905_Issue1_019_VIRGINIA_FRAZER_BOYLE.txt,VIRGINIA FRAZER BOYLE.,Unknown,Article,34,1905,1,97.77
1,Women's Religous Lessons & Study,0.9730709151228178,WE_Vol39_1910_Issue3_009_THE_LIGHT_IS_SHINING_ON.txt,THE LIGHT IS SHINING ON.,Mrs. Carine L. S. Rose,Article,39,1910,3,97.31
1,Women's Religous Lessons & Study,0.9729919418858514,WE_Vol33_1904_Issue9_039_AVILDIA_DICKSON_2.txt,AVILDIA DICKSON.,Unknown,Article,33,1904,9,97.3
1,Women's Religous Lessons & Study,0.9725565705519897,WE_Vol41_1912_Issue13_002_LIFE_IS_WORTH_THE_LIVING.txt,LIFE IS WORTH THE LIVING.,Unknown,Article,41,1912,13,97.26
1,Women's Religous Lessons & Study,0.9720264339878832,WE_Vol38_1909_Issue1_008_OUT_OF_THE_DEPTHS.txt,OUT OF THE DEPTHS.,Unknown,Article,38,1909,1,97.2
1,Women's Religous Lessons & Study,0.9719791791343914,WE_Vol32_1903_Issue12_002_THE_HEALER.txt,THE HEALER,Unknown,Article,32,1903,12,97.2
1,Women's Religous Lessons & Study,0.9713234901619271,WE_Vol36_1907_Issue8_005_LOVE_IS_SANCITIFIED.txt,LOVE IS SANCITIFIED.,Unknown,Article,36,1907,8,97.13
1,Women's Religous Lessons & Study,0.9693644076875805,WE_Vol36_1907_Issue5_002_GIFTED_POET_HENRY_W_NAISBITT.txt,"GIFTED POET, HENRY W. NAISBITT.",Unknown,Article,36,1907,5,96.94
1,Women's Religous Lessons & Study,0.9688363397264342,WE_Vol41_1912_Issue1_010_A_PETITION.txt,A PETITION.,Unknown,Article,41,1912,1,96.88
1,Women's Religous Lessons & Study,0.9672294305959612,WE_Vol34_1905_Issue10_002_GLADYS.txt,GLADYS.,"LYDIA D. ALDER,",Article,34,1905,10,96.72
1,Women's Religous Lessons & Study,0.9642697193288245,WE_Vol33_1904_Issue3_031_HOME_SWEET_HOME.txt,"“HOME, SWEET HOME.”",one who was destined life’s pathways to,Article,33,1904,3,96.43
1,Women's Religous Lessons & Study,0.9637089682328186,WE_Vol38_1909_Issue9_005_MOTHER_S_DAY.txt,MOTHER’S DAY.,A. W. C,Article,38,1909,9,96.37
1,Women's Religous Lessons & Study,0.9623563133002292,WE_Vol38_1909_Issue4_002_THE_BEST_OF_ALL.txt,THE BEST OF ALL.,Unknown,Article,38,1909,4,96.24
1,Women's Religous Lessons & Study,0.9607359087920075,WE_Vol41_1912_Issue4_002_THE_MOTHER_AND_CHILD.txt,THE MOTHER AND CHILD.,Maud Ellen Baggarly,Article,41,1912,4,96.07
1,Women's Religous Lessons & Study,0.959354603809483,WE_Vol37_1908_Issue2_004_LOVE_S_THRONE.txt,LOVE’S THRONE.,Unknown,Article,37,1908,2,95.94
1,Women's Religous Lessons & Study,0.9573728218520208,WE_Vol35_1906_Issue4_007_WHAT_MIGHT_HAVE_BEEN.txt,WHAT MIGHT HAVE BEEN.,Unknown,Article,35,1906,4,95.74
1,Women's Religous Lessons & Study,0.956892858868327,WE_Vol34_1905_Issue1_009_LECTURE_IV.txt,LECTURE IV.,Unknown,Article,34,1905,1,95.69
1,Women's Religous Lessons & Study,0.956437079685991,WE_Vol39_1910_Issue3_008_THE_UNBOUNDED_SPHERE.txt,THE UNBOUNDED SPHERE.,Alice Cameron Voorhis,Article,39,1910,3,95.64
2,Relief Society Conference Reports,0.988671333678116,WE_Vol40_1911_Issue4_019_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"President Pace, reporting the stake work",Relief Society Report,40,1911,4,98.87
2,Relief Society Conference Reports,0.9881289055123332,WE_Vol36_1907_Issue3_021_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,36,1907,3,98.81
2,Relief Society Conference Reports,0.9868701605444236,WE_Vol39_1910_Issue1_024_R_S_REPORTS_2.txt,R. S. REPORTS.,Unknown,Relief Society Report,39,1910,1,98.69
2,Relief Society Conference Reports,0.9852407558537587,WE_Vol40_1911_Issue2_019_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,40,1911,2,98.52
