topic_num,auto_label,frex_words,prob_words,manual_label
1,Religious Lessons & Scripture Study,"thy, doc, cov, thine, lesson, oer, hath, lecture, obedience, neath, oft, sky, twas, habit, een","child, love, life, mother, home, god, good, author, thy, title, heart, lecture, shall, unknown, give",
2,Church Conference Proceedings,"colton, benediction, conference, uintah, nebo, stake, merkley, dixon, adjourn, duet, bartlett, solo, recitation, counselor, emery","sister, stake, society, relief, speak, conference, good, work, sing, give, counselor, say, mary, hold, make",
3,Problem / Hate / Force,"problem, hate, force, dickens, certain, property, human, race, normal, feather, century, demand, militant, genius, reason","woman, man, great, one, good, make, people, world, time, say, many, right, life, work, even",
4,Literature & Book Reviews,"book, literary, helpful, mormon, genealogical, activity, contain, transpire, literature, certainly, undertake, enterprise, pertain, history, idea","work, woman, society, great, good, one, people, make, many, time, book, church, give, relief, day",
5,Correspondence & Letters,"guest, birthday, editorial, anniversary, regent, refreshment, hostess, banquet, delightful, enjoyable, decorate, party, reception, dainty, delicious","smith, give, society, well, honor, present, author, sister, guest, title, day, young, party, lady, birthday",
6,International Women's Councils,"reduction, sewall, international, discount, council, delegate, cashier, national, suffrage, quinquennial, spin-dry, alliance, semiannually, communication, congress","woman, one, womans, council, title, author, state, good, well, suffrage, national, unknown, business, international, make",
7,Boston / Livermore / Nightingale,"boston, livermore, nightingale, blackwell, philadelphia, hospital, barton, colonial, dutch, british, statue, queen, war, emperor, palace","first, work, one, woman, state, new, school, home, build, make, great, time, good, take, man",
8,Obituaries & Tributes,"resolve, resolution, whereas, bereave, memoriam, loss, obituary, mourn, faithful, emulate, beloved, publication, depart, survive, decease","sister, society, relief, life, love, one, resolve, resolution, family, faithful, mother, child, title, husband, death",
9,Obituaries & Tributes,"heroic, possess, tribute, puritan, dearly, womanly, whipple, type, burnham, intimately, girlhood, winder, freeze, zina, illustrious","sister, one, life, woman, love, young, many, friend, good, know, home, smith, great, bear, time",
10,Christmas / Windeyer / Bettie,"christmas, windeyer, bettie, tree, brandon, wind, yes, rhine, esther, merry, lover, folk, village, tall, dorothy","one, come, good, day, old, say, little, see, home, know, time, make, long, think, now",
11,Wagon / Camp / Nauvoo,"wagon, camp, nauvoo, journey, mile, baptize, enemy, mob, morrison, cattle, missouri, spring, team, winter, start","come, one, time, brother, say, father, take, day, home, good, make, man, child, leave, mother",
12,Standring / Bless / Wheat,"standring, bless, wheat, nurse, pray, benson, instruction, lord, alpine, granary, urge, sick, let, congregation, refer","sister, society, work, good, relief, stake, say, give, smith, great, feel, lord, mother, bless, speak",
