topic_num,auto_label,frex_words,prob_words,manual_label
1,=== / Undertaker / Bldg,"===, undertaker, bldg, directory, daynesbeebe, merino, lisle, bros, phone, bleach, keeley, main, ==========, prepay, broadway","main, south, street, book, weight, ===, state, make, store, cotton, temple, good, bleach, bank, east",
2,Pioneer Emigration & Journey Stories,"nauvoo, zina, hyrum, kimball, emigration, ann, brigham, brother, journey, wagon, team, patriarch, marry, kirtland, smith","smith, mother, sister, young, child, one, church, old, woman, time, family, joseph, first, great, temple",
3,Radium / Submarine / Russia,"radium, submarine, russia, germany, crowell, suffrage, troop, british, france, league, prohibition, government, franklins, republican, german","state, woman, unite, war, great, american, government, make, nation, man, new, national, people, country, france",
4,Anglosaxons / Surname / Hebrew,"anglosaxons, surname, hebrew, tribe, priest, jacob, nephites, confirmation, celt, baptism, ancient, saxons, jew, prophecy, nephi","people, book, lesson, name, temple, great, time, come, give, first, record, upon, shall, one, land",
5,Religious Lessons & Scripture Study,"spiritual, pray, eternal, faith, sin, evil, truth, commandment, heaven, spirit, god, virtue, blessing, repentance, prayer","man, god, life, one, good, say, lord, come, child, great, spirit, shall, world, give, woman",
6,Household Management & Budgeting,"disease, malnutrition, normal, health, germ, budget, physical, income, habit, hygiene, diet, recreation, fly, healthy, education","child, good, home, school, one, health, work, food, make, life, must, give, family, mother, many",
7,Serialized Fiction & Stories,"mardan, sarai, jerry, rhea, abram, walter, abrams, cheevers, alan, ishtar, ive, iscah, nimrod, yes, jimmy","mother, come, good, say, one, see, little, know, get, time, now, make, look, take, think",
8,Stake & Ward Relief Society Reports,"stake, ward, attendance, conference, fund, organization, session, membership, auxiliary, branch, member, teacher, mission, presidency, chairman","stake, work, ward, member, give, woman, conference, make, organization, hold, one, mission, good, sister, home",
9,Recipes & Cooking Instructions,"loop, onion, pepper, oven, boil, pickle, potato, carrot, egg, jar, vegetable, tbsp, stitch, flour, lemon","good, use, make, one, water, fruit, food, milk, place, plant, bread, two, time, material, vegetable",
10,Poetry & Verse,"hymn, stanza, song, poetry, longfellow, poet, flag, sing, artist, oer, poem, tale, singer, irving, prose","hymn, one, song, home, sing, music, story, write, life, good, make, old, book, give, find",
