Topic,Label,Coefficient,SE,P_value,Direction
1,Advertisements,-0.18430283771340064,0.04563317218760712,5.464278439492807e-5,MORE in Relief_Society_Magazine
2,Relief Society Meeting Reports,0.12871719810749654,0.04197114604992533,0.0021767655772258533,MORE in Womans_Exponent
3,Relief Society Leadership & Organization,-0.07377733150670354,0.03665116373096579,0.04417962201966287,MORE in Relief_Society_Magazine
7,Genealogy and Religious History,-0.1707124144682228,0.03862761428675879,1.0133905732265638e-5,MORE in Relief_Society_Magazine
8,Moral Education & Character Development,-0.1449605839175497,0.04549239729125052,0.001450231464584458,MORE in Relief_Society_Magazine
9,Obituaries & Tributes,0.10432076422928871,0.04279019263131408,0.01480974044361316,MORE in Womans_Exponent
10,Recipes & Cooking Instructions,-0.08072059105192968,0.03789063260260067,0.033197429616077724,MORE in Relief_Society_Magazine
12,Serialized Fiction and Poetry,0.1509851483555157,0.05488806855290359,0.005969629291564316,MORE in Womans_Exponent
13,Fictional Stories,0.08620211978909594,0.035414781385163095,0.014969555755114113,MORE in Womans_Exponent
14,Women's Suffrage & Political Rights,0.12322323106091904,0.036922917254953586,8.529578258011137e-4,MORE in Womans_Exponent
