topic_num,label,category,evolution_type,we_pct,rsm_pct,Significant,Difference_Pct,P_value
1,Community Celebrations,Shared (WE-leaning),Stable Core,6.393213542987643,4.394979024589378,FALSE,1.1,0.6985923111426653
2,Gospel Doctrine & Spiritual Kingdom,Shared (Balanced),Stable Core,12.132260481928336,11.907198617639127,FALSE,-2.93,0.4810895162404091
3,Education,WE Signature,Stable Core,13.304633115330866,5.9336149278001535,FALSE,0.57,0.8858287671245795
4,Home-Making and Recipes,RSM Signature,RSM Distinctive,1.7894662438560731,16.011468084678544,TRUE,-17.72,1.3058212052822446e-4
5,Genealogy,RSM Signature,RSM Distinctive,1.4717063641345396,7.708255090069205,TRUE,-8.79,0.008025980520396957
6,Moral Education & Character Development,Shared (RSM-leaning),Shifting Emphasis,7.083302410859418,12.757897292082287,TRUE,-18.46,2.981754448140589e-5
7,Relief Society Conference Reports ,WE Signature,WE Distinctive,29.394946708473096,7.130562097206644,TRUE,17.32,0.0017813275999583637
8,World News and Women's Rights Reports,Shared (Balanced),Shifting Emphasis,8.996980076011345,9.99767076470327,TRUE,11.17,0.011511868124003115
9,Serialized Fiction & Stories,Shared (RSM-leaning),Stable Core,5.344558038407243,10.393939598005922,FALSE,3.52,0.37390077731050697
10,Poetry,Shared (Balanced),Shifting Emphasis,14.088933018011437,13.764414503225469,TRUE,14.04,0.008776464408290448
