topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,proportion_pct
1,Topic 1: Community Celebrations,0.9142243760304257,3398,Vol1_1914_QC_Report.txt,NA,,Unknown,Vol1,1914,Vol,Relief_Society_Magazine,Relief Society Magazine,91.42
1,Topic 1: Community Celebrations,0.9113214490304078,325,WE_Vol37_1908_Issue7_014_BIRTHDAY_PARTY.txt,Birthday Party,Unknown,Article,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,91.13
1,Topic 1: Community Celebrations,0.8690603791957974,1170,July_Vol5_05_Article_July_Entertainments_Morag.txt,July Entertainments Morag,,Article,Vol5,1918,July,Relief_Society_Magazine,Relief Society Magazine,86.91
1,Topic 1: Community Celebrations,0.8092369958985434,3180,WE_Vol33_1904_Issue9_054_A_PLEASANT_BIRTHDAY.txt,A PLEASANT BIRTHDAY.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,80.92
1,Topic 1: Community Celebrations,0.7903035489821089,2161,December_Vol8_05c_Guide_Lessons_Literature_-_George_Careless_Compositions.txt,Literature - George Careless Compositions,,Guide,Vol8,1921,December,Relief_Society_Magazine,Relief Society Magazine,79.03
1,Topic 1: Community Celebrations,0.7790430981180793,2690,March_Vol5_08_Article_Our_Music_Book.txt,Our Music Book,,Article,Vol5,1918,March,Relief_Society_Magazine,Relief Society Magazine,77.9
1,Topic 1: Community Celebrations,0.7769926550260385,2171,January_Vol9_18c_Guide_Lessons_LESSON_III_Literature_-_George_Careless_Compositions.txt,LESSON III Literature - George Careless Compositions,,Guide,Vol9,1922,January,Relief_Society_Magazine,Relief Society Magazine,77.7
1,Topic 1: Community Celebrations,0.7532753014064557,1485,June_Vol3_04_Article_Granite_Stake_Relief_Society_Cantata.txt,Granite Stake Relief Society Cantata,,Article,Vol3,1916,June,Relief_Society_Magazine,Relief Society Magazine,75.33
1,Topic 1: Community Celebrations,0.710046256840793,1019,WE_Vol38_1909_Issue8_018_EDITORIAL_NOTES.txt,Editorial Notes,WOMAN’S EXPONENT,Editorial,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,71
1,Topic 1: Community Celebrations,0.7019905585029624,1808,March_Vol4_09_Article_Home_Evening_Entertainment_Morag.txt,Home Evening Entertainment Morag,,Article,Vol4,1917,March,Relief_Society_Magazine,Relief Society Magazine,70.2
1,Topic 1: Community Celebrations,0.695793089109468,900,WE_Vol39_1910_Issue7_014_A_DELIGHTFUL_EVENING.txt,A Delightful Evening,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,69.58
1,Topic 1: Community Celebrations,0.6956126032779764,2704,July_Vol8_05a_Article_Our_Music_Forces_a_a_a_a_b.txt,Our Music Forces,,Article,Vol8,1921,July,Relief_Society_Magazine,Relief Society Magazine,69.56
