topic,label,top_prob_words,top_frex_words
1,Topic 1: American Literature (Washington Irving),"people, one, great, book, time, lesson, first, many, name, upon, story, among, history, life, man, bible, women, made, lessons, men","surname, courtship, irving, chap, plates, abraham, tales, danish, tribes, israelites, esther, tale, nephites, isaac, hebrew, saxon, massasoit, indian, genesis, surnames"
2,Topic 2: Biography Study (Benjamin Franklin),"one, great, jerusalem, first, years, land, palestine, time, people, disease, world, public, europe, country, life, many, england, now, every, jewish","radium, madame, franklins, crowell, altemus, pasteur, curie, franklin, zionist, typhoid, palestine, gaul, germs, mountford, barton, benjamin, epidemic, autobiography, goths, flag"
3,Topic 3: Pioneer Emigration & Journey Stories,"mother, children, years, one, sister, family, smith, young, time, brother, first, president, born, utah, home, two, joseph, married, life, city","emigration, journey, wagon, brother, married, ancestors, sixteen, mayflower, grandchildren, sister, teams, wagons, moved, nauvoo, team, born, valley, plains, fielding, hardships"
4,Topic 4: Women's Suffrage & Political Rights,"women, utah, president, national, state, woman, new, university, council, one, first, years, suffrage, work, states, young, college, committee, convention, congress","suffrage, council, university, international, convention, executive, delegates, congress, legislature, anthony, elected, delegate, chairman, graduated, catt, marcia, womens, academy, womans, voters"
5,Topic 5: Mardan Sarai Nimrod,"thy, thou, abram, upon, now, one, god, shall, thee, heart, eyes, life, love, great, prince, day, soul, nimrod, long, light","mardan, sarai, nimrod, abram, terah, iscah, ishtar, princess, palace, ischa, kinsman, abrams, petesi, maidens, jehu, merodach, elkanah, irit, nay, assyrian"
6,Topic 6: Magazine Index & Page Numbers,"relief, society, home, james, anderson, contents, lessons, guide, lyman, amy, editorial, smith, brown, mothers, field, mother, book, notes, temple, peace","524, 654, 548, 126, 505, 557, 541, 658, 101, 147, 311, 546, 601, 361, 103, 559, 536, 647, 159, maude"
7,Topic 7: Musical Programs & Performances,"temple, book, one, music, song, work, first, great, hymn, dead, people, genealogical, family, day, sing, many, time, beautiful, records, society","tableau, songs, song, sing, hymn, chorus, sargent, grand, verse, data, records, sheet, whistler, hymns, heir, melody, breaks, edition, hafen, rooms"
8,Topic 8: Garment & Product Advertisements,"salt, lake, city, utah, society, relief, weight, cotton, magazine, bleached, south, street, main, heavy, phone, bound, wool, light, east, medium","merino, bleached, ==========, dickinsons, vols, leather, gauze, weight, cotton, unbleached, medium, 912, opticians, guaranteed, bound, lisle, label, wool, hyland, unbranded"
9,Topic 9: Gospel Doctrine & Spiritual Kingdom,"god, lord, shall, church, upon, people, one, world, spirit, gospel, thy, come, said, father, great, joseph, earth, man, time, men","kingdom, gospel, lord, baptism, eternal, holy, spirits, unto, blessings, revelation, spirit, pray, thank, god, ghost, testimony, bless, redeemer, savior, salvation"
10,Topic 10: Household Management & Budgeting,"one, home, work, must, time, women, woman, family, make, every, well, society, life, much, good, things, day, many, utah, children","housework, cheevers, architecture, describe, budget, homemaking, housekeeping, via, devotees, arch, income, mistress, column, shrines, shop, earn, expensive, cameos, blind, landscape"
11,Topic 11: Relief Society Leadership & Organization,"society, relief, work, president, women, sisters, smith, stake, church, organization, members, young, ward, time, great, first, sister, meeting, one, conference","sisters, presidency, grain, organization, counselors, stakes, presiding, labors, missions, societies, charity, speaker, meetings, organized, membership, reported, fund, meeting, assist, bishop"
