file,path,volume,month,etype,title,author,strategy
01_loose_Sixty_Years_Ago.txt,January,Vol35,January,article,Sixty Years Ago,,loose
02_loose_Woman_s_Sphere.txt,January,Vol35,January,article,Woman s Sphere,,loose
03_loose_Editorial_Warm_Hearts_and_Friendly_Hands.txt,January,Vol35,January,article,Editorial Warm Hearts and Friendly Hands,,loose
04_loose_Notes_to_the_Field_Relief_Society_Assigned_Evening_Meeting_of_Fast_Sunday_in_Mar.txt,January,Vol35,January,article,Notes to the Field Relief Society Assigned Evening Meeting of Fast Sunday in Mar,,loose
05_loose_Watch_This_Month.txt,January,Vol35,January,article,Watch This Month,,loose
06_loose_Three_Part_Story_Windy_Hilltop_to_begin_in_February.txt,January,Vol35,January,fiction,Three Part Story Windy Hilltop to begin in February,,loose
07_loose_Notes_From_the_Field_Relief_Society_Centennial_Programs_and_Other_Activities.txt,January,Vol35,January,article,Notes From the Field Relief Society Centennial Programs and Other Activities,,loose
08_loose_Theology_Honored_by_Strangers_Rejected_by_His_Own_Continuation_of_Our_Lord_s_Min.txt,January,Vol35,January,lesson,Theology Honored by Strangers Rejected by His Own Continuation of Our Lord s Min,,loose
09_loose_Visiting_Teachers_Messages_Building_Activities.txt,January,Vol35,January,visiting_teachers_message,Visiting Teachers Messages Building Activities,,loose
10_loose_Work_Meeting_Sewing_Fitted_Facings.txt,January,Vol35,January,article,Work Meeting Sewing Fitted Facings,,loose
11_loose_Literature_Doctrinal_Exposition_of_the_Doctrine_and_Covenants.txt,January,Vol35,January,lesson,Literature Doctrinal Exposition of the Doctrine and Covenants,,loose
12_loose_Social_Science.txt,January,Vol35,January,article,Social Science,,loose
13_loose_Snow_Upon_the_Earth_Frontispiece.txt,January,Vol35,January,article,Snow Upon the Earth Frontispiece,,loose
14_loose_Earth_s_Song_of_the_Road.txt,January,Vol35,January,poem,Earth s Song of the Road,,loose
15_loose_A_New_Year.txt,January,Vol35,January,article,A New Year,,loose
16_loose_Symphony.txt,January,Vol35,January,article,Symphony,,loose
17_loose_Caught_Napping.txt,January,Vol35,January,article,Caught Napping,,loose
18_loose_My_Wealth.txt,January,Vol35,January,article,My Wealth,,loose
19_loose_Happy_New_Year.txt,January,Vol35,January,article,Happy New Year,,loose
20_loose_Pioneer_Women.txt,January,Vol35,January,article,Pioneer Women,,loose
21_loose_Award_Winners_Eliza_Roxey_Snow_Memorial_Prize_Poem_Contest.txt,January,Vol35,January,poem,Award Winners Eliza Roxey Snow Memorial Prize Poem Contest,,loose
22_loose_Ruby_Baird_Andersen.txt,January,Vol35,January,article,Ruby Baird Andersen,,loose
23_loose_Olive_W_Burt.txt,January,Vol35,January,article,Olive W Burt,,loose
24_loose_Dorothy_Ducas.txt,January,Vol35,January,article,Dorothy Ducas,,loose
25_loose_Anna_Prince_Redd.txt,January,Vol35,January,article,Anna Prince Redd,,loose
26_loose_Sara_Mills.txt,January,Vol35,January,article,Sara Mills,,loose
27_loose_Alice_Morrey_Bailey.txt,January,Vol35,January,article,Alice Morrey Bailey,,loose
28_loose_Bertha_Zaugg_Perschon.txt,January,Vol35,January,article,Bertha Zaugg Perschon,,loose
01_loose_Janath_Russell_Cannon.txt,February,Vol35,February,article,Janath Russell Cannon,,loose
02_loose_Windy_Hilltop_Chapter_1.txt,February,Vol35,February,fiction,Windy Hilltop Chapter 1,,loose
03_loose_The_Parking_Lot.txt,February,Vol35,February,article,The Parking Lot,,loose
