month,filename,title,author,type,section,page
January,00_article_pioneer_women.txt,"Pioneer Women",President David O. McKay,article,SPECIAL FEATURES,4
January,01_article_sara.txt,"Sara",Mills,article,SPECIAL FEATURES,48
January,02_article_anna.txt,"Anna",Prince Redd,article,SPECIAL FEATURES,41
January,03_article_sixty_years_ago.txt,"Sixty Years Ago",,article,GENERAL FEATURES,26
January,04_fiction_three-part_story_(windy_hilltop)_to_begin_in_febru.txt,"Three-Part Story (Windy Hilltop) to begin in February",,fiction,GENERAL FEATURES,40
January,05_article_notes_from_the_field_relief_society_centennial_pro.txt,"Notes From the Field: Relief Society Centennial Programs and Other Activities",General Secretary-Treasurer, Margaret C. Pickering,article,GENERAL FEATURES,50
January,06_lesson_visiting_teachers_messages_building_activities.txt,"Visiting Teachers Messages: Building Activities",President Amy Brown Lyman,lesson,LESSON DEPARTMENT,63
January,07_poem_earth's_song_of_the_road.txt,"Earth's Song of the Road",C. Cameron Johns,poem,POETRY,29
January,08_poem_a_new_year.txt,"A New Year",Clarence Edwin Flynn,poem,POETRY,34
January,09_poem_my_wealth.txt,"My Wealth",Julia Nelson,poem,POETRY,49
February,10_article_elizabeth_williamson.txt,"Elizabeth Williamson",Elizabeth Williamson,article,SPECIAL FEATURES,115
February,11_fiction_janath.txt,"Janath",Russell Cannon,fiction,FICTION,89
February,12_article_sixty_years_ago.txt,"Sixty Years Ago",,article,GENERAL FEATURES,106
February,13_article_woman's_sphere.txt,"Woman's Sphere",,article,GENERAL FEATURES,107
February,14_poem_eva_willes_wangsgaard.txt,"Eva Willes Wangsgaard",Eva Willes Wangsgaard,poem,POETRY,84
March,15_article_the_establishment_of_the_relief_society_in_utah.txt,"The Establishment of the Relief Society in Utah",Louisa W. Luke,article,SPECIAL FEATURES,162
March,16_fiction_deone_r._sutherland.txt,"Deone R. Sutherland",Deone R. Sutherland,fiction,FICTION,186
March,17_serial_windy_hilltop_chapter_2.txt,"Windy Hilltop Chapter 2",Ezra J. Poulsen,serial,FICTION,194
March,18_article_new_serial_to_begin_in_april.txt,"New Serial to Begin in April",,article,GENERAL FEATURES,183
March,19_article_notes_from_the_field_fashion_shows,_bazaars,_and_o.txt,"Notes From the Field: Fashion Shows, Bazaars, and Other Activities",General Secretary-Treasurer, Margaret C. Pickering,article,GENERAL FEATURES,200
