file,path,volume,month,etype,title,author,strategy
01_loose_Frosted_Trees.txt,processed/Vol32/January,Vol32,January,poem,Frosted Trees,Grace M. Candland,loose
02_loose_Sunset_on_New_Year_s_Eve.txt,processed/Vol32/January,Vol32,January,poem,Sunset on New Year's Eve,Courtney E. Cottam,loose
03_loose_Aftermath.txt,processed/Vol32/January,Vol32,January,poem,Aftermath,Christie Lund Coles,loose
04_loose_That_Which_Sustains.txt,processed/Vol32/January,Vol32,January,poem,That Which Sustains,Caroline Eyring Miner,loose
05_loose_For_Recompense.txt,processed/Vol32/January,Vol32,January,poem,For Recompense,Vesta P. Crawford,loose
06_loose_Literature.txt,processed/Vol32/January,Vol32,January,lesson,Literature,,loose
07_loose_Rock_Roses_of_Nazareth.txt,processed/Vol32/January,Vol32,January,fiction,Rock Roses of Nazareth,Ethel Newman Eccles,loose
08_loose_A_Few_of_Our_Gifted_Utah_Women_Artists.txt,processed/Vol32/January,Vol32,January,article,A Few of Our Gifted Utah Women Artists,Alice Merrill Horne,loose
09_loose_Unobliterated_Still.txt,processed/Vol32/January,Vol32,January,poem,Unobliterated Still,Dott J. Sartori,loose
10_loose_Sixty_Years_Ago.txt,processed/Vol32/January,Vol32,January,misc,Sixty Years Ago,,loose
11_loose_Woman_s_Sphere.txt,processed/Vol32/January,Vol32,January,article,Woman's Sphere,Ramona W. Cannon,loose
12_loose_A_Stone_in_Place_of_Bread.txt,processed/Vol32/January,Vol32,January,editorial,"A Stone, in Place of Bread",Marianne C. Sharp,loose
13_loose_Victory.txt,processed/Vol32/January,Vol32,January,poem,Victory,Evelyn Fjeldsted,loose
14_loose_Mama_s_Boy.txt,processed/Vol32/January,Vol32,January,fiction,Mama's Boy,Alice Morrey Bailey,loose
15_loose_Pebbles.txt,processed/Vol32/January,Vol32,January,poem,Pebbles,Norma Wrathall,loose
16_loose_Forward_Without_Fear.txt,processed/Vol32/January,Vol32,January,fiction,"Forward, Without Fear",Dorothy Clapp Robinson,loose
17_loose_Your_Son_and_Mine.txt,processed/Vol32/January,Vol32,January,poem,Your Son and Mine,Grace Zenor Pratt,loose
18_loose_Notes_from_the_Field.txt,processed/Vol32/January,Vol32,January,report,Notes from the Field,Vera W. Pohlman,loose
19_loose_The_Flexible_House.txt,processed/Vol32/January,Vol32,January,poem,The Flexible House,Adeline J. Haws,loose
20_loose_The_Salvage_of_Tin_Is_Essential.txt,processed/Vol32/January,Vol32,January,article,The Salvage of Tin Is Essential,,loose
21_loose_Special_Problems_in_Housekeeping.txt,processed/Vol32/January,Vol32,January,article,Special Problems in Housekeeping,Claire P. Dorius,loose
22_loose_Theology.txt,processed/Vol32/January,Vol32,January,lesson,Theology,,loose
23_loose_Visiting_Teachers_Messages.txt,processed/Vol32/January,Vol32,January,lesson,Visiting Teachers' Messages,,loose
24_loose_Social_Science.txt,processed/Vol32/January,Vol32,January,lesson,Social Science,,loose
25_loose_Ode_to_Child_Psychology.txt,processed/Vol32/January,Vol32,January,poem,Ode to Child Psychology,Mildred R. Stutz,loose
TOC.txt,processed/Vol32/January,Vol32,January,toc,TOC,,
ADS.txt,processed/Vol32/January,Vol32,January,ads,ADS,,
