file,path,volume,month,etype,title,author,strategy
01_loose_Winter_Night.txt,January,Vol34,January,poem,Winter Night,,loose
02_loose_General_Relief_Society_Conference.txt,January,Vol34,January,article,General Relief Society Conference,,loose
03_loose_The_New_Year.txt,January,Vol34,January,article,The New Year,,loose
04_loose_Unveiling_of_the_Portrait_of_President_Belle_S_Spafford.txt,January,Vol34,January,article,Unveiling of the Portrait of President Belle S Spafford,,loose
05_loose_New_Years_Resolution.txt,January,Vol34,January,poem,New Years Resolution,,loose
05a_loose_Award_Winners_Eliza_Roxey_Snow_Memorial_Prize_Poem_Contest.txt,January,Vol34,January,poem,Award Winners Eliza Roxey Snow Memorial Prize Poem Contest,,loose
06_loose_Award_Winners_Annual_Relief_Society_Short_Story_Contest.txt,January,Vol34,January,fiction,Award Winners Annual Relief Society Short Story Contest,,loose
07_loose_Mary_Jacobs_Wilson_Called_to_General_Board.txt,January,Vol34,January,article,Mary Jacobs Wilson Called to General Board,,loose
08_loose_Pioneer_Women.txt,January,Vol34,January,article,Pioneer Women,,loose
09_loose_Florence_Gay_Smith.txt,January,Vol34,January,article,Florence Gay Smith,,loose
10_loose_Lillie_Chipman_Adams.txt,January,Vol34,January,article,Lillie Chipman Adams,,loose
11_loose_The_Final_Year_in_the_Church_History_Course.txt,January,Vol34,January,fiction,The Final Year in the Church History Course,,loose
12_loose_The_Worth_of_Testimony_Bearing.txt,January,Vol34,January,article,The Worth of Testimony Bearing,,loose
13_loose_Our_Pioneer_Heritage.txt,January,Vol34,January,article,Our Pioneer Heritage,,loose
14_loose_The_Sewing_Course.txt,January,Vol34,January,lesson,The Sewing Course,,loose
15_loose_The_Gospel_as_a_Way_of_Life.txt,January,Vol34,January,article,The Gospel as a Way of Life,,loose
16_loose_Congregational_Singing_and_Song_Practice.txt,January,Vol34,January,article,Congregational Singing and Song Practice,,loose
17_loose_The_Importance_of_Music_in_Relief_Society.txt,January,Vol34,January,article,The Importance of Music in Relief Society,,loose
18_loose_Report_and_Official_Instructions.txt,January,Vol34,January,article,Report and Official Instructions,,loose
19_loose_Tribute_to_Sister_Louise_Y_Robison.txt,January,Vol34,January,article,Tribute to Sister Louise Y Robison,,loose
20_loose_Sixty_Years_Ago.txt,January,Vol34,January,article,Sixty Years Ago,,loose
21_loose_Woman_s_Sphere.txt,January,Vol34,January,article,Woman s Sphere,,loose
22_loose_A_Mother_to_Her_Babe.txt,January,Vol34,January,article,A Mother to Her Babe,,loose
22a_loose_Faith_Is_a_Heritage.txt,January,Vol34,January,fiction,Faith Is a Heritage,,loose
22b_loose_Unsung_Heroes_in_Zions_Cause.txt,January,Vol34,January,article,22bUnsung Heroes in Zions Cause,,loose
22c_loose_Dependability.txt,January,Vol34,January,article,22cDependability,,loose
23_loose_Winter_Bouquet.txt,January,Vol34,January,poem,Winter Bouquet,,loose
24_loose_America_Through_Testing_Years.txt,January,Vol34,January,article,America Through Testing Years,,loose
25_loose_To_a_Robin_in_Winter.txt,January,Vol34,January,poem,To a Robin in Winter,,loose
01_loose_European_Relief.txt,February,Vol34,February,article,European Relief,,loose
02_loose_What_the_Letter_Said.txt,February,Vol34,February,article,What the Letter Said,,loose
03_loose_Where_Trails_Run.txt,February,Vol34,February,article,Where Trails Run,,loose
04_loose_Wealth_of_Faith.txt,February,Vol34,February,fiction,Wealth of Faith,,loose
05_loose_The_Tin_Can_Doll.txt,February,Vol34,February,article,The Tin Can Doll,,loose
06_loose_The_Skier.txt,February,Vol34,February,article,The Skier,,loose
07_loose_February_Table_Decorations.txt,February,Vol34,February,article,February Table Decorations,,loose
08_loose_Told_at_Sunset.txt,February,Vol34,February,article,Told at Sunset,,loose
01_loose_Sturdy_March.txt,March,Vol34,March,article,Sturdy March,,loose
02_loose_Miracle_of_Spring.txt,March,Vol34,March,article,Miracle of Spring,,loose
03_loose_Building_for_Eternity.txt,March,Vol34,March,article,Building for Eternity,,loose
04_loose_The_Value_of_Relief_Society_Membership.txt,March,Vol34,March,article,The Value of Relief Society Membership,,loose
05_loose_Elder_Charles_A_Callis.txt,March,Vol34,March,article,Elder Charles A Callis,,loose
06_loose_Grandmother.txt,March,Vol34,March,article,Grandmother,,loose
07_loose_The_Mountain.txt,March,Vol34,March,article,The Mountain,,loose
08_loose_The_Barren_Desert_Is_a_Fruitful_Field.txt,March,Vol34,March,article,The Barren Desert Is a Fruitful Field,,loose
09_loose_Who_Can_Say_There_Is_No_God.txt,March,Vol34,March,article,Who Can Say There Is No God,,loose
10_loose_He_Lived_Again.txt,March,Vol34,March,article,He Lived Again,,loose
11_loose_Daughter_of_the_Pioneers.txt,March,Vol34,March,article,Daughter of the Pioneers,,loose
12_loose_If_You_Will_Drive.txt,March,Vol34,March,article,If You Will Drive,,loose
13_loose_Sixty_Years_Ago.txt,March,Vol34,March,article,Sixty Years Ago,,loose
14_loose_Luella_N_Adams_and_Ann_P_Nibley_Released_From_the_General_Board.txt,March,Vol34,March,article,Luella N Adams and Ann P Nibley Released From the General Board,,loose
15_loose_Herbs_and_Their_Uses.txt,March,Vol34,March,article,Herbs and Their Uses,,loose
16_loose_The_Awakening.txt,March,Vol34,March,article,The Awakening,,loose
17_loose_March_Wind.txt,March,Vol34,March,article,March Wind,,loose
18_loose_Patterned_By_the_Furrow.txt,March,Vol34,March,article,Patterned By the Furrow,,loose
19_loose_Who_Makes_A_Garden.txt,March,Vol34,March,article,Who Makes A Garden,,loose
01_loose_Prisoner.txt,April,Vol34,April,article,Prisoner,,loose
02_loose_A_Gull_at_Dawn.txt,April,Vol34,April,article,A Gull at Dawn,,loose
03_loose_Walk_a_Little_Way_With_Me.txt,April,Vol34,April,article,Walk a Little Way With Me,,loose
04_loose_The_Greatest_Miracle.txt,April,Vol34,April,article,The Greatest Miracle,,loose
05_loose_Birthday_Greetings_to_President_Smith.txt,April,Vol34,April,article,Birthday Greetings to President Smith,,loose
06_loose_Latter_day_Saint_Pioneers_in_New_Mexico.txt,April,Vol34,April,article,Latter day Saint Pioneers in New Mexico,,loose
07_loose_Recompense.txt,April,Vol34,April,article,Recompense,,loose
08_loose_Young_Samantha.txt,April,Vol34,April,article,Young Samantha,,loose
09_loose_Opinions.txt,April,Vol34,April,article,Opinions,,loose
10_loose_In_Waiting.txt,April,Vol34,April,article,In Waiting,,loose
11_loose_Nature_s_Sculpture_Work.txt,April,Vol34,April,article,Nature s Sculpture Work,,loose
12_loose_Sixty_Years_Ago.txt,April,Vol34,April,article,Sixty Years Ago,,loose
13_loose_Breakfast_Is_an_Important_Meal.txt,April,Vol34,April,article,Breakfast Is an Important Meal,,loose
14_loose_The_Amaryllis.txt,April,Vol34,April,article,The Amaryllis,,loose
15_loose_The_Challenge_of_a_Daffodil.txt,April,Vol34,April,article,The Challenge of a Daffodil,,loose
16_loose_Weber_River.txt,April,Vol34,April,article,Weber River,,loose
17_loose_Select_Safe_Clothes.txt,April,Vol34,April,article,Select Safe Clothes,,loose
18_loose_Chastisement.txt,April,Vol34,April,article,Chastisement,,loose
19_loose_The_Woman_of_the_Shawl.txt,April,Vol34,April,article,The Woman of the Shawl,,loose
20_loose_Color_For_the_Centennial_Summer.txt,April,Vol34,April,article,Color For the Centennial Summer,,loose
21_loose_A_Reward_For_Cheerful_Service.txt,April,Vol34,April,article,A Reward For Cheerful Service,,loose
22_loose_Be_Still.txt,April,Vol34,April,article,Be Still,,loose
23_loose_I_Shall_Be_Glad.txt,April,Vol34,April,article,I Shall Be Glad,,loose
01_loose_A_Mother_s_Poem.txt,May,Vol34,May,poem,A Mother s Poem,,loose
02_loose_Two_Figures.txt,May,Vol34,May,article,Two Figures,,loose
03_loose_The_Growing_House.txt,May,Vol34,May,article,The Growing House,,loose
04_loose_The_Mothers_of_the_Members_of_the_Quorum_of_the_Twelve.txt,May,Vol34,May,article,The Mothers of the Members of the Quorum of the Twelve,,loose
05_loose_Elder_Eldred_G_Smith_Named_Patriarch_to_the_Church.txt,May,Vol34,May,article,Elder Eldred G Smith Named Patriarch to the Church,,loose
