file,path,volume,month,etype,title,author,strategy
01_Individual_Welfare_in_a_Time_of_Plenty.txt,processed/regex_and_llm/vol41/January,vol41,January,article,Individual Welfare in a Time of Plenty,Carl W. Buehner,match
02_Social_Science_The_Philadelphia_Convention.txt,processed/regex_and_llm/vol41/January,vol41,January,lesson,Social Science: The Philadelphia Convention,Albert R. Bowen,match
03_Wings_Over_the_West.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,Wings Over the West,Lizabeth Wall Madsen,match
04_A_Stone_in_the_Wilderness.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,A Stone in the Wilderness,Dorothy J. Roberts,match
05_To_Shield_a_King.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,To Shield a King,Alice Morrey Bailey,match
06_One_Wild_Rose.txt,processed/regex_and_llm/vol41/January,vol41,January,fiction,One Wild Rose,Dorothy Clapp Robinson,match
07_New_Year_s_Choice.txt,processed/regex_and_llm/vol41/January,vol41,January,fiction,New Year's Choice,Dorothy Boys Kilian,match
08_Little_Girl_Before_the_Piano.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,Little Girl Before the Piano,Mabel Jones Gabbott,match
09_Woman_s_Sphere.txt,processed/regex_and_llm/vol41/January,vol41,January,article,Woman's Sphere,Ramona W. Cannon,match
10_Editorial_A_Happier_Life_in_the_New_Year.txt,processed/regex_and_llm/vol41/January,vol41,January,editorial,Editorial: A Happier Life in the New Year,Marianne C. Sharp,match
11_Moon_Music.txt,processed/regex_and_llm/vol41/January,vol41,January,fiction,Moon Music,Louise Morris Kelley,match
12_The_Deeper_Melody_Chapter_4.txt,processed/regex_and_llm/vol41/January,vol41,January,fiction,"The Deeper Melody, Chapter 4",Alice Morrey Bailey,match
13_Melvina_Bennett_Clark_Makes_Braided_Rugs.txt,processed/regex_and_llm/vol41/January,vol41,January,article,Melvina Bennett Clark Makes Braided Rugs,,match
14_Theology_Righteousness_and_Good_Government.txt,processed/regex_and_llm/vol41/January,vol41,January,lesson,Theology: Righteousness and Good Government,Leland H. Monson,match
15_Winter_Night.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,Winter Night,Beatrice K. Ekman,match
16_Visiting_Teacher_Messages_But_There_Is_a_Resurrection_Therefore_the_Grave_Hath_N.txt,processed/regex_and_llm/vol41/January,vol41,January,lesson,"Visiting Teacher Messages: But There Is a Resurrection, Therefore the Grave Hath No Victory",Leone O. Jacobs,match
17_Work_Meeting_Spending_Your_Home_Furnishings_Dollar_Soft_Floor_Coverings.txt,processed/regex_and_llm/vol41/January,vol41,January,lesson,Work Meeting: Spending Your Home Furnishings Dollar -- Soft Floor Coverings,Rhea H. Gardner,match
18_Old_Year.txt,processed/regex_and_llm/vol41/January,vol41,January,poem,Old Year,Grace Sayre,match
19_Winter_Is_for_Mothers.txt,processed/regex_and_llm/vol41/January,vol41,January,article,Winter Is for Mothers,Lucille Waters Mattson,match
TOC.txt,processed/regex_and_llm/vol41/January,vol41,January,toc,TOC,,
ADS.txt,processed/regex_and_llm/vol41/January,vol41,January,ads,ADS,,
MISC.txt,processed/regex_and_llm/vol41/January,vol41,January,misc,MISC,,
01_Feast_Upon_the_Words_of_Christ.txt,processed/regex_and_llm/vol41/February,vol41,February,article,Feast Upon the Words of Christ,Louise W. Madsen,match
02_In_Memoriam_Matthew_Cowley.txt,processed/regex_and_llm/vol41/February,vol41,February,article,In Memoriam -- Matthew Cowley,Spencer W. Kimball,match
03_Beside_the_Still_Waters.txt,processed/regex_and_llm/vol41/February,vol41,February,fiction,Beside the Still Waters,Mary D. Knowles,match
04_Sixty_Years_Ago.txt,processed/regex_and_llm/vol41/February,vol41,February,article,Sixty Years Ago,,match
05_Woman_s_Sphere.txt,processed/regex_and_llm/vol41/February,vol41,February,article,Woman's Sphere,Ramona W. Cannon,match
06_Editorial_True_Love_and_Beauty.txt,processed/regex_and_llm/vol41/February,vol41,February,editorial,Editorial: True Love and Beauty,Vesta P. Crawford,match
