doc_id,file,path,volume,month,year,etype,title,author,word_count,source
vol1_January_03,03_PRESIDENTS_ADDRESS.txt,articles/vol1/January/03_PRESIDENTS_ADDRESS.txt,vol1,January,1914,article,PRESIDENT'S ADDRESS,,939,R_RS
vol1_January_04,04_SAMPLE_LESSON_FOR.txt,articles/vol1/January/04_SAMPLE_LESSON_FOR.txt,vol1,January,1914,article,SAMPLE LESSON FOR,THE CURRENT TOPIC,795,R_RS
vol1_January_05,05_GENEALOGY.txt,articles/vol1/January/05_GENEALOGY.txt,vol1,January,1914,article,GENEALOGY,,979,R_RS
vol1_January_06,06_HOME_ETHICS.txt,articles/vol1/January/06_HOME_ETHICS.txt,vol1,January,1914,article,HOME ETHICS,,223,R_RS
vol1_January_07,07_LESSONS.txt,articles/vol1/January/07_LESSONS.txt,vol1,January,1914,article,LESSONS,IN HOME GARDENING,982,R_RS
vol1_January_09,09_LITERATURE.txt,articles/vol1/January/09_LITERATURE.txt,vol1,January,1914,article,LITERATURE,,757,R_RS
vol1_January_10,10_ART.txt,articles/vol1/January/10_ART.txt,vol1,January,1914,article,ART,AND ARCHITECTURE,455,R_RS
vol1_February_03,03_GENEALOGY.txt,articles/vol1/February/03_GENEALOGY.txt,vol1,February,1914,article,GENEALOGY,,867,R_RS
vol1_February_04,04_HOME_ETHICS.txt,articles/vol1/February/04_HOME_ETHICS.txt,vol1,February,1914,article,HOME ETHICS,,2641,R_RS
vol1_March_02,02_GENEALOGY.txt,articles/vol1/March/02_GENEALOGY.txt,vol1,March,1914,article,GENEALOGY,,957,R_RS
vol1_March_03,03_HOME_ETHICS.txt,articles/vol1/March/03_HOME_ETHICS.txt,vol1,March,1914,article,HOME ETHICS,,1515,R_RS
vol1_March_04,04_LITERATURE.txt,articles/vol1/March/04_LITERATURE.txt,vol1,March,1914,article,LITERATURE,,1437,R_RS
vol1_April_02,02_GENEALOGY.txt,articles/vol1/April/02_GENEALOGY.txt,vol1,April,1914,article,GENEALOGY,,739,R_RS
vol1_April_03,03_HOME_ETHICS.txt,articles/vol1/April/03_HOME_ETHICS.txt,vol1,April,1914,article,HOME ETHICS,,1814,R_RS
vol1_April_04,04_LITERATURE.txt,articles/vol1/April/04_LITERATURE.txt,vol1,April,1914,article,LITERATURE,,669,R_RS
vol1_May_02,02_GENEALOGY.txt,articles/vol1/May/02_GENEALOGY.txt,vol1,May,1914,article,GENEALOGY,,1180,R_RS
vol1_May_03,03_HOME_ETHICS.txt,articles/vol1/May/03_HOME_ETHICS.txt,vol1,May,1914,article,HOME ETHICS,,1856,R_RS
vol1_May_04,04_LITERATURE.txt,articles/vol1/May/04_LITERATURE.txt,vol1,May,1914,article,LITERATURE,,350,R_RS
vol1_June_02,02_GENEALOGY.txt,articles/vol1/June/02_GENEALOGY.txt,vol1,June,1914,article,GENEALOGY,,636,R_RS
vol1_June_03,03_HOME_ETHICS.txt,articles/vol1/June/03_HOME_ETHICS.txt,vol1,June,1914,article,HOME ETHICS,,2206,R_RS
vol1_June_04,04_LITERATURE.txt,articles/vol1/June/04_LITERATURE.txt,vol1,June,1914,article,LITERATURE,,253,R_RS
vol1_September_02,02_HOME_ETHICS.txt,articles/vol1/September/02_HOME_ETHICS.txt,vol1,September,1914,article,HOME ETHICS,,1800,R_RS
vol1_October_02,02_GENEALOGY.txt,articles/vol1/October/02_GENEALOGY.txt,vol1,October,1914,article,GENEALOGY,,2214,R_RS
vol1_November_02,02_GENEALOGY.txt,articles/vol1/November/02_GENEALOGY.txt,vol1,November,1914,article,GENEALOGY,,477,R_RS
vol1_November_03,03_HOME_ETHICS.txt,articles/vol1/November/03_HOME_ETHICS.txt,vol1,November,1914,article,HOME ETHICS,,1137,R_RS
vol1_December_02,02_GENEALOGY.txt,articles/vol1/December/02_GENEALOGY.txt,vol1,December,1914,article,GENEALOGY,,660,R_RS
vol1_December_03,03_HOME_ETHICS.txt,articles/vol1/December/03_HOME_ETHICS.txt,vol1,December,1914,article,HOME ETHICS,,749,R_RS
vol1_December_04,04_HOME_ETHICS.txt,articles/vol1/December/04_HOME_ETHICS.txt,vol1,December,1914,article,HOME ETHICS,,1220,R_RS
vol1_December_05,05_LITERATURE.txt,articles/vol1/December/05_LITERATURE.txt,vol1,December,1914,article,LITERATURE,,794,R_RS
vol2_January_01,01_Joseph_Smith_the_Prophet_Frontispiece_Greetings_and.txt,articles/vol2/January/01_Joseph_Smith_the_Prophet_Frontispiece_Greetings_and.txt,vol2,January,1915,article,"Joseph Smith, the Prophet Frontispiece Greetings and",Sentime,2458,R_RS
vol2_January_02,02_Peace_on_Earth_Good_Will_to_Men_President.txt,articles/vol2/January/02_Peace_on_Earth_Good_Will_to_Men_President.txt,vol2,January,1915,article,"Peace on Earth, Good Will to Men President",Joseph F. Smith,3510,R_RS
vol2_January_03,03_The.txt,articles/vol2/January/03_The.txt,vol2,January,1915,article,The,Relief Society,973,R_RS
vol2_January_04,04_Clothing_for_the_Woman_Past_Forty.txt,articles/vol2/January/04_Clothing_for_the_Woman_Past_Forty.txt,vol2,January,1915,article,Clothing for the Woman Past Forty,The Two Sarahs,461,R_RS
vol2_January_05,05_Genealogy_Genealogy.txt,articles/vol2/January/05_Genealogy_Genealogy.txt,vol2,January,1915,article,Genealogy Genealogy,,372,R_RS
vol2_January_06,06_Home_Science_Home_Gardening_for_Women.txt,articles/vol2/January/06_Home_Science_Home_Gardening_for_Women.txt,vol2,January,1915,article,Home Science Home Gardening for Women,Janette A. Hyde,445,R_RS
vol2_January_07,07_Notes_from_Field_Notes_from_the.txt,articles/vol2/January/07_Notes_from_Field_Notes_from_the.txt,vol2,January,1915,article,Notes from Field Notes from the,Field,867,R_RS
vol2_January_08,08_Prince_of_Ur_A_Prince_of.txt,articles/vol2/January/08_Prince_of_Ur_A_Prince_of.txt,vol2,January,1915,article,Prince of Ur A Prince of,Ur Homespun,2760,R_RS
vol2_January_09,09_Current_Topics_Current_Topics.txt,articles/vol2/January/09_Current_Topics_Current_Topics.txt,vol2,January,1915,article,Current Topics Current Topics,James H. Anderson,769,R_RS
vol2_January_10,10_Editorial.txt,articles/vol2/January/10_Editorial.txt,vol2,January,1915,editorial,Editorial,,1395,R_RS
vol2_January_11,11_Guide.txt,articles/vol2/January/11_Guide.txt,vol2,January,1915,article,Guide,Lessons Guide Lessons,1466,R_RS
vol2_February_01,01_A_Fragment_Sarah_E_H_Pearson_The_Mission_of.txt,articles/vol2/February/01_A_Fragment_Sarah_E_H_Pearson_The_Mission_of.txt,vol2,February,1915,article,A Fragment Sarah E. H. Pearson The Mission of,Saving Grain,1429,R_RS
vol2_February_02,02_Grain_Saving_in_the.txt,articles/vol2/February/02_Grain_Saving_in_the.txt,vol2,February,1915,article,Grain Saving in the,Relief Society,342,R_RS
vol2_February_03,03_Give_Us_This_Day_Our_Daily_Bread.txt,articles/vol2/February/03_Give_Us_This_Day_Our_Daily_Bread.txt,vol2,February,1915,article,Give Us This Day Our Daily Bread,Alice Merrill Home,2276,R_RS
vol2_February_04,04_Wheat_Values.txt,articles/vol2/February/04_Wheat_Values.txt,vol2,February,1915,article,Wheat Values ',,1783,R_RS
vol2_February_06,06_Clothing_for_Women.txt,articles/vol2/February/06_Clothing_for_Women.txt,vol2,February,1915,article,Clothing for Women,The Two Sarahs,843,R_RS
vol2_February_07,07_Prince_of_Ur_A_Prince_of.txt,articles/vol2/February/07_Prince_of_Ur_A_Prince_of.txt,vol2,February,1915,article,Prince of Ur A Prince of,Ur Homespun,816,R_RS
vol2_February_08,08_Current_Topics_Current_Topics.txt,articles/vol2/February/08_Current_Topics_Current_Topics.txt,vol2,February,1915,article,Current Topics Current Topics,James H. Anderson,804,R_RS
vol2_February_09,09_Notes_from_Field_Home_Gardening_75_Notes_from_the.txt,articles/vol2/February/09_Notes_from_Field_Home_Gardening_75_Notes_from_the.txt,vol2,February,1915,article,Notes from Field Home Gardening;' 75 Notes from the,Field,431,R_RS
vol2_February_10,10_Editorial.txt,articles/vol2/February/10_Editorial.txt,vol2,February,1915,editorial,Editorial,,1403,R_RS
vol2_February_11,11_Guide.txt,articles/vol2/February/11_Guide.txt,vol2,February,1915,article,Guide,Lessons Guide Lessons,1493,R_RS
vol2_February_12,12_The_Song_of_the_Wheat_Music_by_Evan_Stephens_Words_by_S_Y.txt,articles/vol2/February/12_The_Song_of_the_Wheat_Music_by_Evan_Stephens_Words_by_S_Y.txt,vol2,February,1915,article,"The Song of the Wheat (Music by Evan Stephens, Words by S. Y",,1350,R_RS
vol2_March_01,01_Congratulations.txt,articles/vol2/March/01_Congratulations.txt,vol2,March,1915,article,Congratulations,Betsy Goodwin,321,R_RS
vol2_March_02,02_Frontispiece_Masonic_Lodge.txt,articles/vol2/March/02_Frontispiece_Masonic_Lodge.txt,vol2,March,1915,article,"Frontispiece — Masonic Lodge,",Nauvoo,765,R_RS
vol2_March_05,05_The_Genesis_of_the_Relief.txt,articles/vol2/March/05_The_Genesis_of_the_Relief.txt,vol2,March,1915,article,The Genesis of the Relief,Society Maud Baggarley,177,R_RS
vol2_March_06,06_The_Textile.txt,articles/vol2/March/06_The_Textile.txt,vol2,March,1915,article,The Textile,Art Rose Widtsoe,1318,R_RS
vol2_March_07,07_Dressmaking_at_Home.txt,articles/vol2/March/07_Dressmaking_at_Home.txt,vol2,March,1915,article,Dressmaking at Home,The Two Sarahs,871,R_RS
vol2_March_08,08_Kitchen.txt,articles/vol2/March/08_Kitchen.txt,vol2,March,1915,article,Kitchen,Kinks Jakie Discord,1292,R_RS
vol2_March_09,09_Good.txt,articles/vol2/March/09_Good.txt,vol2,March,1915,article,Good,Health Maud Baggarley,428,R_RS
vol2_March_10,10_Circular_of_the.txt,articles/vol2/March/10_Circular_of_the.txt,vol2,March,1915,article,Circular of the,Relief Society,10097,R_RS
vol2_March_11,11_Prince_of_Ur_Prince_of.txt,articles/vol2/March/11_Prince_of_Ur_Prince_of.txt,vol2,March,1915,article,Prince of Ur Prince of,Ur Homespun,3922,R_RS
vol2_March_12,12_Current_Topics_Current_Topics.txt,articles/vol2/March/12_Current_Topics_Current_Topics.txt,vol2,March,1915,article,Current Topics Current Topics,James H. Anderson,1093,R_RS
vol2_March_13,13_Home.txt,articles/vol2/March/13_Home.txt,vol2,March,1915,article,Home,Science Home Gardening,508,R_RS
vol2_March_14,14_Genealogy_Genealogy.txt,articles/vol2/March/14_Genealogy_Genealogy.txt,vol2,March,1915,article,Genealogy Genealogy,,684,R_RS
vol2_March_15,15_Notes_from_Field_Notes_from_the.txt,articles/vol2/March/15_Notes_from_Field_Notes_from_the.txt,vol2,March,1915,article,Notes from Field Notes from the,Field,805,R_RS
vol2_March_16,16_Editorial.txt,articles/vol2/March/16_Editorial.txt,vol2,March,1915,editorial,Editorial,,755,R_RS
vol2_March_17,17_Guide.txt,articles/vol2/March/17_Guide.txt,vol2,March,1915,article,Guide,Lessons Guide Lessons,1556,R_RS
vol2_April_01,01_Service.txt,articles/vol2/April/01_Service.txt,vol2,April,1915,article,Service,Maud Baggarley,55,R_RS
vol2_April_02,02_Beautiful_Flower_Gardens_Frontispiece_Beautifying_the.txt,articles/vol2/April/02_Beautiful_Flower_Gardens_Frontispiece_Beautifying_the.txt,vol2,April,1915,article,Beautiful Flower Gardens Frontispiece Beautifying the,Homes ,4722,R_RS
vol2_April_03,03_Thanksgiving.txt,articles/vol2/April/03_Thanksgiving.txt,vol2,April,1915,article,Thanksgiving,Marie Jensen,621,R_RS
vol2_April_05,05_Current_Topics_Current_Topics.txt,articles/vol2/April/05_Current_Topics_Current_Topics.txt,vol2,April,1915,article,Current Topics Current Topics,James H. Anderson,798,R_RS
vol2_April_06,06_Prince_of_Ur_A_Prince_of.txt,articles/vol2/April/06_Prince_of_Ur_A_Prince_of.txt,vol2,April,1915,article,Prince of Ur A. Prince of,Ur Homespun,2233,R_RS
vol2_April_07,07_Early_Development_of_the_Textile_Art.txt,articles/vol2/April/07_Early_Development_of_the_Textile_Art.txt,vol2,April,1915,article,Early Development of the Textile Art,Rose H. Widtsoe,1923,R_RS
vol2_April_08,08_The_Notes_Word_of_Wisdom_from_the_Field_Maud_Baggarley_193.txt,articles/vol2/April/08_The_Notes_Word_of_Wisdom_from_the_Field_Maud_Baggarley_193.txt,vol2,April,1915,article,The Notes Word of Wisdom from the Field Maud Baggarley 193,,1531,R_RS
vol2_April_09,09_Editorial.txt,articles/vol2/April/09_Editorial.txt,vol2,April,1915,editorial,Editorial,,792,R_RS
vol2_April_10,10_Guide.txt,articles/vol2/April/10_Guide.txt,vol2,April,1915,article,Guide,Lessons Guide Lessons,1870,R_RS
vol2_April_11,11_Music_Spring.txt,articles/vol2/April/11_Music_Spring.txt,vol2,April,1915,article,Music Spring,B. Cecil Gates,551,R_RS
vol2_May_01,01_Sarah_Ellen_Richards_Smith.txt,articles/vol2/May/01_Sarah_Ellen_Richards_Smith.txt,vol2,May,1915,article,Sarah Ellen Richards Smith,Joseph F. Smith,1772,R_RS
vol2_May_02,02_A_Loving_Tribute_to_Sarah_Ellen_Richards_Smith.txt,articles/vol2/May/02_A_Loving_Tribute_to_Sarah_Ellen_Richards_Smith.txt,vol2,May,1915,article,A Loving Tribute to Sarah Ellen Richards Smith,Julina L. Smi,1761,R_RS
vol2_May_03,03_History_of_the_Weber.txt,articles/vol2/May/03_History_of_the_Weber.txt,vol2,May,1915,article,History of the Weber,Stake Relief Society,1249,R_RS
vol2_May_04,04_Notes_from_Field_Notes_from_the.txt,articles/vol2/May/04_Notes_from_Field_Notes_from_the.txt,vol2,May,1915,article,Notes from Field Notes from the,Field,1319,R_RS
vol2_May_05,05_Clothing_for_Women_Past_Forty.txt,articles/vol2/May/05_Clothing_for_Women_Past_Forty.txt,vol2,May,1915,article,Clothing for Women Past Forty,The Two Sarahs,1341,R_RS
vol2_May_06,06_Home_Science_Home_Gardening_for.txt,articles/vol2/May/06_Home_Science_Home_Gardening_for.txt,vol2,May,1915,article,Home Science Home Gardening for,Women,950,R_RS
vol2_May_07,07_In_the_Kitchen_Laboratory.txt,articles/vol2/May/07_In_the_Kitchen_Laboratory.txt,vol2,May,1915,article,In the Kitchen Laboratory,Hazel Love Dunford,962,R_RS
vol2_May_08,08_The_Textile_Arts.txt,articles/vol2/May/08_The_Textile_Arts.txt,vol2,May,1915,article,The Textile Arts,Rose H. Widtsoe,390,R_RS
vol2_May_09,09_Prince_of_Ur_A_Prince_of.txt,articles/vol2/May/09_Prince_of_Ur_A_Prince_of.txt,vol2,May,1915,article,Prince of Ur A Prince of,Ur Homespun,2274,R_RS
vol2_May_10,10_Genealogy_Genealogy.txt,articles/vol2/May/10_Genealogy_Genealogy.txt,vol2,May,1915,article,Genealogy Genealogy,,2743,R_RS
vol2_May_11,11_Current_Topics_Current_Topics.txt,articles/vol2/May/11_Current_Topics_Current_Topics.txt,vol2,May,1915,article,Current Topics Current Topics,James H. Anderson,798,R_RS
vol2_May_12,12_Editorial.txt,articles/vol2/May/12_Editorial.txt,vol2,May,1915,editorial,Editorial,Guide Lessons,102,R_RS
vol2_June_02,02_Genealogy_The_Genealogical_Convention_at_the_Fair_Janette_A_Hyde.txt,articles/vol2/June/02_Genealogy_The_Genealogical_Convention_at_the_Fair_Janette_A_Hyde.txt,vol2,June,1915,article,"Genealogy The Genealogical Convention at the Fair — Janette A. Hyde,",,819,R_RS
vol2_June_03,03_The_April_Conference_Amy_Brown_Lyman.txt,articles/vol2/June/03_The_April_Conference_Amy_Brown_Lyman.txt,vol2,June,1915,article,"The April Conference — Amy Brown Lyman,",,1905,R_RS
vol2_June_04,04_Early_Development_of_the_Textile_Art_Rose_H_Widtsoe.txt,articles/vol2/June/04_Early_Development_of_the_Textile_Art_Rose_H_Widtsoe.txt,vol2,June,1915,article,"Early Development of the Textile Art — Rose H. Widtsoe,",,1450,R_RS
vol2_June_05,05_Clothing_The_Two_Sarahs.txt,articles/vol2/June/05_Clothing_The_Two_Sarahs.txt,vol2,June,1915,article,"Clothing — The Two Sarahs,",,1031,R_RS
vol2_June_06,06_In_the_Kitchen_Laboratory.txt,articles/vol2/June/06_In_the_Kitchen_Laboratory.txt,vol2,June,1915,article,"In the Kitchen Laboratory,",,736,R_RS
vol2_June_07,07_Health_Development_Maud_Baggarley.txt,articles/vol2/June/07_Health_Development_Maud_Baggarley.txt,vol2,June,1915,article,"Health Development — Maud Baggarley,",,727,R_RS
vol2_June_08,08_Notes_from_Field_Notes_from_the_Field.txt,articles/vol2/June/08_Notes_from_Field_Notes_from_the_Field.txt,vol2,June,1915,article,"Notes from Field Notes from the Field,",,860,R_RS
vol2_June_09,09_Prince_of_Ur_A_Prince_of_Ur.txt,articles/vol2/June/09_Prince_of_Ur_A_Prince_of_Ur.txt,vol2,June,1915,article,"Prince of Ur A Prince of Ur,",,3047,R_RS
vol2_June_11,11_Current_Topics_Current_Topics_James_H_Anderson.txt,articles/vol2/June/11_Current_Topics_Current_Topics_James_H_Anderson.txt,vol2,June,1915,article,"Current Topics Current Topics — James H. Anderson,",,460,R_RS
